"","Institution","Program","Program_url","Code","Name","Description"
"1","Inforoute","Arts du cirque (Artiste de cirque spécialiste)","https://www.inforoutefpt.org/progColDet.aspx?prog=404&sanction=1","045F","Analyser la fonction de travail",NA
"2","Inforoute","Arts du cirque (Artiste de cirque spécialiste)","https://www.inforoutefpt.org/progColDet.aspx?prog=404&sanction=1","045G","Prévenir et traiter les atteintes à la santé et à la sécurité au travail",NA
"3","Inforoute","Arts du cirque (Artiste de cirque spécialiste)","https://www.inforoutefpt.org/progColDet.aspx?prog=404&sanction=1","045H","Maintenir une condition physique répondant aux exigences de la pratiques des arts du cirque",NA
"4","Inforoute","Arts du cirque (Artiste de cirque spécialiste)","https://www.inforoutefpt.org/progColDet.aspx?prog=404&sanction=1","045J","Maintenir une condition psychologique adaptée à la pratique des arts du cirque",NA
"5","Inforoute","Arts du cirque (Artiste de cirque spécialiste)","https://www.inforoutefpt.org/progColDet.aspx?prog=404&sanction=1","045K","Améliorer sa conscience corporelle",NA
"6","Inforoute","Arts du cirque (Artiste de cirque spécialiste)","https://www.inforoutefpt.org/progColDet.aspx?prog=404&sanction=1","045L","Faire des acrobaties au sol",NA
"7","Inforoute","Arts du cirque (Artiste de cirque spécialiste)","https://www.inforoutefpt.org/progColDet.aspx?prog=404&sanction=1","045M","Faire des équilibres",NA
"8","Inforoute","Arts du cirque (Artiste de cirque spécialiste)","https://www.inforoutefpt.org/progColDet.aspx?prog=404&sanction=1","045N","Faire de la jonglerie et de la manipulation d'objets",NA
"9","Inforoute","Arts du cirque (Artiste de cirque spécialiste)","https://www.inforoutefpt.org/progColDet.aspx?prog=404&sanction=1","045P","Faire des acrobaties aériennes",NA
"10","Inforoute","Arts du cirque (Artiste de cirque spécialiste)","https://www.inforoutefpt.org/progColDet.aspx?prog=404&sanction=1","045Q","Exploiter des techniques de jeu théâtral",NA
"11","Inforoute","Arts du cirque (Artiste de cirque spécialiste)","https://www.inforoutefpt.org/progColDet.aspx?prog=404&sanction=1","045R","Exploiter des techniques de danse",NA
"12","Inforoute","Arts du cirque (Artiste de cirque spécialiste)","https://www.inforoutefpt.org/progColDet.aspx?prog=404&sanction=1","045S","Reconnaître les influences réciproques entre des formes d'art et les arts du cirque",NA
"13","Inforoute","Arts du cirque (Artiste de cirque spécialiste)","https://www.inforoutefpt.org/progColDet.aspx?prog=404&sanction=1","045T","Exploiter des éléments sonores et musicaux",NA
"14","Inforoute","Arts du cirque (Artiste de cirque spécialiste)","https://www.inforoutefpt.org/progColDet.aspx?prog=404&sanction=1","045U","Exploiter des techniques de voix",NA
"15","Inforoute","Arts du cirque (Artiste de cirque spécialiste)","https://www.inforoutefpt.org/progColDet.aspx?prog=404&sanction=1","045V","Effectuer une recherche d'information en relation avec la pratique des arts du cirque",NA
"16","Inforoute","Arts du cirque (Artiste de cirque spécialiste)","https://www.inforoutefpt.org/progColDet.aspx?prog=404&sanction=1","045W","Concevoir un scénario et en faire la mise en scène",NA
"17","Inforoute","Arts du cirque (Artiste de cirque spécialiste)","https://www.inforoutefpt.org/progColDet.aspx?prog=404&sanction=1","045X","Concevoir un enchaînement chorégraphique",NA
"18","Inforoute","Arts du cirque (Artiste de cirque spécialiste)","https://www.inforoutefpt.org/progColDet.aspx?prog=404&sanction=1","045Y","Déterminer les techniques scéniques nécessaires à une prestation",NA
"19","Inforoute","Arts du cirque (Artiste de cirque spécialiste)","https://www.inforoutefpt.org/progColDet.aspx?prog=404&sanction=1","045Z","Participer à la création et à la réalisation d'un spectacle de cirque",NA
"20","Inforoute","Arts du cirque (Artiste de cirque spécialiste)","https://www.inforoutefpt.org/progColDet.aspx?prog=404&sanction=1","0460","Participer à un spectacle de cirque",NA
"21","Inforoute","Arts du cirque (Artiste de cirque spécialiste)","https://www.inforoutefpt.org/progColDet.aspx?prog=404&sanction=1","0461","Gérer sa carrière",NA
"22","Inforoute","Arts du cirque (Artiste de cirque spécialiste)","https://www.inforoutefpt.org/progColDet.aspx?prog=404&sanction=1","","",NA
