"","Institution","Program","Program_url","Code","Name","Description"
"1","Inforoute","Building Systems Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=448&sanction=1","01UJ","To analyze the job function",NA
"2","Inforoute","Building Systems Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=448&sanction=1","01UK","To take responsibility for health and safety",NA
"3","Inforoute","Building Systems Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=448&sanction=1","01UL","To analyze the stresses, forces and loads applied to building mechanical systems",NA
"4","Inforoute","Building Systems Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=448&sanction=1","01UM","To analyze the conditions for fluid flow in building systems",NA
"5","Inforoute","Building Systems Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=448&sanction=1","01UN","To use a computerized workstation",NA
"6","Inforoute","Building Systems Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=448&sanction=1","01UP","To interpret drawings and specifications",NA
"7","Inforoute","Building Systems Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=448&sanction=1","01UQ","To solve problems related to building systems using mathematical principles",NA
"8","Inforoute","Building Systems Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=448&sanction=1","01UR","To establish relationships between the operation of plumbing and piping systems",NA
"9","Inforoute","Building Systems Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=448&sanction=1","01US","To check the operation of electrical control circuits",NA
"10","Inforoute","Building Systems Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=448&sanction=1","01UT","To establish relationships between heating systems and their operation",NA
"11","Inforoute","Building Systems Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=448&sanction=1","01UU","To establish relationships between ventilation and air conditioning systems and their operation",NA
"12","Inforoute","Building Systems Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=448&sanction=1","01UV","To establish relationships between refrigeration systems and their operation",NA
"13","Inforoute","Building Systems Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=448&sanction=1","01UW","To determine the technical specifications for automatic system control systems",NA
"14","Inforoute","Building Systems Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=448&sanction=1","01UX","To operate systems",NA
"15","Inforoute","Building Systems Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=448&sanction=1","01UY","To consult the regulations",NA
"16","Inforoute","Building Systems Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=448&sanction=1","01UZ","To check that the technical drawings and specifications comply with regulations",NA
"17","Inforoute","Building Systems Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=448&sanction=1","01V0","To prepare technical drawings of systems",NA
"18","Inforoute","Building Systems Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=448&sanction=1","01V1","To establish work relations",NA
"19","Inforoute","Building Systems Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=448&sanction=1","01V2","To design plumbing and piping systems",NA
"20","Inforoute","Building Systems Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=448&sanction=1","01V3","To design heating systems",NA
"21","Inforoute","Building Systems Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=448&sanction=1","01V4","To design ventilation and air conditioning systems",NA
"22","Inforoute","Building Systems Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=448&sanction=1","01V5","To design refrigeration systems",NA
"23","Inforoute","Building Systems Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=448&sanction=1","01V6","To supervise system maintenance",NA
"24","Inforoute","Building Systems Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=448&sanction=1","01V7","To balance hydraulic and pneumatic components of building mechanical systems",NA
"25","Inforoute","Building Systems Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=448&sanction=1","01V8","To estimate costs related to building mechanical systems",NA
"26","Inforoute","Building Systems Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=448&sanction=1","01V9","To perform technical sales tasks",NA
"27","Inforoute","Building Systems Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=448&sanction=1","01VA","To optimize the operation of building mechanical systems",NA
"28","Inforoute","Building Systems Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=448&sanction=1","01VB","To coordinate the installation of a system",NA
"29","Inforoute","Building Systems Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=448&sanction=1","","",NA
