"","Institution","Program","Program_url","Code","Name","Description"
"1","Inforoute","Civil Engineering Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=447&sanction=1","01X1","To analyze the occupation of civil engineering technician",NA
"2","Inforoute","Civil Engineering Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=447&sanction=1","01X2","To solve mathematical problems related to buildings and public works",NA
"3","Inforoute","Civil Engineering Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=447&sanction=1","01X3","To operate a computer environment",NA
"4","Inforoute","Civil Engineering Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=447&sanction=1","01X4","To review plans and specifications for buildings and public works",NA
"5","Inforoute","Civil Engineering Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=447&sanction=1","01X5","To analyze civil engineering projects",NA
"6","Inforoute","Civil Engineering Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=447&sanction=1","01X6","To carry out a topometric survey",NA
"7","Inforoute","Civil Engineering Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=447&sanction=1","01X7","To draw a plan",NA
"8","Inforoute","Civil Engineering Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=447&sanction=1","01X8","To take responsibility for occupational health and safety",NA
"9","Inforoute","Civil Engineering Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=447&sanction=1","01X9","To calculate the forces and loads applied to engineering works",NA
"10","Inforoute","Civil Engineering Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=447&sanction=1","01XA","To establish professional relationships",NA
"11","Inforoute","Civil Engineering Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=447&sanction=1","01XB","To implement construction works",NA
"12","Inforoute","Civil Engineering Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=447&sanction=1","01XC","To analyze the structural reactions of engineering works",NA
"13","Inforoute","Civil Engineering Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=447&sanction=1","01XD","To analyze construction materials",NA
"14","Inforoute","Civil Engineering Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=447&sanction=1","01XE","To do the technical design of structural elements",NA
"15","Inforoute","Civil Engineering Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=447&sanction=1","01XF","To analyze soils",NA
"16","Inforoute","Civil Engineering Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=447&sanction=1","01XG","To do the technical design of infrastructure projects",NA
"17","Inforoute","Civil Engineering Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=447&sanction=1","01XH","To inspect public works and buildings",NA
"18","Inforoute","Civil Engineering Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=447&sanction=1","01XJ","To propose environmental measures",NA
"19","Inforoute","Civil Engineering Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=447&sanction=1","01XK","To supervise site operations",NA
"20","Inforoute","Civil Engineering Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=447&sanction=1","01XL","To estimate construction or repair costs",NA
"21","Inforoute","Civil Engineering Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=447&sanction=1","01XM","To customize methods for producing construction materials",NA
"22","Inforoute","Civil Engineering Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=447&sanction=1","01XN","To participate in preparing bids and organizing site operations",NA
"23","Inforoute","Civil Engineering Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=447&sanction=1","01XP","To participate in preparing construction and repair projects",NA
"24","Inforoute","Civil Engineering Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=447&sanction=1","","",NA
