"","Institution","Program","Program_url","Code","Name","Description"
"1","Inforoute","Commercialisation de la mode","https://www.inforoutefpt.org/progColDet.aspx?prog=528&sanction=1","00WX","Analyser la fonction de travail",NA
"2","Inforoute","Commercialisation de la mode","https://www.inforoutefpt.org/progColDet.aspx?prog=528&sanction=1","00WY","Établir des plans d’action pour une entreprise de mode",NA
"3","Inforoute","Commercialisation de la mode","https://www.inforoutefpt.org/progColDet.aspx?prog=528&sanction=1","00WZ","Coordonner les activités d’une équipe de travail",NA
"4","Inforoute","Commercialisation de la mode","https://www.inforoutefpt.org/progColDet.aspx?prog=528&sanction=1","00X0","Gérer un budget d’exploitation",NA
"5","Inforoute","Commercialisation de la mode","https://www.inforoutefpt.org/progColDet.aspx?prog=528&sanction=1","00X1","Relier les activités de commercialisation au fonctionnement d’une entreprise de mode",NA
"6","Inforoute","Commercialisation de la mode","https://www.inforoutefpt.org/progColDet.aspx?prog=528&sanction=1","00X2","Appliquer les lois et règlements propres au secteur de la commercialisation de la mode",NA
"7","Inforoute","Commercialisation de la mode","https://www.inforoutefpt.org/progColDet.aspx?prog=528&sanction=1","00X3","Effectuer la collecte et l’analyse de données",NA
"8","Inforoute","Commercialisation de la mode","https://www.inforoutefpt.org/progColDet.aspx?prog=528&sanction=1","00X4","Analyser le phénomène de la mode au regard d’éléments contextuels divers",NA
"9","Inforoute","Commercialisation de la mode","https://www.inforoutefpt.org/progColDet.aspx?prog=528&sanction=1","00X5","Analyser les facteurs influençant le marché de la mode",NA
"10","Inforoute","Commercialisation de la mode","https://www.inforoutefpt.org/progColDet.aspx?prog=528&sanction=1","00X6","Déterminer les caractéristiques de la clientèle cible",NA
"11","Inforoute","Commercialisation de la mode","https://www.inforoutefpt.org/progColDet.aspx?prog=528&sanction=1","00X7","Rechercher des clients commerciaux et des fournisseurs",NA
"12","Inforoute","Commercialisation de la mode","https://www.inforoutefpt.org/progColDet.aspx?prog=528&sanction=1","00X8","Planifier l’achat de produits mode",NA
"13","Inforoute","Commercialisation de la mode","https://www.inforoutefpt.org/progColDet.aspx?prog=528&sanction=1","00XW","Élaborer des programmes exclusifs",NA
"14","Inforoute","Commercialisation de la mode","https://www.inforoutefpt.org/progColDet.aspx?prog=528&sanction=1","00XX","Assurer la distribution et le contrôle des marchandises",NA
"15","Inforoute","Commercialisation de la mode","https://www.inforoutefpt.org/progColDet.aspx?prog=528&sanction=1","00XY","Améliorer l’efficacité d’un espace de vente",NA
"16","Inforoute","Commercialisation de la mode","https://www.inforoutefpt.org/progColDet.aspx?prog=528&sanction=1","00XZ","Présenter des produits mode",NA
"17","Inforoute","Commercialisation de la mode","https://www.inforoutefpt.org/progColDet.aspx?prog=528&sanction=1","0125","Concevoir et réaliser des activités de communication commerciale de masse",NA
"18","Inforoute","Commercialisation de la mode","https://www.inforoutefpt.org/progColDet.aspx?prog=528&sanction=1","014F","Établir une stratégie de vente et de service à la clientèle",NA
"19","Inforoute","Commercialisation de la mode","https://www.inforoutefpt.org/progColDet.aspx?prog=528&sanction=1","014G","Négocier les conditions d’une entente commerciale",NA
"20","Inforoute","Commercialisation de la mode","https://www.inforoutefpt.org/progColDet.aspx?prog=528&sanction=1","014H","Évaluer la qualité de produits mode et de matières textiles",NA
"21","Inforoute","Commercialisation de la mode","https://www.inforoutefpt.org/progColDet.aspx?prog=528&sanction=1","015X","Développer des relations professionnelles avec les intervenants du milieu",NA
"22","Inforoute","Commercialisation de la mode","https://www.inforoutefpt.org/progColDet.aspx?prog=528&sanction=1","01BN","Résoudre des problèmes",NA
"23","Inforoute","Commercialisation de la mode","https://www.inforoutefpt.org/progColDet.aspx?prog=528&sanction=1","","",NA
