"","Institution","Program","Program_url","Code","Name","Description"
"1","Inforoute","Computer Engineering Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=451&sanction=1","037B","To process information about working in the field of computerized systems technology",NA
"2","Inforoute","Computer Engineering Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=451&sanction=1","037C","To process technical information",NA
"3","Inforoute","Computer Engineering Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=451&sanction=1","037D","To solve mathematical problems associated with computerized systems technology",NA
"4","Inforoute","Computer Engineering Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=451&sanction=1","037E","To diagnose an analog electronics problem",NA
"5","Inforoute","Computer Engineering Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=451&sanction=1","037F","To diagnose a digital electronics problem",NA
"6","Inforoute","Computer Engineering Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=451&sanction=1","037G","To diagnose a problem affecting a circuit containing a microprocessor",NA
"7","Inforoute","Computer Engineering Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=451&sanction=1","037H","To diagnose a problem affecting a computerized systems network",NA
"8","Inforoute","Computer Engineering Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=451&sanction=1","037J","To troubleshoot a computerized system",NA
"9","Inforoute","Computer Engineering Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=451&sanction=1","037K","To communicate in the workplace",NA
"10","Inforoute","Computer Engineering Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=451&sanction=1","037L","To draw electronic schematic diagrams",NA
"11","Inforoute","Computer Engineering Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=451&sanction=1","037M","To plan a computerized system project",NA
"12","Inforoute","Computer Engineering Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=451&sanction=1","037N","To design printed circuits",NA
"13","Inforoute","Computer Engineering Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=451&sanction=1","037P","To produce a computerized system prototype",NA
"14","Inforoute","Computer Engineering Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=451&sanction=1","037Q","To integrate and install computerized system components",NA
"15","Inforoute","Computer Engineering Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=451&sanction=1","037R","To write computerized system procedures",NA
"16","Inforoute","Computer Engineering Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=451&sanction=1","037S","To program computerized systems",NA
"17","Inforoute","Computer Engineering Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=451&sanction=1","037T","To modify computerized system programming",NA
"18","Inforoute","Computer Engineering Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=451&sanction=1","037U","To perform activities related to optimizing a computerized system",NA
"19","Inforoute","Computer Engineering Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=451&sanction=1","037V","To perform activities related to designing a computerized system",NA
"20","Inforoute","Computer Engineering Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=451&sanction=1","","",NA
