"","Institution","Program","Program_url","Code","Name","Description"
"1","Inforoute","Design de mode","https://www.inforoutefpt.org/progColDet.aspx?prog=411&sanction=1","00T9","Analyser la fonction de travail",NA
"2","Inforoute","Design de mode","https://www.inforoutefpt.org/progColDet.aspx?prog=411&sanction=1","00TA","Analyser le phénomène de la mode au regard d'éléments contextuels divers",NA
"3","Inforoute","Design de mode","https://www.inforoutefpt.org/progColDet.aspx?prog=411&sanction=1","00TB","Établir des liens entre les caractéristiques des matières premières et leur utilisation",NA
"4","Inforoute","Design de mode","https://www.inforoutefpt.org/progColDet.aspx?prog=411&sanction=1","00TC","Élaborer des concepts de mode distinctifs",NA
"5","Inforoute","Design de mode","https://www.inforoutefpt.org/progColDet.aspx?prog=411&sanction=1","00TD","Traduire des concepts de mode par des procédés graphiques et de présentation visuelle",NA
"6","Inforoute","Design de mode","https://www.inforoutefpt.org/progColDet.aspx?prog=411&sanction=1","00TE","Déceler et représenter les tendances du marché visé",NA
"7","Inforoute","Design de mode","https://www.inforoutefpt.org/progColDet.aspx?prog=411&sanction=1","00TF","Effectuer la recherche des matières premières nécessaires pour la réalisation de la collection",NA
"8","Inforoute","Design de mode","https://www.inforoutefpt.org/progColDet.aspx?prog=411&sanction=1","00TG","Établir des liens entre les effets recherchés et les possibilités de construction de vêtements",NA
"9","Inforoute","Design de mode","https://www.inforoutefpt.org/progColDet.aspx?prog=411&sanction=1","00TH","Utiliser le moulage à des fins de recherche et d'évaluation",NA
"10","Inforoute","Design de mode","https://www.inforoutefpt.org/progColDet.aspx?prog=411&sanction=1","00TJ","Résoudre des problèmes de faisabilité",NA
"11","Inforoute","Design de mode","https://www.inforoutefpt.org/progColDet.aspx?prog=411&sanction=1","00TK","Définir les caractéristiques de la collection",NA
"12","Inforoute","Design de mode","https://www.inforoutefpt.org/progColDet.aspx?prog=411&sanction=1","00TL","Interagir dans des situations de travail variées",NA
"13","Inforoute","Design de mode","https://www.inforoutefpt.org/progColDet.aspx?prog=411&sanction=1","00TM","Préparer les dossiers techniques de la collection",NA
"14","Inforoute","Design de mode","https://www.inforoutefpt.org/progColDet.aspx?prog=411&sanction=1","00TN","Gérer l'organisation de son travail",NA
"15","Inforoute","Design de mode","https://www.inforoutefpt.org/progColDet.aspx?prog=411&sanction=1","00TP","Produire le plan de la collection",NA
"16","Inforoute","Design de mode","https://www.inforoutefpt.org/progColDet.aspx?prog=411&sanction=1","00TQ","Acheter et vendre des produits et des services",NA
"17","Inforoute","Design de mode","https://www.inforoutefpt.org/progColDet.aspx?prog=411&sanction=1","00TR","Assurer le suivi lié à l'achat et à la transformation des matières premières nécessaires pour l'exécution",NA
"18","Inforoute","Design de mode","https://www.inforoutefpt.org/progColDet.aspx?prog=411&sanction=1","00TS","Assurer la mise au point des prototypes et des échantillons de la collection",NA
"19","Inforoute","Design de mode","https://www.inforoutefpt.org/progColDet.aspx?prog=411&sanction=1","00TT","Planifier la réalisation de la collection",NA
"20","Inforoute","Design de mode","https://www.inforoutefpt.org/progColDet.aspx?prog=411&sanction=1","00TU","Présenter la collection",NA
"21","Inforoute","Design de mode","https://www.inforoutefpt.org/progColDet.aspx?prog=411&sanction=1","00TV","Participer à des activités de promotion de la collection",NA
"22","Inforoute","Design de mode","https://www.inforoutefpt.org/progColDet.aspx?prog=411&sanction=1","00TW","Élaborer des projets de collection pour des marchés visés",NA
"23","Inforoute","Design de mode","https://www.inforoutefpt.org/progColDet.aspx?prog=411&sanction=1","","",NA
