"","Institution","Program","Program_url","Code","Name","Description"
"1","Inforoute","Diagnostic Imaging (New version)","https://www.inforoutefpt.org/progColDet.aspx?prog=543&sanction=1","01PX","Analyze the profession and the regulatory framework",NA
"2","Inforoute","Diagnostic Imaging (New version)","https://www.inforoutefpt.org/progColDet.aspx?prog=543&sanction=1","01PY","Prevent risks related to health, safety, hygiene, cleanliness and the environment",NA
"3","Inforoute","Diagnostic Imaging (New version)","https://www.inforoutefpt.org/progColDet.aspx?prog=543&sanction=1","01PZ","Operate examination equipment that uses ionizing radiation and ultrasound",NA
"4","Inforoute","Diagnostic Imaging (New version)","https://www.inforoutefpt.org/progColDet.aspx?prog=543&sanction=1","01X0","Ensure that individuals are protected during diagnostic radiology examinations",NA
"5","Inforoute","Diagnostic Imaging (New version)","https://www.inforoutefpt.org/progColDet.aspx?prog=543&sanction=1","01XQ","Operate examination equipment that uses a magnetic field and radiofrequencies",NA
"6","Inforoute","Diagnostic Imaging (New version)","https://www.inforoutefpt.org/progColDet.aspx?prog=543&sanction=1","01XR","Analyze anatomical information related to diagnostic radiology examinations",NA
"7","Inforoute","Diagnostic Imaging (New version)","https://www.inforoutefpt.org/progColDet.aspx?prog=543&sanction=1","01XS","Analyze the pathological signs related to diagnostic radiology examinations",NA
"8","Inforoute","Diagnostic Imaging (New version)","https://www.inforoutefpt.org/progColDet.aspx?prog=543&sanction=1","01XT","Optimize the quality of the diagnostic images",NA
"9","Inforoute","Diagnostic Imaging (New version)","https://www.inforoutefpt.org/progColDet.aspx?prog=543&sanction=1","01XU","Interact in a professional context",NA
"10","Inforoute","Diagnostic Imaging (New version)","https://www.inforoutefpt.org/progColDet.aspx?prog=543&sanction=1","01XV","Provide care related to the practice of diagnostic radiology",NA
"11","Inforoute","Diagnostic Imaging (New version)","https://www.inforoutefpt.org/progColDet.aspx?prog=543&sanction=1","01XW","Perform quality control activities",NA
"12","Inforoute","Diagnostic Imaging (New version)","https://www.inforoutefpt.org/progColDet.aspx?prog=543&sanction=1","01XX","Perform radiographic examinations of the limbs, pelvis, spine and thorax",NA
"13","Inforoute","Diagnostic Imaging (New version)","https://www.inforoutefpt.org/progColDet.aspx?prog=543&sanction=1","01XY","Perform radiographic examinations of the head, respiratory system and abdomen",NA
"14","Inforoute","Diagnostic Imaging (New version)","https://www.inforoutefpt.org/progColDet.aspx?prog=543&sanction=1","01XZ","Perform mammographic examinations",NA
"15","Inforoute","Diagnostic Imaging (New version)","https://www.inforoutefpt.org/progColDet.aspx?prog=543&sanction=1","01Z7","Perform radioscopic examinations",NA
"16","Inforoute","Diagnostic Imaging (New version)","https://www.inforoutefpt.org/progColDet.aspx?prog=543&sanction=1","01Z8","Perform angiographic examinations",NA
"17","Inforoute","Diagnostic Imaging (New version)","https://www.inforoutefpt.org/progColDet.aspx?prog=543&sanction=1","01Z9","Perform computed tomography examinations of the head, spine and limbs",NA
"18","Inforoute","Diagnostic Imaging (New version)","https://www.inforoutefpt.org/progColDet.aspx?prog=543&sanction=1","01ZA","Perform computed tomography examinations of the thorax, abdomen and pelvis",NA
"19","Inforoute","Diagnostic Imaging (New version)","https://www.inforoutefpt.org/progColDet.aspx?prog=543&sanction=1","01ZB","Perform magnetic resonance examinations of the head and spine",NA
"20","Inforoute","Diagnostic Imaging (New version)","https://www.inforoutefpt.org/progColDet.aspx?prog=543&sanction=1","01ZC","Perform magnetic resonance examinations of the limbs, abdomen and pelvis",NA
"21","Inforoute","Diagnostic Imaging (New version)","https://www.inforoutefpt.org/progColDet.aspx?prog=543&sanction=1","01ZD","Contribute to the ongoing improvement of the practice of diagnostic radiology",NA
"22","Inforoute","Diagnostic Imaging (New version)","https://www.inforoutefpt.org/progColDet.aspx?prog=543&sanction=1","","",NA
