"","Institution","Program","Program_url","Code","Name","Description"
"1","Inforoute","Early Childhood Education","https://www.inforoutefpt.org/progColDet.aspx?prog=462&sanction=1","0190","To examine the job functions of an educator",NA
"2","Inforoute","Early Childhood Education","https://www.inforoutefpt.org/progColDet.aspx?prog=462&sanction=1","0191","To observe children's behaviour",NA
"3","Inforoute","Early Childhood Education","https://www.inforoutefpt.org/progColDet.aspx?prog=462&sanction=1","0192","To identify a child's needs with respect to his or her overall development",NA
"4","Inforoute","Early Childhood Education","https://www.inforoutefpt.org/progColDet.aspx?prog=462&sanction=1","0193","To function safely in the work environment",NA
"5","Inforoute","Early Childhood Education","https://www.inforoutefpt.org/progColDet.aspx?prog=462&sanction=1","0194","To establish an affective relationship with children",NA
"6","Inforoute","Early Childhood Education","https://www.inforoutefpt.org/progColDet.aspx?prog=462&sanction=1","0195","To intervene with respect to a child's health",NA
"7","Inforoute","Early Childhood Education","https://www.inforoutefpt.org/progColDet.aspx?prog=462&sanction=1","0196","To promote good nutrition",NA
"8","Inforoute","Early Childhood Education","https://www.inforoutefpt.org/progColDet.aspx?prog=462&sanction=1","0197","To communicate in the workplace",NA
"9","Inforoute","Early Childhood Education","https://www.inforoutefpt.org/progColDet.aspx?prog=462&sanction=1","0198","To analyze a child's family life and social life and determine the effects on his or her behaviour",NA
"10","Inforoute","Early Childhood Education","https://www.inforoutefpt.org/progColDet.aspx?prog=462&sanction=1","0199","To analyze a child's specific needs",NA
"11","Inforoute","Early Childhood Education","https://www.inforoutefpt.org/progColDet.aspx?prog=462&sanction=1","019A","To provide support to a child",NA
"12","Inforoute","Early Childhood Education","https://www.inforoutefpt.org/progColDet.aspx?prog=462&sanction=1","019B","To use creativity in a work context",NA
"13","Inforoute","Early Childhood Education","https://www.inforoutefpt.org/progColDet.aspx?prog=462&sanction=1","019C","To define the educational approach to be taken with children",NA
"14","Inforoute","Early Childhood Education","https://www.inforoutefpt.org/progColDet.aspx?prog=462&sanction=1","019D","To design activities promoting overall child development",NA
"15","Inforoute","Early Childhood Education","https://www.inforoutefpt.org/progColDet.aspx?prog=462&sanction=1","019E","To organize educational activities",NA
"16","Inforoute","Early Childhood Education","https://www.inforoutefpt.org/progColDet.aspx?prog=462&sanction=1","019F","To lead educational activities",NA
"17","Inforoute","Early Childhood Education","https://www.inforoutefpt.org/progColDet.aspx?prog=462&sanction=1","019G","To work as a member of a team",NA
"18","Inforoute","Early Childhood Education","https://www.inforoutefpt.org/progColDet.aspx?prog=462&sanction=1","019H","To establish a partnership relationship with parents and resource people",NA
"19","Inforoute","Early Childhood Education","https://www.inforoutefpt.org/progColDet.aspx?prog=462&sanction=1","019J","To intervene with respect to the behaviour of a child or a group of children",NA
"20","Inforoute","Early Childhood Education","https://www.inforoutefpt.org/progColDet.aspx?prog=462&sanction=1","019K","To design and review the educational program",NA
"21","Inforoute","Early Childhood Education","https://www.inforoutefpt.org/progColDet.aspx?prog=462&sanction=1","019L","To organize a childcare establishment",NA
"22","Inforoute","Early Childhood Education","https://www.inforoutefpt.org/progColDet.aspx?prog=462&sanction=1","019M","To provide educational services to a group of children",NA
"23","Inforoute","Early Childhood Education","https://www.inforoutefpt.org/progColDet.aspx?prog=462&sanction=1","","",NA
