"","Institution","Program","Program_url","Code","Name","Description"
"1","Inforoute","Engineering Physics Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=457&sanction=1","027A","To analyze information on work environments in applied physics technology",NA
"2","Inforoute","Engineering Physics Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=457&sanction=1","027B","To solve mathematics problems related to applied physics",NA
"3","Inforoute","Engineering Physics Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=457&sanction=1","027C","To troubleshoot an apparatus used in applied physics",NA
"4","Inforoute","Engineering Physics Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=457&sanction=1","027D","To analyze the dynamic and fluid dynamic parts of systems",NA
"5","Inforoute","Engineering Physics Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=457&sanction=1","027E","To characterize a component or an apparatus using geometric optics set-ups",NA
"6","Inforoute","Engineering Physics Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=457&sanction=1","027F","To validate a method of measurement",NA
"7","Inforoute","Engineering Physics Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=457&sanction=1","027G","To assemble applied physics apparatus",NA
"8","Inforoute","Engineering Physics Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=457&sanction=1","027H","To use design and simulation software",NA
"9","Inforoute","Engineering Physics Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=457&sanction=1","027J","To set up a measuring chain",NA
"10","Inforoute","Engineering Physics Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=457&sanction=1","027K","To establish the relationships between atomic models and material properties",NA
"11","Inforoute","Engineering Physics Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=457&sanction=1","027L","To characterize materials",NA
"12","Inforoute","Engineering Physics Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=457&sanction=1","027M","To analyze thermal systems",NA
"13","Inforoute","Engineering Physics Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=457&sanction=1","027N","To characterize a wave, a component or an apparatus using wave optics set-ups",NA
"14","Inforoute","Engineering Physics Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=457&sanction=1","027P","To characterize waves, components or apparatus using guided optics set-ups",NA
"15","Inforoute","Engineering Physics Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=457&sanction=1","027Q","To program a data acquisition and processing system",NA
"16","Inforoute","Engineering Physics Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=457&sanction=1","027R","To set up a positioning system",NA
"17","Inforoute","Engineering Physics Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=457&sanction=1","027S","To characterize a wave, a component or an apparatus using acoustic set-ups",NA
"18","Inforoute","Engineering Physics Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=457&sanction=1","027T","To develop an applied physics apparatus",NA
"19","Inforoute","Engineering Physics Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=457&sanction=1","027U","To develop an applied physics component",NA
"20","Inforoute","Engineering Physics Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=457&sanction=1","027V","To participate in setting up and managing a laboratory or production site",NA
"21","Inforoute","Engineering Physics Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=457&sanction=1","027W","To participate in improving a manufacturing process in an applied physics context",NA
"22","Inforoute","Engineering Physics Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=457&sanction=1","027X","To participate in designing an apparatus or component used in applied physics",NA
"23","Inforoute","Engineering Physics Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=457&sanction=1","","",NA
