"","Institution","Program","Program_url","Code","Name","Description"
"1","Inforoute","Financial Services and Insurance Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=534&sanction=1","00SZ","Analyze the occupation",NA
"2","Inforoute","Financial Services and Insurance Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=534&sanction=1","00T0","Use information and communications technologies in the workplace",NA
"3","Inforoute","Financial Services and Insurance Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=534&sanction=1","00T1","Interact with clients for the purpose of making sales",NA
"4","Inforoute","Financial Services and Insurance Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=534&sanction=1","00T2","Work with others",NA
"5","Inforoute","Financial Services and Insurance Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=534&sanction=1","00T3","Comply with the laws and regulations governing financial services and insurance",NA
"6","Inforoute","Financial Services and Insurance Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=534&sanction=1","00T4","Analyze statistical data",NA
"7","Inforoute","Financial Services and Insurance Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=534&sanction=1","00T5","Communicate in French in the workplace",NA
"8","Inforoute","Financial Services and Insurance Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=534&sanction=1","00T6","Analyze personal property and civil liability insurance products",NA
"9","Inforoute","Financial Services and Insurance Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=534&sanction=1","00T7","Analyze personal and commercial automobile insurance products",NA
"10","Inforoute","Financial Services and Insurance Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=534&sanction=1","00T8","Recommend and sell personal general insurance products",NA
"11","Inforoute","Financial Services and Insurance Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=534&sanction=1","00W2","Analyze commercial property and civil liability insurance products",NA
"12","Inforoute","Financial Services and Insurance Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=534&sanction=1","00W3","Analyze a business’s financial information for insurance purposes",NA
"13","Inforoute","Financial Services and Insurance Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=534&sanction=1","00W4","Recommend and sell commercial general insurance products",NA
"14","Inforoute","Financial Services and Insurance Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=534&sanction=1","00W5","Settle a claim",NA
"15","Inforoute","Financial Services and Insurance Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=534&sanction=1","00W6","Determine the financial impact of personal finance decisions",NA
"16","Inforoute","Financial Services and Insurance Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=534&sanction=1","00W7","Create a portrait of an individual’s financial situation",NA
"17","Inforoute","Financial Services and Insurance Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=534&sanction=1","00W8","Analyze individual and group life and health insurance products",NA
"18","Inforoute","Financial Services and Insurance Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=534&sanction=1","00W9","Analyze savings and investment products",NA
"19","Inforoute","Financial Services and Insurance Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=534&sanction=1","00WA","Consider the impact of tax measures on personal finance decisions",NA
"20","Inforoute","Financial Services and Insurance Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=534&sanction=1","00WB","Recommend and sell life and health insurance products",NA
"21","Inforoute","Financial Services and Insurance Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=534&sanction=1","00WC","Recommend and sell savings and investment products",NA
"22","Inforoute","Financial Services and Insurance Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=534&sanction=1","00WD","Analyze personal credit products",NA
"23","Inforoute","Financial Services and Insurance Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=534&sanction=1","00WE","Recommend and sell credit products",NA
"24","Inforoute","Financial Services and Insurance Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=534&sanction=1","","",NA
