"","Institution","Program","Program_url","Code","Name","Description"
"1","Inforoute","Forest Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=442&sanction=1","00KL","To analyze the occupation",NA
"2","Inforoute","Forest Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=442&sanction=1","00KM","To identify plant life in Québec’s forests",NA
"3","Inforoute","Forest Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=442&sanction=1","00KN","To carry out activities related to health and safety and to forest fire prevention",NA
"4","Inforoute","Forest Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=442&sanction=1","00KP","To process forest-related computerized data",NA
"5","Inforoute","Forest Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=442&sanction=1","00KQ","To identify the dendrometric variables of a forest",NA
"6","Inforoute","Forest Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=442&sanction=1","00KR","To manage stocks of felled wood",NA
"7","Inforoute","Forest Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=442&sanction=1","00KS","To manage human and material resources",NA
"8","Inforoute","Forest Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=442&sanction=1","00KT","To classify a forest site",NA
"9","Inforoute","Forest Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=442&sanction=1","00KU","To map a forest area",NA
"10","Inforoute","Forest Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=442&sanction=1","00KV","To carry out prevention, detection and control of insects and tree diseases",NA
"11","Inforoute","Forest Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=442&sanction=1","00KW","To inventory a forest area",NA
"12","Inforoute","Forest Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=442&sanction=1","00KX","To solve work organization problems",NA
"13","Inforoute","Forest Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=442&sanction=1","00KY","To carry out silviculture work prior to harvesting",NA
"14","Inforoute","Forest Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=442&sanction=1","00KZ","To verify the compliance of forest interventions",NA
"15","Inforoute","Forest Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=442&sanction=1","00L0","To supervise precommercial and rehabilitation work in an area",NA
"16","Inforoute","Forest Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=442&sanction=1","00L1","To analyze the phases involved in timber harvesting",NA
"17","Inforoute","Forest Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=442&sanction=1","00L2","To propose interventions related to the management of private forests",NA
"18","Inforoute","Forest Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=442&sanction=1","00L3","To coordinate infrastructure-related work",NA
"19","Inforoute","Forest Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=442&sanction=1","00L4","To coordinate timber harvesting work",NA
"20","Inforoute","Forest Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=442&sanction=1","00L5","To participate in developing management plans and reports",NA
"21","Inforoute","Forest Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=442&sanction=1","","",NA
