"","Institution","Program","Program_url","Code","Name","Description"
"1","Inforoute","Gestion de commerces","https://www.inforoutefpt.org/progColDet.aspx?prog=374&sanction=1","01TS","Analyser les fonctions de travail",NA
"2","Inforoute","Gestion de commerces","https://www.inforoutefpt.org/progColDet.aspx?prog=374&sanction=1","01TT","Communiquer et interagir dans un contexte de gestion commerciale",NA
"3","Inforoute","Gestion de commerces","https://www.inforoutefpt.org/progColDet.aspx?prog=374&sanction=1","01TU","Utiliser des logiciels d'application courante à des fins de gestion commerciale",NA
"4","Inforoute","Gestion de commerces","https://www.inforoutefpt.org/progColDet.aspx?prog=374&sanction=1","01TV","Utiliser des méthodes statistiques à des fins d'analyse de données commerciales",NA
"5","Inforoute","Gestion de commerces","https://www.inforoutefpt.org/progColDet.aspx?prog=374&sanction=1","01TW","Rechercher et analyser des données commerciales",NA
"6","Inforoute","Gestion de commerces","https://www.inforoutefpt.org/progColDet.aspx?prog=374&sanction=1","01TX","Établir un plan de marketing et en assurer le suivi",NA
"7","Inforoute","Gestion de commerces","https://www.inforoutefpt.org/progColDet.aspx?prog=374&sanction=1","01TY","Utiliser des sources de droit s'appliquant aux activités commerciales",NA
"8","Inforoute","Gestion de commerces","https://www.inforoutefpt.org/progColDet.aspx?prog=374&sanction=1","01TZ","Communiquer en anglais avec le personnel et les supérieurs de l'établissement ou de l'entreprise",NA
"9","Inforoute","Gestion de commerces","https://www.inforoutefpt.org/progColDet.aspx?prog=374&sanction=1","01U0","Traiter en anglais avec des clientes ou clients et des fournisseurs",NA
"10","Inforoute","Gestion de commerces","https://www.inforoutefpt.org/progColDet.aspx?prog=374&sanction=1","01U1","Promouvoir les produits et des services par des moyens de communication de masse",NA
"11","Inforoute","Gestion de commerces","https://www.inforoutefpt.org/progColDet.aspx?prog=374&sanction=1","01U2","Vendre des produits et des services dans un établissement commercial",NA
"12","Inforoute","Gestion de commerces","https://www.inforoutefpt.org/progColDet.aspx?prog=374&sanction=1","01U3","Appliquer un processus de gestion dans un contexte de commercialisation",NA
"13","Inforoute","Gestion de commerces","https://www.inforoutefpt.org/progColDet.aspx?prog=374&sanction=1","01U4","Constituer une équipe de vente",NA
"14","Inforoute","Gestion de commerces","https://www.inforoutefpt.org/progColDet.aspx?prog=374&sanction=1","01U5","Produire de l'information comptable à des fins de gestion",NA
"15","Inforoute","Gestion de commerces","https://www.inforoutefpt.org/progColDet.aspx?prog=374&sanction=1","01U6","Analyser de l' information comptable et financière à des fins de gestion commerciale",NA
"16","Inforoute","Gestion de commerces","https://www.inforoutefpt.org/progColDet.aspx?prog=374&sanction=1","01U7","Préparer et gérer un budget d'exploitation",NA
"17","Inforoute","Gestion de commerces","https://www.inforoutefpt.org/progColDet.aspx?prog=374&sanction=1","01U8","Assurer la disponibilité de la marchandise dans un établissement commercial",NA
"18","Inforoute","Gestion de commerces","https://www.inforoutefpt.org/progColDet.aspx?prog=374&sanction=1","01U9","Utiliser l'information de l'actualité économique à des fins de gestion commerciale",NA
"19","Inforoute","Gestion de commerces","https://www.inforoutefpt.org/progColDet.aspx?prog=374&sanction=1","01UA","Vendre des produits et des services par voie de représentation",NA
"20","Inforoute","Gestion de commerces","https://www.inforoutefpt.org/progColDet.aspx?prog=374&sanction=1","01UB","Superviser une équipe de vente",NA
"21","Inforoute","Gestion de commerces","https://www.inforoutefpt.org/progColDet.aspx?prog=374&sanction=1","01UC","Procéder à l'aménagement du lieu de vente et à la présentation visuelle des produits et des services",NA
"22","Inforoute","Gestion de commerces","https://www.inforoutefpt.org/progColDet.aspx?prog=374&sanction=1","01UD","Former le personnel de vente",NA
"23","Inforoute","Gestion de commerces","https://www.inforoutefpt.org/progColDet.aspx?prog=374&sanction=1","01UE","Mettre en place et superviser le service à la clientèle selon l'approche qualité",NA
"24","Inforoute","Gestion de commerces","https://www.inforoutefpt.org/progColDet.aspx?prog=374&sanction=1","01UF","Rechercher les occasions de commercer avec l'étranger",NA
"25","Inforoute","Gestion de commerces","https://www.inforoutefpt.org/progColDet.aspx?prog=374&sanction=1","01UG","Assurer son intégration au marché du travail",NA
"26","Inforoute","Gestion de commerces","https://www.inforoutefpt.org/progColDet.aspx?prog=374&sanction=1","01UH","Gérer un projet de commercialisation de produits ou services",NA
"27","Inforoute","Gestion de commerces","https://www.inforoutefpt.org/progColDet.aspx?prog=374&sanction=1","","",NA
