"","Institution","Program","Program_url","Code","Name","Description"
"1","Inforoute","Gestion de projet en communications graphiques","https://www.inforoutefpt.org/progColDet.aspx?prog=428&sanction=1","0414","Analyser la fonction de travail",NA
"2","Inforoute","Gestion de projet en communications graphiques","https://www.inforoutefpt.org/progColDet.aspx?prog=428&sanction=1","0415","Déterminer un procédé d'impression relatif à un produit",NA
"3","Inforoute","Gestion de projet en communications graphiques","https://www.inforoutefpt.org/progColDet.aspx?prog=428&sanction=1","0416","Exploiter les outils informatiques",NA
"4","Inforoute","Gestion de projet en communications graphiques","https://www.inforoutefpt.org/progColDet.aspx?prog=428&sanction=1","0417","Déterminer les étapes de préimpression menant à une forme imprimante",NA
"5","Inforoute","Gestion de projet en communications graphiques","https://www.inforoutefpt.org/progColDet.aspx?prog=428&sanction=1","0418","Agencer les matières premières en fonction d'un produit et d'un procédé",NA
"6","Inforoute","Gestion de projet en communications graphiques","https://www.inforoutefpt.org/progColDet.aspx?prog=428&sanction=1","0419","Déterminer le processus de fabrication d'un produit à imprimer",NA
"7","Inforoute","Gestion de projet en communications graphiques","https://www.inforoutefpt.org/progColDet.aspx?prog=428&sanction=1","041A","Produire un devis descriptif",NA
"8","Inforoute","Gestion de projet en communications graphiques","https://www.inforoutefpt.org/progColDet.aspx?prog=428&sanction=1","041B","Établir un plan d'imposition",NA
"9","Inforoute","Gestion de projet en communications graphiques","https://www.inforoutefpt.org/progColDet.aspx?prog=428&sanction=1","041C","Créer et entretenir des relations professionnelles dans l'autre langue officielle",NA
"10","Inforoute","Gestion de projet en communications graphiques","https://www.inforoutefpt.org/progColDet.aspx?prog=428&sanction=1","041D","Interagir dans des relations de travail variées",NA
"11","Inforoute","Gestion de projet en communications graphiques","https://www.inforoutefpt.org/progColDet.aspx?prog=428&sanction=1","041E","Traiter avec les fournisseurs",NA
"12","Inforoute","Gestion de projet en communications graphiques","https://www.inforoutefpt.org/progColDet.aspx?prog=428&sanction=1","041F","Estimer les coûts de production d'un projet",NA
"13","Inforoute","Gestion de projet en communications graphiques","https://www.inforoutefpt.org/progColDet.aspx?prog=428&sanction=1","041G","Évaluer le potentiel de son environnement professionnel",NA
"14","Inforoute","Gestion de projet en communications graphiques","https://www.inforoutefpt.org/progColDet.aspx?prog=428&sanction=1","041H","Conseiller la clientèle",NA
"15","Inforoute","Gestion de projet en communications graphiques","https://www.inforoutefpt.org/progColDet.aspx?prog=428&sanction=1","041J","Soumettre une offre de service",NA
"16","Inforoute","Gestion de projet en communications graphiques","https://www.inforoutefpt.org/progColDet.aspx?prog=428&sanction=1","041K","Gérer des situations problématiques",NA
"17","Inforoute","Gestion de projet en communications graphiques","https://www.inforoutefpt.org/progColDet.aspx?prog=428&sanction=1","041L","Planifier la préparation d'un produit à imprimer",NA
"18","Inforoute","Gestion de projet en communications graphiques","https://www.inforoutefpt.org/progColDet.aspx?prog=428&sanction=1","041M","Coordonner le déroulement d'un projet",NA
"19","Inforoute","Gestion de projet en communications graphiques","https://www.inforoutefpt.org/progColDet.aspx?prog=428&sanction=1","041N","Faire le bilan de la réalisation d'un projet",NA
"20","Inforoute","Gestion de projet en communications graphiques","https://www.inforoutefpt.org/progColDet.aspx?prog=428&sanction=1","041P","Gérer la réalisation de projets multiples",NA
"21","Inforoute","Gestion de projet en communications graphiques","https://www.inforoutefpt.org/progColDet.aspx?prog=428&sanction=1","","",NA
