"","Institution","Program","Program_url","Code","Name","Description"
"1","Inforoute","Gestion et technologies d'entreprise agricole","https://www.inforoutefpt.org/progColDet.aspx?prog=499&sanction=1","021N","Analyser l'organisation et le fonctionnement d'une entreprise agricole",NA
"2","Inforoute","Gestion et technologies d'entreprise agricole","https://www.inforoutefpt.org/progColDet.aspx?prog=499&sanction=1","021P","Interpréter les données agronomiques d'une production agricole",NA
"3","Inforoute","Gestion et technologies d'entreprise agricole","https://www.inforoutefpt.org/progColDet.aspx?prog=499&sanction=1","021Q","Intervenir en matière de santé et de sécurité au travail",NA
"4","Inforoute","Gestion et technologies d'entreprise agricole","https://www.inforoutefpt.org/progColDet.aspx?prog=499&sanction=1","021R","Réaliser une séquence de tâches de production agricole",NA
"5","Inforoute","Gestion et technologies d'entreprise agricole","https://www.inforoutefpt.org/progColDet.aspx?prog=499&sanction=1","021S","Intervenir en matière de protection de l'environnement",NA
"6","Inforoute","Gestion et technologies d'entreprise agricole","https://www.inforoutefpt.org/progColDet.aspx?prog=499&sanction=1","021T","Gérer l'utilisation du fonds de terre, du boisé et des bâtiments agricoles",NA
"7","Inforoute","Gestion et technologies d'entreprise agricole","https://www.inforoutefpt.org/progColDet.aspx?prog=499&sanction=1","021U","Communiquer en milieu de travail",NA
"8","Inforoute","Gestion et technologies d'entreprise agricole","https://www.inforoutefpt.org/progColDet.aspx?prog=499&sanction=1","021V","Réaliser des opérations administratives courantes d'une entreprise agricole",NA
"9","Inforoute","Gestion et technologies d'entreprise agricole","https://www.inforoutefpt.org/progColDet.aspx?prog=499&sanction=1","021W","Gérer l'utilisation du parc de machinerie et d'équipement agricole",NA
"10","Inforoute","Gestion et technologies d'entreprise agricole","https://www.inforoutefpt.org/progColDet.aspx?prog=499&sanction=1","021X","Gérer le personnel d'une entreprise agricole",NA
"11","Inforoute","Gestion et technologies d'entreprise agricole","https://www.inforoutefpt.org/progColDet.aspx?prog=499&sanction=1","021Y","Choisir un mode de production agricole",NA
"12","Inforoute","Gestion et technologies d'entreprise agricole","https://www.inforoutefpt.org/progColDet.aspx?prog=499&sanction=1","021Z","Choisir un système de production agricole",NA
"13","Inforoute","Gestion et technologies d'entreprise agricole","https://www.inforoutefpt.org/progColDet.aspx?prog=499&sanction=1","0220","Organiser des activités d'une production agricole",NA
"14","Inforoute","Gestion et technologies d'entreprise agricole","https://www.inforoutefpt.org/progColDet.aspx?prog=499&sanction=1","0221","Coordonner les opérations d'une production agricole",NA
"15","Inforoute","Gestion et technologies d'entreprise agricole","https://www.inforoutefpt.org/progColDet.aspx?prog=499&sanction=1","0222","Assurer la qualité d'une production agricole",NA
"16","Inforoute","Gestion et technologies d'entreprise agricole","https://www.inforoutefpt.org/progColDet.aspx?prog=499&sanction=1","0223","Planifier la production annuelle d'une entreprise agricole",NA
"17","Inforoute","Gestion et technologies d'entreprise agricole","https://www.inforoutefpt.org/progColDet.aspx?prog=499&sanction=1","0224","Faire la mise en marché de produits et de services agricoles",NA
"18","Inforoute","Gestion et technologies d'entreprise agricole","https://www.inforoutefpt.org/progColDet.aspx?prog=499&sanction=1","0225","Réaliser des actions de recherche appliquée et de développement",NA
"19","Inforoute","Gestion et technologies d'entreprise agricole","https://www.inforoutefpt.org/progColDet.aspx?prog=499&sanction=1","0226","Évaluer un cycle de production agricole",NA
"20","Inforoute","Gestion et technologies d'entreprise agricole","https://www.inforoutefpt.org/progColDet.aspx?prog=499&sanction=1","0227","Élaborer le plan de développement d'une entreprise agricole",NA
"21","Inforoute","Gestion et technologies d'entreprise agricole","https://www.inforoutefpt.org/progColDet.aspx?prog=499&sanction=1","0228","Réaliser un projet agricole innovant",NA
"22","Inforoute","Gestion et technologies d'entreprise agricole","https://www.inforoutefpt.org/progColDet.aspx?prog=499&sanction=1","0229","Analyser la fonction de travail",NA
"23","Inforoute","Gestion et technologies d'entreprise agricole","https://www.inforoutefpt.org/progColDet.aspx?prog=499&sanction=1","","",NA
