"","Institution","Program","Program_url","Code","Name","Description"
"1","Inforoute","Graphic Design","https://www.inforoutefpt.org/progColDet.aspx?prog=519&sanction=1","052V","Analyze forms of visual communication and their production requirements",NA
"2","Inforoute","Graphic Design","https://www.inforoutefpt.org/progColDet.aspx?prog=519&sanction=1","052W","Manage a computer environment",NA
"3","Inforoute","Graphic Design","https://www.inforoutefpt.org/progColDet.aspx?prog=519&sanction=1","052X","Acquire images",NA
"4","Inforoute","Graphic Design","https://www.inforoutefpt.org/progColDet.aspx?prog=519&sanction=1","052Y","Create raster images",NA
"5","Inforoute","Graphic Design","https://www.inforoutefpt.org/progColDet.aspx?prog=519&sanction=1","052Z","Create vector images",NA
"6","Inforoute","Graphic Design","https://www.inforoutefpt.org/progColDet.aspx?prog=519&sanction=1","0534","Manipulate typographic elements",NA
"7","Inforoute","Graphic Design","https://www.inforoutefpt.org/progColDet.aspx?prog=519&sanction=1","0536","Produce simple layouts for visual interfaces",NA
"8","Inforoute","Graphic Design","https://www.inforoutefpt.org/progColDet.aspx?prog=519&sanction=1","0539","Coordinate a graphic communications project",NA
"9","Inforoute","Graphic Design","https://www.inforoutefpt.org/progColDet.aspx?prog=519&sanction=1","053M","Manage a graphic design microbusiness",NA
"10","Inforoute","Graphic Design","https://www.inforoutefpt.org/progColDet.aspx?prog=519&sanction=1","053N","Use elements of visual language derived from the visual arts and graphic design",NA
"11","Inforoute","Graphic Design","https://www.inforoutefpt.org/progColDet.aspx?prog=519&sanction=1","053P","Create colour harmonies",NA
"12","Inforoute","Graphic Design","https://www.inforoutefpt.org/progColDet.aspx?prog=519&sanction=1","053Q","Produce typographic designs",NA
"13","Inforoute","Graphic Design","https://www.inforoutefpt.org/progColDet.aspx?prog=519&sanction=1","053R","Produce presentation mockups of pictograms and icons",NA
"14","Inforoute","Graphic Design","https://www.inforoutefpt.org/progColDet.aspx?prog=519&sanction=1","053S","Produce presentation mockups for corporate documents",NA
"15","Inforoute","Graphic Design","https://www.inforoutefpt.org/progColDet.aspx?prog=519&sanction=1","053T","Produce simple layouts and composite printing documents",NA
"16","Inforoute","Graphic Design","https://www.inforoutefpt.org/progColDet.aspx?prog=519&sanction=1","053U","Produce presentation mockups for visual identities",NA
"17","Inforoute","Graphic Design","https://www.inforoutefpt.org/progColDet.aspx?prog=519&sanction=1","053V","Create illustrations for graphic communications",NA
"18","Inforoute","Graphic Design","https://www.inforoutefpt.org/progColDet.aspx?prog=519&sanction=1","053W","Produce presentation mockups for packaging",NA
"19","Inforoute","Graphic Design","https://www.inforoutefpt.org/progColDet.aspx?prog=519&sanction=1","053X","Produce presentation mockups for publishing projects",NA
"20","Inforoute","Graphic Design","https://www.inforoutefpt.org/progColDet.aspx?prog=519&sanction=1","053Y","Produce presentation mockups for kinetic design projects",NA
"21","Inforoute","Graphic Design","https://www.inforoutefpt.org/progColDet.aspx?prog=519&sanction=1","053Z","Produce presentation mockups for advertising campaigns",NA
"22","Inforoute","Graphic Design","https://www.inforoutefpt.org/progColDet.aspx?prog=519&sanction=1","0541","Analyze the occupation of graphic designer",NA
"23","Inforoute","Graphic Design","https://www.inforoutefpt.org/progColDet.aspx?prog=519&sanction=1","0542","Use idea generation techniques",NA
"24","Inforoute","Graphic Design","https://www.inforoutefpt.org/progColDet.aspx?prog=519&sanction=1","0543","Make concept sketches",NA
"25","Inforoute","Graphic Design","https://www.inforoutefpt.org/progColDet.aspx?prog=519&sanction=1","","",NA
