"","Institution","Program","Program_url","Code","Name","Description"
"1","Inforoute","Graphisme","https://www.inforoutefpt.org/progColDet.aspx?prog=500&sanction=1","052V","Analyser des produits et des exigences de production en communication graphique",NA
"2","Inforoute","Graphisme","https://www.inforoutefpt.org/progColDet.aspx?prog=500&sanction=1","052W","Gérer un environnement informatique",NA
"3","Inforoute","Graphisme","https://www.inforoutefpt.org/progColDet.aspx?prog=500&sanction=1","052X","Acquérir des images",NA
"4","Inforoute","Graphisme","https://www.inforoutefpt.org/progColDet.aspx?prog=500&sanction=1","052Y","Réaliser des images matricielles",NA
"5","Inforoute","Graphisme","https://www.inforoutefpt.org/progColDet.aspx?prog=500&sanction=1","052Z","Réaliser des images vectorielles",NA
"6","Inforoute","Graphisme","https://www.inforoutefpt.org/progColDet.aspx?prog=500&sanction=1","0534","Traiter des éléments typographiques",NA
"7","Inforoute","Graphisme","https://www.inforoutefpt.org/progColDet.aspx?prog=500&sanction=1","0536","Effectuer des mises en pages simples pour des interfaces visuelles",NA
"8","Inforoute","Graphisme","https://www.inforoutefpt.org/progColDet.aspx?prog=500&sanction=1","0539","Coordonner la réalisation d'un projet en communication graphique",NA
"9","Inforoute","Graphisme","https://www.inforoutefpt.org/progColDet.aspx?prog=500&sanction=1","053M","Gérer une micro-entreprise en communication graphique",NA
"10","Inforoute","Graphisme","https://www.inforoutefpt.org/progColDet.aspx?prog=500&sanction=1","053N","Exploiter des éléments de langages visuels en arts visuels et en design graphique",NA
"11","Inforoute","Graphisme","https://www.inforoutefpt.org/progColDet.aspx?prog=500&sanction=1","053P","Créer des harmonies de couleurs",NA
"12","Inforoute","Graphisme","https://www.inforoutefpt.org/progColDet.aspx?prog=500&sanction=1","053Q","Réaliser des designs typographiques",NA
"13","Inforoute","Graphisme","https://www.inforoutefpt.org/progColDet.aspx?prog=500&sanction=1","053R","Créer des maquettes de présentation de pictogrammes et d'icônes",NA
"14","Inforoute","Graphisme","https://www.inforoutefpt.org/progColDet.aspx?prog=500&sanction=1","053S","Créer des maquettes de présentation pour des documents corporatifs",NA
"15","Inforoute","Graphisme","https://www.inforoutefpt.org/progColDet.aspx?prog=500&sanction=1","053T","Effectuer des mises en pages simples et l'impression composite de documents",NA
"16","Inforoute","Graphisme","https://www.inforoutefpt.org/progColDet.aspx?prog=500&sanction=1","053U","Créer des maquettes de présentation pour des identités visuelles",NA
"17","Inforoute","Graphisme","https://www.inforoutefpt.org/progColDet.aspx?prog=500&sanction=1","053V","Créer des projets d'illustration pour des communications graphiques",NA
"18","Inforoute","Graphisme","https://www.inforoutefpt.org/progColDet.aspx?prog=500&sanction=1","053W","Créer des maquettes de présentation pour du packaging",NA
"19","Inforoute","Graphisme","https://www.inforoutefpt.org/progColDet.aspx?prog=500&sanction=1","053X","Créer des maquettes de présentation pour des projets d'édition",NA
"20","Inforoute","Graphisme","https://www.inforoutefpt.org/progColDet.aspx?prog=500&sanction=1","053Y","Créer des maquettes de présentation pour des projets de design cinétique",NA
"21","Inforoute","Graphisme","https://www.inforoutefpt.org/progColDet.aspx?prog=500&sanction=1","053Z","Créer des maquettes de présentation pour des projets de campagne de publicité",NA
"22","Inforoute","Graphisme","https://www.inforoutefpt.org/progColDet.aspx?prog=500&sanction=1","0541","Analyser la fonction de travail de graphiste",NA
"23","Inforoute","Graphisme","https://www.inforoutefpt.org/progColDet.aspx?prog=500&sanction=1","0542","Employer des techniques de production d'idées",NA
"24","Inforoute","Graphisme","https://www.inforoutefpt.org/progColDet.aspx?prog=500&sanction=1","0543","Traduire des concepts en esquisses",NA
"25","Inforoute","Graphisme","https://www.inforoutefpt.org/progColDet.aspx?prog=500&sanction=1","","",NA
