"","Institution","Program","Program_url","Code","Name","Description"
"1","Inforoute","Hotel Management","https://www.inforoutefpt.org/progColDet.aspx?prog=497&sanction=1","047D","To analyze the job function",NA
"2","Inforoute","Hotel Management","https://www.inforoutefpt.org/progColDet.aspx?prog=497&sanction=1","047E","To communicate in the workplace",NA
"3","Inforoute","Hotel Management","https://www.inforoutefpt.org/progColDet.aspx?prog=497&sanction=1","047F","To carry out work-related activities in a second language (French)",NA
"4","Inforoute","Hotel Management","https://www.inforoutefpt.org/progColDet.aspx?prog=497&sanction=1","047G","To process information related to hotel management",NA
"5","Inforoute","Hotel Management","https://www.inforoutefpt.org/progColDet.aspx?prog=497&sanction=1","047H","To adopt a customer-oriented approach",NA
"6","Inforoute","Hotel Management","https://www.inforoutefpt.org/progColDet.aspx?prog=497&sanction=1","047J","To see to the application of rules and regulations specific to the hotel industry",NA
"7","Inforoute","Hotel Management","https://www.inforoutefpt.org/progColDet.aspx?prog=497&sanction=1","047K","To implement management techniques specific to the hotel industry",NA
"8","Inforoute","Hotel Management","https://www.inforoutefpt.org/progColDet.aspx?prog=497&sanction=1","047L","To suggest food and beverage products and services to customers",NA
"9","Inforoute","Hotel Management","https://www.inforoutefpt.org/progColDet.aspx?prog=497&sanction=1","047M","To ensure food and beverage service",NA
"10","Inforoute","Hotel Management","https://www.inforoutefpt.org/progColDet.aspx?prog=497&sanction=1","047N","To sell products and services",NA
"11","Inforoute","Hotel Management","https://www.inforoutefpt.org/progColDet.aspx?prog=497&sanction=1","047P","To carry out activities related to personnel management",NA
"12","Inforoute","Hotel Management","https://www.inforoutefpt.org/progColDet.aspx?prog=497&sanction=1","047Q","To carry out accounting operations",NA
"13","Inforoute","Hotel Management","https://www.inforoutefpt.org/progColDet.aspx?prog=497&sanction=1","047R","To carry out activities related to material resources management",NA
"14","Inforoute","Hotel Management","https://www.inforoutefpt.org/progColDet.aspx?prog=497&sanction=1","047S","To control the quality of hotel products and services",NA
"15","Inforoute","Hotel Management","https://www.inforoutefpt.org/progColDet.aspx?prog=497&sanction=1","047T","To manage activities related to reservations, front-desk and guest services",NA
"16","Inforoute","Hotel Management","https://www.inforoutefpt.org/progColDet.aspx?prog=497&sanction=1","047U","To manage housekeeping activities",NA
"17","Inforoute","Hotel Management","https://www.inforoutefpt.org/progColDet.aspx?prog=497&sanction=1","047V","To manage a hotel’s food and beverage services",NA
"18","Inforoute","Hotel Management","https://www.inforoutefpt.org/progColDet.aspx?prog=497&sanction=1","047W","To manage a hotel’s marketing activities",NA
"19","Inforoute","Hotel Management","https://www.inforoutefpt.org/progColDet.aspx?prog=497&sanction=1","047X","To coordinate hotel and restaurant group activities",NA
"20","Inforoute","Hotel Management","https://www.inforoutefpt.org/progColDet.aspx?prog=497&sanction=1","047Y","To act as an interface between departments",NA
"21","Inforoute","Hotel Management","https://www.inforoutefpt.org/progColDet.aspx?prog=497&sanction=1","","",NA
