"","Institution","Program","Program_url","Code","Name","Description"
"1","Inforoute","Infographie en prémédia","https://www.inforoutefpt.org/progColDet.aspx?prog=502&sanction=1","052U","Analyser la fonction de travail d’infographe",NA
"2","Inforoute","Infographie en prémédia","https://www.inforoutefpt.org/progColDet.aspx?prog=502&sanction=1","052V","Analyser des produits et des exigences de production en communication graphique",NA
"3","Inforoute","Infographie en prémédia","https://www.inforoutefpt.org/progColDet.aspx?prog=502&sanction=1","052W","Gérer un environnement informatique",NA
"4","Inforoute","Infographie en prémédia","https://www.inforoutefpt.org/progColDet.aspx?prog=502&sanction=1","052X","Acquérir des images",NA
"5","Inforoute","Infographie en prémédia","https://www.inforoutefpt.org/progColDet.aspx?prog=502&sanction=1","052Y","Réaliser des images matricielles",NA
"6","Inforoute","Infographie en prémédia","https://www.inforoutefpt.org/progColDet.aspx?prog=502&sanction=1","052Z","Réaliser des images vectorielles",NA
"7","Inforoute","Infographie en prémédia","https://www.inforoutefpt.org/progColDet.aspx?prog=502&sanction=1","0531","Optimiser la gestion des couleurs",NA
"8","Inforoute","Infographie en prémédia","https://www.inforoutefpt.org/progColDet.aspx?prog=502&sanction=1","0532","Produire des images composites pour des impressions normalisées",NA
"9","Inforoute","Infographie en prémédia","https://www.inforoutefpt.org/progColDet.aspx?prog=502&sanction=1","0533","Produire des images composites pour des interfaces visuelles",NA
"10","Inforoute","Infographie en prémédia","https://www.inforoutefpt.org/progColDet.aspx?prog=502&sanction=1","0534","Traiter des éléments typographiques",NA
"11","Inforoute","Infographie en prémédia","https://www.inforoutefpt.org/progColDet.aspx?prog=502&sanction=1","0535","Effectuer des mises en pages simples pour des imprimés",NA
"12","Inforoute","Infographie en prémédia","https://www.inforoutefpt.org/progColDet.aspx?prog=502&sanction=1","0536","Effectuer des mises en pages simples pour des interfaces visuelles",NA
"13","Inforoute","Infographie en prémédia","https://www.inforoutefpt.org/progColDet.aspx?prog=502&sanction=1","0537","Créer des gabarits de mise en pages pour des imprimés",NA
"14","Inforoute","Infographie en prémédia","https://www.inforoutefpt.org/progColDet.aspx?prog=502&sanction=1","0538","Créer des gabarits de mise en pages simples pour des interfaces visuelles",NA
"15","Inforoute","Infographie en prémédia","https://www.inforoutefpt.org/progColDet.aspx?prog=502&sanction=1","0539","Coordonner la réalisation d’un projet en communication graphique",NA
"16","Inforoute","Infographie en prémédia","https://www.inforoutefpt.org/progColDet.aspx?prog=502&sanction=1","053A","Créer des maquettes de présentation de mise en pages simples pour des interfaces visuelles",NA
"17","Inforoute","Infographie en prémédia","https://www.inforoutefpt.org/progColDet.aspx?prog=502&sanction=1","053B","Préparer des épreuves d’imposition avec finition pour des formats normalisés et complexes",NA
"18","Inforoute","Infographie en prémédia","https://www.inforoutefpt.org/progColDet.aspx?prog=502&sanction=1","053C","Effectuer des mises en pages complexes pour des imprimés",NA
"19","Inforoute","Infographie en prémédia","https://www.inforoutefpt.org/progColDet.aspx?prog=502&sanction=1","053D","Créer des maquettes de présentation de mise en pages simples pour des imprimés",NA
"20","Inforoute","Infographie en prémédia","https://www.inforoutefpt.org/progColDet.aspx?prog=502&sanction=1","053E","Produire une mise en pages automatisée",NA
"21","Inforoute","Infographie en prémédia","https://www.inforoutefpt.org/progColDet.aspx?prog=502&sanction=1","053F","Produire des images composites complexes pour des impressions haute fidélité",NA
"22","Inforoute","Infographie en prémédia","https://www.inforoutefpt.org/progColDet.aspx?prog=502&sanction=1","053G","Préparer des documents rastérisés et des plaques offset et flexographiques",NA
"23","Inforoute","Infographie en prémédia","https://www.inforoutefpt.org/progColDet.aspx?prog=502&sanction=1","053H","Préparer des documents pour des impressions numériques",NA
"24","Inforoute","Infographie en prémédia","https://www.inforoutefpt.org/progColDet.aspx?prog=502&sanction=1","053J","Préparer des documents pour des impressions offset normalisées",NA
"25","Inforoute","Infographie en prémédia","https://www.inforoutefpt.org/progColDet.aspx?prog=502&sanction=1","053K","Préparer des documents pour des impressions flexographiques",NA
"26","Inforoute","Infographie en prémédia","https://www.inforoutefpt.org/progColDet.aspx?prog=502&sanction=1","053L","Préparer des documents pour des impressions couleur haute fidélité et à finition complexe",NA
"27","Inforoute","Infographie en prémédia","https://www.inforoutefpt.org/progColDet.aspx?prog=502&sanction=1","053M","Gérer une micro-entreprise en communication graphique",NA
"28","Inforoute","Infographie en prémédia","https://www.inforoutefpt.org/progColDet.aspx?prog=502&sanction=1","","",NA
