"","Institution","Program","Program_url","Code","Name","Description"
"1","Inforoute","Interior Design","https://www.inforoutefpt.org/progColDet.aspx?prog=487&sanction=1","029A","To analyze the job function",NA
"2","Inforoute","Interior Design","https://www.inforoutefpt.org/progColDet.aspx?prog=487&sanction=1","029B","To integrate historical or artistic trends into interior design",NA
"3","Inforoute","Interior Design","https://www.inforoutefpt.org/progColDet.aspx?prog=487&sanction=1","029C","To develop ideas",NA
"4","Inforoute","Interior Design","https://www.inforoutefpt.org/progColDet.aspx?prog=487&sanction=1","029D","To produce sketches",NA
"5","Inforoute","Interior Design","https://www.inforoutefpt.org/progColDet.aspx?prog=487&sanction=1","029E","To draw objects and spaces to scale",NA
"6","Inforoute","Interior Design","https://www.inforoutefpt.org/progColDet.aspx?prog=487&sanction=1","029F","To produce drawings using a computer-assisted drafting system",NA
"7","Inforoute","Interior Design","https://www.inforoutefpt.org/progColDet.aspx?prog=487&sanction=1","029G","To interact with clients, resource-persons and colleagues",NA
"8","Inforoute","Interior Design","https://www.inforoutefpt.org/progColDet.aspx?prog=487&sanction=1","029H","To create a mood, using colour",NA
"9","Inforoute","Interior Design","https://www.inforoutefpt.org/progColDet.aspx?prog=487&sanction=1","029J","To suggest finishes and materials for a project",NA
"10","Inforoute","Interior Design","https://www.inforoutefpt.org/progColDet.aspx?prog=487&sanction=1","029K","To specify the furniture, accessories and equipment for a project",NA
"11","Inforoute","Interior Design","https://www.inforoutefpt.org/progColDet.aspx?prog=487&sanction=1","029L","To use interior architectural and construction elements",NA
"12","Inforoute","Interior Design","https://www.inforoutefpt.org/progColDet.aspx?prog=487&sanction=1","029M","To design custom elements",NA
"13","Inforoute","Interior Design","https://www.inforoutefpt.org/progColDet.aspx?prog=487&sanction=1","029N","To create an interior design concept for a residence",NA
"14","Inforoute","Interior Design","https://www.inforoutefpt.org/progColDet.aspx?prog=487&sanction=1","029P","To present a design concept",NA
"15","Inforoute","Interior Design","https://www.inforoutefpt.org/progColDet.aspx?prog=487&sanction=1","029Q","To create lighting concepts",NA
"16","Inforoute","Interior Design","https://www.inforoutefpt.org/progColDet.aspx?prog=487&sanction=1","029R","To produce working drawings and specificiations",NA
"17","Inforoute","Interior Design","https://www.inforoutefpt.org/progColDet.aspx?prog=487&sanction=1","029S","To carry out administrative tasks",NA
"18","Inforoute","Interior Design","https://www.inforoutefpt.org/progColDet.aspx?prog=487&sanction=1","029T","To plan a layout for a commercial, industrial or public building",NA
"19","Inforoute","Interior Design","https://www.inforoutefpt.org/progColDet.aspx?prog=487&sanction=1","029U","To create an interior design concept for a commercial, industrial or public building",NA
"20","Inforoute","Interior Design","https://www.inforoutefpt.org/progColDet.aspx?prog=487&sanction=1","029V","To promote one's services",NA
"21","Inforoute","Interior Design","https://www.inforoutefpt.org/progColDet.aspx?prog=487&sanction=1","029W","To develop an interior design project",NA
"22","Inforoute","Interior Design","https://www.inforoutefpt.org/progColDet.aspx?prog=487&sanction=1","","",NA
