"","Institution","Program","Program_url","Code","Name","Description"
"1","Inforoute","Interprétation théâtrale","https://www.inforoutefpt.org/progColDet.aspx?prog=401&sanction=1","003U","Situer des oeuvres théâtrales dans leur contexte historique d'émergence",NA
"2","Inforoute","Interprétation théâtrale","https://www.inforoutefpt.org/progColDet.aspx?prog=401&sanction=1","01GN","Analyser la structure dramatique d' un texte de théâtre",NA
"3","Inforoute","Interprétation théâtrale","https://www.inforoutefpt.org/progColDet.aspx?prog=401&sanction=1","01GQ","Percevoir les situations dramatiques d'un texte de théâtre",NA
"4","Inforoute","Interprétation théâtrale","https://www.inforoutefpt.org/progColDet.aspx?prog=401&sanction=1","01GR","Maintenir une hygiène de vie et une condition physique conformes aux exigences de la profession",NA
"5","Inforoute","Interprétation théâtrale","https://www.inforoutefpt.org/progColDet.aspx?prog=401&sanction=1","01GS","Maîtriser les techniques de voix et de diction",NA
"6","Inforoute","Interprétation théâtrale","https://www.inforoutefpt.org/progColDet.aspx?prog=401&sanction=1","01GT","Maîtriser les techniques du mouvement",NA
"7","Inforoute","Interprétation théâtrale","https://www.inforoutefpt.org/progColDet.aspx?prog=401&sanction=1","01GU","Poursuivre son éducation esthétique théâtrale",NA
"8","Inforoute","Interprétation théâtrale","https://www.inforoutefpt.org/progColDet.aspx?prog=401&sanction=1","01GV","Enrichir sa connaissance de comportements humains",NA
"9","Inforoute","Interprétation théâtrale","https://www.inforoutefpt.org/progColDet.aspx?prog=401&sanction=1","01GW","Poursuivre le développement de sa sensibilité artistique",NA
"10","Inforoute","Interprétation théâtrale","https://www.inforoutefpt.org/progColDet.aspx?prog=401&sanction=1","01GX","Établir des communications interpersonnelles et professionnelles",NA
"11","Inforoute","Interprétation théâtrale","https://www.inforoutefpt.org/progColDet.aspx?prog=401&sanction=1","01GY","Poursuivre le développement de sa créativité",NA
"12","Inforoute","Interprétation théâtrale","https://www.inforoutefpt.org/progColDet.aspx?prog=401&sanction=1","01GZ","S'adapter aux différentes approches du jeu théâtral",NA
"13","Inforoute","Interprétation théâtrale","https://www.inforoutefpt.org/progColDet.aspx?prog=401&sanction=1","01H0","Construire un personnage",NA
"14","Inforoute","Interprétation théâtrale","https://www.inforoutefpt.org/progColDet.aspx?prog=401&sanction=1","01H1","Participer aux répétitions",NA
"15","Inforoute","Interprétation théâtrale","https://www.inforoutefpt.org/progColDet.aspx?prog=401&sanction=1","01H2","Se préparer pour une représentation",NA
"16","Inforoute","Interprétation théâtrale","https://www.inforoutefpt.org/progColDet.aspx?prog=401&sanction=1","01H3","Jouer sur scène",NA
"17","Inforoute","Interprétation théâtrale","https://www.inforoutefpt.org/progColDet.aspx?prog=401&sanction=1","01H4","Gérer sa vie professionnelle",NA
"18","Inforoute","Interprétation théâtrale","https://www.inforoutefpt.org/progColDet.aspx?prog=401&sanction=1","","",NA
