"","Institution","Program","Program_url","Code","Name","Description"
"1","Inforoute","Laboratory Technology (Analytical Chemistry)","https://www.inforoutefpt.org/progColDet.aspx?prog=445&sanction=1","01DP","To analyze the occupations",NA
"2","Inforoute","Laboratory Technology (Analytical Chemistry)","https://www.inforoutefpt.org/progColDet.aspx?prog=445&sanction=1","01DQ","To use math tools necessary for analysis",NA
"3","Inforoute","Laboratory Technology (Analytical Chemistry)","https://www.inforoutefpt.org/progColDet.aspx?prog=445&sanction=1","01DR","To understand how the equipment operates",NA
"4","Inforoute","Laboratory Technology (Analytical Chemistry)","https://www.inforoutefpt.org/progColDet.aspx?prog=445&sanction=1","01DS","To use general chemistry principles necessary for analysis interpretation",NA
"5","Inforoute","Laboratory Technology (Analytical Chemistry)","https://www.inforoutefpt.org/progColDet.aspx?prog=445&sanction=1","01DT","To interpret analysis protocols",NA
"6","Inforoute","Laboratory Technology (Analytical Chemistry)","https://www.inforoutefpt.org/progColDet.aspx?prog=445&sanction=1","01DU","To collect samples",NA
"7","Inforoute","Laboratory Technology (Analytical Chemistry)","https://www.inforoutefpt.org/progColDet.aspx?prog=445&sanction=1","01DV","To take physiochemical measurements",NA
"8","Inforoute","Laboratory Technology (Analytical Chemistry)","https://www.inforoutefpt.org/progColDet.aspx?prog=445&sanction=1","01DW","To take electometric measurements",NA
"9","Inforoute","Laboratory Technology (Analytical Chemistry)","https://www.inforoutefpt.org/progColDet.aspx?prog=445&sanction=1","01DX","To perform organic and biochemical analyses using capillary electrophoresis",NA
"10","Inforoute","Laboratory Technology (Analytical Chemistry)","https://www.inforoutefpt.org/progColDet.aspx?prog=445&sanction=1","01DY","To perform organic chemistry and biochemistry analyses using molecular spectrometry",NA
"11","Inforoute","Laboratory Technology (Analytical Chemistry)","https://www.inforoutefpt.org/progColDet.aspx?prog=445&sanction=1","01DZ","To perform organic chemistry and biochemistry analyses using instrumental chromatography",NA
"12","Inforoute","Laboratory Technology (Analytical Chemistry)","https://www.inforoutefpt.org/progColDet.aspx?prog=445&sanction=1","01E0","To maintain standards of quality",NA
"13","Inforoute","Laboratory Technology (Analytical Chemistry)","https://www.inforoutefpt.org/progColDet.aspx?prog=445&sanction=1","01E1","To prepare solutions",NA
"14","Inforoute","Laboratory Technology (Analytical Chemistry)","https://www.inforoutefpt.org/progColDet.aspx?prog=445&sanction=1","01E2","To asses data statistically",NA
"15","Inforoute","Laboratory Technology (Analytical Chemistry)","https://www.inforoutefpt.org/progColDet.aspx?prog=445&sanction=1","01E3","To identify organic molecules",NA
"16","Inforoute","Laboratory Technology (Analytical Chemistry)","https://www.inforoutefpt.org/progColDet.aspx?prog=445&sanction=1","01E4","To characterize biomolecules",NA
"17","Inforoute","Laboratory Technology (Analytical Chemistry)","https://www.inforoutefpt.org/progColDet.aspx?prog=445&sanction=1","01E5","To detect microorganisms",NA
"18","Inforoute","Laboratory Technology (Analytical Chemistry)","https://www.inforoutefpt.org/progColDet.aspx?prog=445&sanction=1","01E6","To manage chemicals and materials",NA
"19","Inforoute","Laboratory Technology (Analytical Chemistry)","https://www.inforoutefpt.org/progColDet.aspx?prog=445&sanction=1","","",NA
