"","Institution","Program","Program_url","Code","Name","Description"
"1","Inforoute","Mechanical Engineering Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=449&sanction=1","012D","To analyze the occupation",NA
"2","Inforoute","Mechanical Engineering Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=449&sanction=1","012E","To solve problems related to industrial mechanics",NA
"3","Inforoute","Mechanical Engineering Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=449&sanction=1","012F","To interpret technical drawings",NA
"4","Inforoute","Mechanical Engineering Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=449&sanction=1","012G","To sketch objects",NA
"5","Inforoute","Mechanical Engineering Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=449&sanction=1","012H","To interpret technical information about materials and manufacturing processes",NA
"6","Inforoute","Mechanical Engineering Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=449&sanction=1","012J","To analyze the internal and external forces exerted on a mechanical object",NA
"7","Inforoute","Mechanical Engineering Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=449&sanction=1","012K","To plan the application of heat treatments",NA
"8","Inforoute","Mechanical Engineering Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=449&sanction=1","012L","To do the engineering design of an object's fasteners",NA
"9","Inforoute","Mechanical Engineering Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=449&sanction=1","012M","To use a computerized work station",NA
"10","Inforoute","Mechanical Engineering Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=449&sanction=1","012N","To produce detail drawings of mechanical components",NA
"11","Inforoute","Mechanical Engineering Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=449&sanction=1","012P","To take and interpret measurements",NA
"12","Inforoute","Mechanical Engineering Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=449&sanction=1","012Q","To operate a conventional lathe",NA
"13","Inforoute","Mechanical Engineering Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=449&sanction=1","012R","To operate a conventional milling machine",NA
"14","Inforoute","Mechanical Engineering Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=449&sanction=1","012S","To determine dimensional tolerances",NA
"15","Inforoute","Mechanical Engineering Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=449&sanction=1","012T","To determine the geometric tolerances required for an assembly",NA
"16","Inforoute","Mechanical Engineering Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=449&sanction=1","012U","To produce assembly drawings",NA
"17","Inforoute","Mechanical Engineering Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=449&sanction=1","012V","To operate a numerical control machine tool",NA
"18","Inforoute","Mechanical Engineering Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=449&sanction=1","012W","To program a machining centre manually",NA
"19","Inforoute","Mechanical Engineering Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=449&sanction=1","012X","To adapt to new types of work organization",NA
"20","Inforoute","Mechanical Engineering Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=449&sanction=1","012Y","To establish the sequence of operations for manufacturing processes",NA
"21","Inforoute","Mechanical Engineering Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=449&sanction=1","012Z","To control the quality of products",NA
"22","Inforoute","Mechanical Engineering Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=449&sanction=1","0130","To modify the design concept of the components of a piece of industrial equipment",NA
"23","Inforoute","Mechanical Engineering Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=449&sanction=1","0131","To do the engineering design of the tools necessary for a manufacturing project",NA
"24","Inforoute","Mechanical Engineering Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=449&sanction=1","","",NA
