"","Institution","Program","Program_url","Code","Name","Description"
"1","Inforoute","Paysage et commercialisation en horticulture ornementale (Espaces verts)","https://www.inforoutefpt.org/progColDet.aspx?prog=278&sanction=1","00FM","Analyser les fonctions de travail",NA
"2","Inforoute","Paysage et commercialisation en horticulture ornementale (Espaces verts)","https://www.inforoutefpt.org/progColDet.aspx?prog=278&sanction=1","00FN","Déterminer les règles de santé et de sécurité au travail",NA
"3","Inforoute","Paysage et commercialisation en horticulture ornementale (Espaces verts)","https://www.inforoutefpt.org/progColDet.aspx?prog=278&sanction=1","00FP","Employer de la machinerie et de l'équipement horticoles",NA
"4","Inforoute","Paysage et commercialisation en horticulture ornementale (Espaces verts)","https://www.inforoutefpt.org/progColDet.aspx?prog=278&sanction=1","00FQ","Utiliser des produits phytosanitaires",NA
"5","Inforoute","Paysage et commercialisation en horticulture ornementale (Espaces verts)","https://www.inforoutefpt.org/progColDet.aspx?prog=278&sanction=1","00FR","Assurer la qualité des végétaux en production",NA
"6","Inforoute","Paysage et commercialisation en horticulture ornementale (Espaces verts)","https://www.inforoutefpt.org/progColDet.aspx?prog=278&sanction=1","00FS","Réaliser des travaux d'entretien horticole",NA
"7","Inforoute","Paysage et commercialisation en horticulture ornementale (Espaces verts)","https://www.inforoutefpt.org/progColDet.aspx?prog=278&sanction=1","00FT","Utiliser des stratégies de vente",NA
"8","Inforoute","Paysage et commercialisation en horticulture ornementale (Espaces verts)","https://www.inforoutefpt.org/progColDet.aspx?prog=278&sanction=1","00FU","Exécuter des opérations d'approvisionnement",NA
"9","Inforoute","Paysage et commercialisation en horticulture ornementale (Espaces verts)","https://www.inforoutefpt.org/progColDet.aspx?prog=278&sanction=1","00FV","Produire des communications techniques",NA
"10","Inforoute","Paysage et commercialisation en horticulture ornementale (Espaces verts)","https://www.inforoutefpt.org/progColDet.aspx?prog=278&sanction=1","00FW","Coordonner une équipe",NA
"11","Inforoute","Paysage et commercialisation en horticulture ornementale (Espaces verts)","https://www.inforoutefpt.org/progColDet.aspx?prog=278&sanction=1","","",NA
