"","Institution","Program","Program_url","Code","Name","Description"
"1","Inforoute","Photographie","https://www.inforoutefpt.org/progColDet.aspx?prog=410&sanction=1","048Z","Analyser la fonction de travail de photographe",NA
"2","Inforoute","Photographie","https://www.inforoutefpt.org/progColDet.aspx?prog=410&sanction=1","0491","Utiliser des logiciels d'application générale dans le domaine de la photographie",NA
"3","Inforoute","Photographie","https://www.inforoutefpt.org/progColDet.aspx?prog=410&sanction=1","0492","Effectuer des prises de vues hors studio et en studio",NA
"4","Inforoute","Photographie","https://www.inforoutefpt.org/progColDet.aspx?prog=410&sanction=1","0493","Traiter des photographies sur support argentique",NA
"5","Inforoute","Photographie","https://www.inforoutefpt.org/progColDet.aspx?prog=410&sanction=1","0494","Apprécier des oeuvres du domaine des arts visuels",NA
"6","Inforoute","Photographie","https://www.inforoutefpt.org/progColDet.aspx?prog=410&sanction=1","0495","Développer sa créativité",NA
"7","Inforoute","Photographie","https://www.inforoutefpt.org/progColDet.aspx?prog=410&sanction=1","0496","Utiliser des logiciels de traitement d'images",NA
"8","Inforoute","Photographie","https://www.inforoutefpt.org/progColDet.aspx?prog=410&sanction=1","0497","Établir des relations professionnelles en photographie",NA
"9","Inforoute","Photographie","https://www.inforoutefpt.org/progColDet.aspx?prog=410&sanction=1","0498","Effectuer la gestion informatique des couleurs en photographie",NA
"10","Inforoute","Photographie","https://www.inforoutefpt.org/progColDet.aspx?prog=410&sanction=1","0499","Concevoir et préparer l'éclairage pour des photographies",NA
"11","Inforoute","Photographie","https://www.inforoutefpt.org/progColDet.aspx?prog=410&sanction=1","049A","Apprécier le potentiel photographique de phénomènes sociaux",NA
"12","Inforoute","Photographie","https://www.inforoutefpt.org/progColDet.aspx?prog=410&sanction=1","049B","Réaliser des photographies d'événements sociaux et des portraits",NA
"13","Inforoute","Photographie","https://www.inforoutefpt.org/progColDet.aspx?prog=410&sanction=1","049C","Réaliser des photographies documentaires et de reportage",NA
"14","Inforoute","Photographie","https://www.inforoutefpt.org/progColDet.aspx?prog=410&sanction=1","049D","Effectuer la gestion de documents photographiques",NA
"15","Inforoute","Photographie","https://www.inforoutefpt.org/progColDet.aspx?prog=410&sanction=1","049E","Créer des décors pour des photographies",NA
"16","Inforoute","Photographie","https://www.inforoutefpt.org/progColDet.aspx?prog=410&sanction=1","049F","Concevoir une mise en scène pour des photographies",NA
"17","Inforoute","Photographie","https://www.inforoutefpt.org/progColDet.aspx?prog=410&sanction=1","049G","Réaliser des photographies commerciales, industrielles et publicitaires",NA
"18","Inforoute","Photographie","https://www.inforoutefpt.org/progColDet.aspx?prog=410&sanction=1","049H","Gérer et promouvoir sa carrière",NA
"19","Inforoute","Photographie","https://www.inforoutefpt.org/progColDet.aspx?prog=410&sanction=1","049J","Réaliser des photographies d'art ou d'auteur",NA
"20","Inforoute","Photographie","https://www.inforoutefpt.org/progColDet.aspx?prog=410&sanction=1","049K","Effectuer des travaux liés à la mise sur pied et à la gestion d'une entreprise en photographie",NA
"21","Inforoute","Photographie","https://www.inforoutefpt.org/progColDet.aspx?prog=410&sanction=1","","",NA
