"","Institution","Program","Program_url","Code","Name","Description"
"1","Inforoute","Police Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=532&sanction=1","06DL","Analyze the occupation of patrol officer and its organizational context",NA
"2","Inforoute","Police Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=532&sanction=1","06DM","Carry out criminological analyses of situations and contexts specific to police work",NA
"3","Inforoute","Police Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=532&sanction=1","06DN","Adapt the principles and basic techniques of communication to the context of police intervention",NA
"4","Inforoute","Police Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=532&sanction=1","06DP","Establish the roles and responsibilities of a patrol officer within the legal system of Québec",NA
"5","Inforoute","Police Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=532&sanction=1","06DQ","Use observation methods",NA
"6","Inforoute","Police Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=532&sanction=1","06DR","Interact with a diverse public",NA
"7","Inforoute","Police Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=532&sanction=1","06DS","Interact with members of their organization",NA
"8","Inforoute","Police Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=532&sanction=1","06DT","Intervene in situations of a private nature",NA
"9","Inforoute","Police Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=532&sanction=1","06DU","Perform police activities within planned or supervised operations",NA
"10","Inforoute","Police Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=532&sanction=1","06DV","Provide emergency first aid",NA
"11","Inforoute","Police Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=532&sanction=1","06DW","Determine the role of the patrol officer in different situations involving young people in difficulty or young offenders",NA
"12","Inforoute","Police Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=532&sanction=1","06DX","Establish the role of the patrol officer and other parties in the judicial process and in rehabilitation",NA
"13","Inforoute","Police Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=532&sanction=1","06DY","Interact with people belonging to various cultural and ethnic communities",NA
"14","Inforoute","Police Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=532&sanction=1","06DZ","Exercise the powers and duties of a patrol officer as regards Québec laws and municipal bylaws",NA
"15","Inforoute","Police Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=532&sanction=1","06E0","Establish that a crime has been committed",NA
"16","Inforoute","Police Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=532&sanction=1","06E1","Intervene at a crime scene",NA
"17","Inforoute","Police Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=532&sanction=1","06E2","Defend themselves against physical assault",NA
"18","Inforoute","Police Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=532&sanction=1","06E3","Work in partnership with different community resources",NA
"19","Inforoute","Police Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=532&sanction=1","06E4","Intervene at the scene of a fire or other emergency situations",NA
"20","Inforoute","Police Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=532&sanction=1","06E5","Carry out police interventions to provide help or assistance in minor incidents",NA
"21","Inforoute","Police Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=532&sanction=1","06E6","Defend themselves in hand-to-hand combats",NA
"22","Inforoute","Police Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=532&sanction=1","06E7","Exercise the powers and duties of a patrol officer in criminal matters",NA
"23","Inforoute","Police Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=532&sanction=1","06E8","Plan and apply intervention strategies that are preventive, repressive and community-oriented",NA
"24","Inforoute","Police Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=532&sanction=1","06E9","Manage stress inherent in police work",NA
"25","Inforoute","Police Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=532&sanction=1","06EA","Put into practice specialized police communication techniques",NA
"26","Inforoute","Police Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=532&sanction=1","06EB","Intervene with an individual with a mental health problem or a substance abuse problem",NA
"27","Inforoute","Police Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=532&sanction=1","06EC","Exercise the powers and duties of a patrol officer in matters of road safety",NA
"28","Inforoute","Police Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=532&sanction=1","06EE","Analyze and communicate proof of criminal offences",NA
"29","Inforoute","Police Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=532&sanction=1","06EF","Carry out police interventions relating to tobacco, alcohol, drugs or other addictive substances",NA
"30","Inforoute","Police Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=532&sanction=1","06EG","Use defensive driving techniques",NA
"31","Inforoute","Police Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=532&sanction=1","06EH","Control a violent individual",NA
"32","Inforoute","Police Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=532&sanction=1","06EK","Carry out police interventions related to traffic and traffic accidents",NA
"33","Inforoute","Police Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=532&sanction=1","06EL","Intervene with individuals in a crisis situation",NA
"34","Inforoute","Police Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=532&sanction=1","06EM","Conduct a first-level criminal investigation",NA
"35","Inforoute","Police Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=532&sanction=1","06F4","Carry out police interventions related to impaired driving under the influence of alcohol or drugs",NA
"36","Inforoute","Police Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=532&sanction=1","06F5","Meet the specific physical requirements of police work",NA
"37","Inforoute","Police Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=532&sanction=1","","",NA
