"","Institution","Program","Program_url","Code","Name","Description"
"1","Inforoute","Prehospital Emergency Care","https://www.inforoutefpt.org/progColDet.aspx?prog=441&sanction=1","052A","To analyze the job function",NA
"2","Inforoute","Prehospital Emergency Care","https://www.inforoutefpt.org/progColDet.aspx?prog=441&sanction=1","052B","To develop an integrated view of the human body and its functions",NA
"3","Inforoute","Prehospital Emergency Care","https://www.inforoutefpt.org/progColDet.aspx?prog=441&sanction=1","052C","To preserve one’s psychological and physical integrity",NA
"4","Inforoute","Prehospital Emergency Care","https://www.inforoutefpt.org/progColDet.aspx?prog=441&sanction=1","052D","To move patients",NA
"5","Inforoute","Prehospital Emergency Care","https://www.inforoutefpt.org/progColDet.aspx?prog=441&sanction=1","052E","To use patient assessment methods",NA
"6","Inforoute","Prehospital Emergency Care","https://www.inforoutefpt.org/progColDet.aspx?prog=441&sanction=1","052F","To interpret a clinical situation",NA
"7","Inforoute","Prehospital Emergency Care","https://www.inforoutefpt.org/progColDet.aspx?prog=441&sanction=1","052G","To communicate in helping relationships",NA
"8","Inforoute","Prehospital Emergency Care","https://www.inforoutefpt.org/progColDet.aspx?prog=441&sanction=1","052H","To intervene with patients requiring resuscitation",NA
"9","Inforoute","Prehospital Emergency Care","https://www.inforoutefpt.org/progColDet.aspx?prog=441&sanction=1","052J","To establish relationships between pharmacology or drug use and clinical situations",NA
"10","Inforoute","Prehospital Emergency Care","https://www.inforoutefpt.org/progColDet.aspx?prog=441&sanction=1","052K","To prevent the spread of infection or immunological disorders",NA
"11","Inforoute","Prehospital Emergency Care","https://www.inforoutefpt.org/progColDet.aspx?prog=441&sanction=1","052L","To intervene with patients requiring medical care",NA
"12","Inforoute","Prehospital Emergency Care","https://www.inforoutefpt.org/progColDet.aspx?prog=441&sanction=1","052M","To communicate in the workplace",NA
"13","Inforoute","Prehospital Emergency Care","https://www.inforoutefpt.org/progColDet.aspx?prog=441&sanction=1","052N","To use an ambulance in intervention situations",NA
"14","Inforoute","Prehospital Emergency Care","https://www.inforoutefpt.org/progColDet.aspx?prog=441&sanction=1","052P","To intervene with patients in trauma situations",NA
"15","Inforoute","Prehospital Emergency Care","https://www.inforoutefpt.org/progColDet.aspx?prog=441&sanction=1","052Q","To behave professionally in accordance with the occupation’s code of ethics",NA
"16","Inforoute","Prehospital Emergency Care","https://www.inforoutefpt.org/progColDet.aspx?prog=441&sanction=1","052R","To deal with social and cultural realities surrounding health matters",NA
"17","Inforoute","Prehospital Emergency Care","https://www.inforoutefpt.org/progColDet.aspx?prog=441&sanction=1","052S","To intervene with patients exhibiting various behavioural problems",NA
"18","Inforoute","Prehospital Emergency Care","https://www.inforoutefpt.org/progColDet.aspx?prog=441&sanction=1","052T","To intervene on the scene of a disaster or an antisocial act or in specific situations",NA
"19","Inforoute","Prehospital Emergency Care","https://www.inforoutefpt.org/progColDet.aspx?prog=441&sanction=1","","",NA
