"","Institution","Program","Program_url","Code","Name","Description"
"1","Inforoute","Professional Theatre (Acting)","https://www.inforoutefpt.org/progColDet.aspx?prog=484&sanction=1","003U","To situate theatrical works in their historical context",NA
"2","Inforoute","Professional Theatre (Acting)","https://www.inforoutefpt.org/progColDet.aspx?prog=484&sanction=1","01GN","To analyze the dramatic structure of a theatrical text",NA
"3","Inforoute","Professional Theatre (Acting)","https://www.inforoutefpt.org/progColDet.aspx?prog=484&sanction=1","01GQ","To develop a sensitive perception for dramatic development in a theatrical text",NA
"4","Inforoute","Professional Theatre (Acting)","https://www.inforoutefpt.org/progColDet.aspx?prog=484&sanction=1","01GR","To maintain a lifestyle and a program of physical conditioning compatible with the demands of the acting profession",NA
"5","Inforoute","Professional Theatre (Acting)","https://www.inforoutefpt.org/progColDet.aspx?prog=484&sanction=1","01GS","To master techniques of voice and speech",NA
"6","Inforoute","Professional Theatre (Acting)","https://www.inforoutefpt.org/progColDet.aspx?prog=484&sanction=1","01GT","To master movement techniques",NA
"7","Inforoute","Professional Theatre (Acting)","https://www.inforoutefpt.org/progColDet.aspx?prog=484&sanction=1","01GU","To pursue one's aesthetic education",NA
"8","Inforoute","Professional Theatre (Acting)","https://www.inforoutefpt.org/progColDet.aspx?prog=484&sanction=1","01GV","To enrich one's knowledge of human behaviour",NA
"9","Inforoute","Professional Theatre (Acting)","https://www.inforoutefpt.org/progColDet.aspx?prog=484&sanction=1","01GW","To develop an artistic sensibility",NA
"10","Inforoute","Professional Theatre (Acting)","https://www.inforoutefpt.org/progColDet.aspx?prog=484&sanction=1","01GX","To establish interpersonal and professionnal communication",NA
"11","Inforoute","Professional Theatre (Acting)","https://www.inforoutefpt.org/progColDet.aspx?prog=484&sanction=1","01GY","To develop one's creativity",NA
"12","Inforoute","Professional Theatre (Acting)","https://www.inforoutefpt.org/progColDet.aspx?prog=484&sanction=1","01GZ","To adapt to different acting styles",NA
"13","Inforoute","Professional Theatre (Acting)","https://www.inforoutefpt.org/progColDet.aspx?prog=484&sanction=1","01H0","To build a character",NA
"14","Inforoute","Professional Theatre (Acting)","https://www.inforoutefpt.org/progColDet.aspx?prog=484&sanction=1","01H1","To participate in rehearsals",NA
"15","Inforoute","Professional Theatre (Acting)","https://www.inforoutefpt.org/progColDet.aspx?prog=484&sanction=1","01H2","To prepare for a performance",NA
"16","Inforoute","Professional Theatre (Acting)","https://www.inforoutefpt.org/progColDet.aspx?prog=484&sanction=1","01H3","To perform on stage",NA
"17","Inforoute","Professional Theatre (Acting)","https://www.inforoutefpt.org/progColDet.aspx?prog=484&sanction=1","01H4","To manage one's professional life",NA
"18","Inforoute","Professional Theatre (Acting)","https://www.inforoutefpt.org/progColDet.aspx?prog=484&sanction=1","","",NA
