"","Institution","Program","Program_url","Code","Name","Description"
"1","Inforoute","Programmation, réseau et Web
					Collège Bart (1975)","https://www.inforoutefpt.org/offreColDet.aspx?offre=12117&sanction=2","0250","To analyze the job function",NA
"2","Inforoute","Programmation, réseau et Web
					Collège Bart (1975)","https://www.inforoutefpt.org/offreColDet.aspx?offre=12117&sanction=2","0251","To work with major trends in visual and graphic arts",NA
"3","Inforoute","Programmation, réseau et Web
					Collège Bart (1975)","https://www.inforoutefpt.org/offreColDet.aspx?offre=12117&sanction=2","0252","To analyze a production",NA
"4","Inforoute","Programmation, réseau et Web
					Collège Bart (1975)","https://www.inforoutefpt.org/offreColDet.aspx?offre=12117&sanction=2","0253","To draw a character and its environment",NA
"5","Inforoute","Programmation, réseau et Web
					Collège Bart (1975)","https://www.inforoutefpt.org/offreColDet.aspx?offre=12117&sanction=2","0254","To acquire images",NA
"6","Inforoute","Programmation, réseau et Web
					Collège Bart (1975)","https://www.inforoutefpt.org/offreColDet.aspx?offre=12117&sanction=2","0255","To produce a concept sketch",NA
"7","Inforoute","Programmation, réseau et Web
					Collège Bart (1975)","https://www.inforoutefpt.org/offreColDet.aspx?offre=12117&sanction=2","0256","To process digital images",NA
"8","Inforoute","Programmation, réseau et Web
					Collège Bart (1975)","https://www.inforoutefpt.org/offreColDet.aspx?offre=12117&sanction=2","0257","To shape a model",NA
"9","Inforoute","Programmation, réseau et Web
					Collège Bart (1975)","https://www.inforoutefpt.org/offreColDet.aspx?offre=12117&sanction=2","0258","To stage a scene",NA
"10","Inforoute","Programmation, réseau et Web
					Collège Bart (1975)","https://www.inforoutefpt.org/offreColDet.aspx?offre=12117&sanction=2","0259","To design environments",NA
"11","Inforoute","Programmation, réseau et Web
					Collège Bart (1975)","https://www.inforoutefpt.org/offreColDet.aspx?offre=12117&sanction=2","025A","To design characters",NA
"12","Inforoute","Programmation, réseau et Web
					Collège Bart (1975)","https://www.inforoutefpt.org/offreColDet.aspx?offre=12117&sanction=2","025B","To develop a storyboard",NA
"13","Inforoute","Programmation, réseau et Web
					Collège Bart (1975)","https://www.inforoutefpt.org/offreColDet.aspx?offre=12117&sanction=2","025C","To assemble media elements",NA
"14","Inforoute","Programmation, réseau et Web
					Collège Bart (1975)","https://www.inforoutefpt.org/offreColDet.aspx?offre=12117&sanction=2","025D","To produce computer-generated images",NA
"15","Inforoute","Programmation, réseau et Web
					Collège Bart (1975)","https://www.inforoutefpt.org/offreColDet.aspx?offre=12117&sanction=2","025E","To model props",NA
"16","Inforoute","Programmation, réseau et Web
					Collège Bart (1975)","https://www.inforoutefpt.org/offreColDet.aspx?offre=12117&sanction=2","025F","To model sets",NA
"17","Inforoute","Programmation, réseau et Web
					Collège Bart (1975)","https://www.inforoutefpt.org/offreColDet.aspx?offre=12117&sanction=2","025G","To model characters",NA
"18","Inforoute","Programmation, réseau et Web
					Collège Bart (1975)","https://www.inforoutefpt.org/offreColDet.aspx?offre=12117&sanction=2","025H","To represent movements in three dimensions",NA
"19","Inforoute","Programmation, réseau et Web
					Collège Bart (1975)","https://www.inforoutefpt.org/offreColDet.aspx?offre=12117&sanction=2","025J","To animate characters",NA
"20","Inforoute","Programmation, réseau et Web
					Collège Bart (1975)","https://www.inforoutefpt.org/offreColDet.aspx?offre=12117&sanction=2","025K","To create digital visual effects",NA
"21","Inforoute","Programmation, réseau et Web
					Collège Bart (1975)","https://www.inforoutefpt.org/offreColDet.aspx?offre=12117&sanction=2","025L","To produce a 3D animation film",NA
"22","Inforoute","Programmation, réseau et Web
					Collège Bart (1975)","https://www.inforoutefpt.org/offreColDet.aspx?offre=12117&sanction=2","025M","To prepare to enter the work force",NA
"23","Inforoute","Programmation, réseau et Web
					Collège Bart (1975)","https://www.inforoutefpt.org/offreColDet.aspx?offre=12117&sanction=2","","",NA
