"","Institution","Program","Program_url","Code","Name","Description"
"1","Inforoute","Social Service","https://www.inforoutefpt.org/progColDet.aspx?prog=464&sanction=1","0188","To examine the job functions of a social service worker",NA
"2","Inforoute","Social Service","https://www.inforoutefpt.org/progColDet.aspx?prog=464&sanction=1","0189","To investigate public and community social service resources",NA
"3","Inforoute","Social Service","https://www.inforoutefpt.org/progColDet.aspx?prog=464&sanction=1","018A","To form a helping relationship",NA
"4","Inforoute","Social Service","https://www.inforoutefpt.org/progColDet.aspx?prog=464&sanction=1","018B","To analyze links between social problems, social policies and social interventions",NA
"5","Inforoute","Social Service","https://www.inforoutefpt.org/progColDet.aspx?prog=464&sanction=1","018C","To analyze social legislation",NA
"6","Inforoute","Social Service","https://www.inforoutefpt.org/progColDet.aspx?prog=464&sanction=1","018D","To assess the needs and resources of an individual",NA
"7","Inforoute","Social Service","https://www.inforoutefpt.org/progColDet.aspx?prog=464&sanction=1","018E","To evaluate the ethical dimensions of intervention",NA
"8","Inforoute","Social Service","https://www.inforoutefpt.org/progColDet.aspx?prog=464&sanction=1","018F","To carry out an interview",NA
"9","Inforoute","Social Service","https://www.inforoutefpt.org/progColDet.aspx?prog=464&sanction=1","018G","To facilitate a group",NA
"10","Inforoute","Social Service","https://www.inforoutefpt.org/progColDet.aspx?prog=464&sanction=1","018H","To engage in social research",NA
"11","Inforoute","Social Service","https://www.inforoutefpt.org/progColDet.aspx?prog=464&sanction=1","018J","To carry out group-work interventions",NA
"12","Inforoute","Social Service","https://www.inforoutefpt.org/progColDet.aspx?prog=464&sanction=1","018K","To assess the needs and resources of a family",NA
"13","Inforoute","Social Service","https://www.inforoutefpt.org/progColDet.aspx?prog=464&sanction=1","018L","To assess the needs and resources of social groups",NA
"14","Inforoute","Social Service","https://www.inforoutefpt.org/progColDet.aspx?prog=464&sanction=1","018M","To make referrals",NA
"15","Inforoute","Social Service","https://www.inforoutefpt.org/progColDet.aspx?prog=464&sanction=1","018N","To defend individual and collective rights",NA
"16","Inforoute","Social Service","https://www.inforoutefpt.org/progColDet.aspx?prog=464&sanction=1","018P","To carry out psychosocial interventions with individuals or families",NA
"17","Inforoute","Social Service","https://www.inforoutefpt.org/progColDet.aspx?prog=464&sanction=1","018Q","To function within a team",NA
"18","Inforoute","Social Service","https://www.inforoutefpt.org/progColDet.aspx?prog=464&sanction=1","018R","To carry out community interventions",NA
"19","Inforoute","Social Service","https://www.inforoutefpt.org/progColDet.aspx?prog=464&sanction=1","018S","To develop a service plan or action plan",NA
"20","Inforoute","Social Service","https://www.inforoutefpt.org/progColDet.aspx?prog=464&sanction=1","018T","To participate in the development and coordination of services and resources",NA
"21","Inforoute","Social Service","https://www.inforoutefpt.org/progColDet.aspx?prog=464&sanction=1","018U","To protect their personal well-being",NA
"22","Inforoute","Social Service","https://www.inforoutefpt.org/progColDet.aspx?prog=464&sanction=1","018V","To carry out interventions in a socio-judicial context",NA
"23","Inforoute","Social Service","https://www.inforoutefpt.org/progColDet.aspx?prog=464&sanction=1","018W","To carry out interventions with people in crisis",NA
"24","Inforoute","Social Service","https://www.inforoutefpt.org/progColDet.aspx?prog=464&sanction=1","018X","To carry out interventions using a generalist approach",NA
"25","Inforoute","Social Service","https://www.inforoutefpt.org/progColDet.aspx?prog=464&sanction=1","","",NA
