"","Institution","Program","Program_url","Code","Name","Description"
"1","Inforoute","Soins infirmiers","https://www.inforoutefpt.org/progColDet.aspx?prog=292&sanction=1","01Q0","Analyser la fonction de travail",NA
"2","Inforoute","Soins infirmiers","https://www.inforoutefpt.org/progColDet.aspx?prog=292&sanction=1","01Q1","Développer une vision intégrée du corps humain et de son fonctionnement",NA
"3","Inforoute","Soins infirmiers","https://www.inforoutefpt.org/progColDet.aspx?prog=292&sanction=1","01Q2","Composer avec les réactions et les comportements d'une personne",NA
"4","Inforoute","Soins infirmiers","https://www.inforoutefpt.org/progColDet.aspx?prog=292&sanction=1","01Q3","Se référer à une conception de la discilpline infirmière pour définir sa pratique professionnelle",NA
"5","Inforoute","Soins infirmiers","https://www.inforoutefpt.org/progColDet.aspx?prog=292&sanction=1","01Q4","Utiliser des méthodes d'évaluation et des méthodes de soins",NA
"6","Inforoute","Soins infirmiers","https://www.inforoutefpt.org/progColDet.aspx?prog=292&sanction=1","01Q5","Établir une communication aidante avec la personne et ses proches",NA
"7","Inforoute","Soins infirmiers","https://www.inforoutefpt.org/progColDet.aspx?prog=292&sanction=1","01Q6","Composer avec des réalités sociales et culturelles liées à la santé",NA
"8","Inforoute","Soins infirmiers","https://www.inforoutefpt.org/progColDet.aspx?prog=292&sanction=1","01Q7","Relier des désordres immunologiques et des infections aux mécanismes physiologiques et métaboliques",NA
"9","Inforoute","Soins infirmiers","https://www.inforoutefpt.org/progColDet.aspx?prog=292&sanction=1","01Q8","Interpréter une situation clinique en se référant aux pathologies et aux problèmes relevant du domaine infirmier",NA
"10","Inforoute","Soins infirmiers","https://www.inforoutefpt.org/progColDet.aspx?prog=292&sanction=1","01Q9","Établir des liens entre la pharmacothérapie et une situation clinique",NA
"11","Inforoute","Soins infirmiers","https://www.inforoutefpt.org/progColDet.aspx?prog=292&sanction=1","01QA","Enseigner à la personne et à ses proches",NA
"12","Inforoute","Soins infirmiers","https://www.inforoutefpt.org/progColDet.aspx?prog=292&sanction=1","01QB","Assister la personne dans le maintien et l'amélioration de sa santé",NA
"13","Inforoute","Soins infirmiers","https://www.inforoutefpt.org/progColDet.aspx?prog=292&sanction=1","01QC","S'adapter à différentes situations de travail",NA
"14","Inforoute","Soins infirmiers","https://www.inforoutefpt.org/progColDet.aspx?prog=292&sanction=1","01QD","Établir des relations de collaboration avec les intervenantes et les intervenants",NA
"15","Inforoute","Soins infirmiers","https://www.inforoutefpt.org/progColDet.aspx?prog=292&sanction=1","01QE","Intervenir auprès d'adultes et de personnes âgées hospitalisés requérant des soins infirmiers de médecine et de chirurgie",NA
"16","Inforoute","Soins infirmiers","https://www.inforoutefpt.org/progColDet.aspx?prog=292&sanction=1","01QF","Concevoir son rôle en s'appuyant sur l'éthique et sur les valeurs de la profession",NA
"17","Inforoute","Soins infirmiers","https://www.inforoutefpt.org/progColDet.aspx?prog=292&sanction=1","01QG","Appliquer des mesures d'urgence",NA
"18","Inforoute","Soins infirmiers","https://www.inforoutefpt.org/progColDet.aspx?prog=292&sanction=1","01QH","Intervenir auprès d'une clientèle requérant des soins infirmiers en périnatalité",NA
"19","Inforoute","Soins infirmiers","https://www.inforoutefpt.org/progColDet.aspx?prog=292&sanction=1","01QJ","Intervenir auprès d'enfants ainsi que d'adolescentes et d'adolescents requérant des soins infirmiers",NA
"20","Inforoute","Soins infirmiers","https://www.inforoutefpt.org/progColDet.aspx?prog=292&sanction=1","01QK","Intervenir auprès de personnes recevant des soins infirmiers en médecine et en chirurgie dans des services ambulatoires",NA
"21","Inforoute","Soins infirmiers","https://www.inforoutefpt.org/progColDet.aspx?prog=292&sanction=1","01QL","Intervenir auprès de personnes requérant des soins infirmiers en santé mentale",NA
"22","Inforoute","Soins infirmiers","https://www.inforoutefpt.org/progColDet.aspx?prog=292&sanction=1","01QM","Intervenir auprès d'adultes et de personnes âgées en perte d'autonomie requérant des soins infirmiers en établissement",NA
"23","Inforoute","Soins infirmiers","https://www.inforoutefpt.org/progColDet.aspx?prog=292&sanction=1","","",NA
