"","Institution","Program","Program_url","Code","Name","Description"
"1","Inforoute","Soins préhospitaliers d'urgence","https://www.inforoutefpt.org/progColDet.aspx?prog=293&sanction=1","052A","Analyser la fonction de travail",NA
"2","Inforoute","Soins préhospitaliers d'urgence","https://www.inforoutefpt.org/progColDet.aspx?prog=293&sanction=1","052B","Manifester une vision intégrée du corps humain et de son fonctionnement",NA
"3","Inforoute","Soins préhospitaliers d'urgence","https://www.inforoutefpt.org/progColDet.aspx?prog=293&sanction=1","052C","Préserver son intégrité psychologique et physique",NA
"4","Inforoute","Soins préhospitaliers d'urgence","https://www.inforoutefpt.org/progColDet.aspx?prog=293&sanction=1","052D","Effectuer des déplacements de personnes",NA
"5","Inforoute","Soins préhospitaliers d'urgence","https://www.inforoutefpt.org/progColDet.aspx?prog=293&sanction=1","052E","Utiliser des méthodes d'appréciation de la condition clinique",NA
"6","Inforoute","Soins préhospitaliers d'urgence","https://www.inforoutefpt.org/progColDet.aspx?prog=293&sanction=1","052F","Interpréter une situation clinique",NA
"7","Inforoute","Soins préhospitaliers d'urgence","https://www.inforoutefpt.org/progColDet.aspx?prog=293&sanction=1","052G","Établir une communication aidante",NA
"8","Inforoute","Soins préhospitaliers d'urgence","https://www.inforoutefpt.org/progColDet.aspx?prog=293&sanction=1","052H","Intervenir auprès de personnes nécessitant des soins de réanimation",NA
"9","Inforoute","Soins préhospitaliers d'urgence","https://www.inforoutefpt.org/progColDet.aspx?prog=293&sanction=1","052J","Établir des liens entre la pharmacologie ou la consommation de drogues et des situations cliniques",NA
"10","Inforoute","Soins préhospitaliers d'urgence","https://www.inforoutefpt.org/progColDet.aspx?prog=293&sanction=1","052K","Prévenir la propagation de désordres immunologiques ou d'infections",NA
"11","Inforoute","Soins préhospitaliers d'urgence","https://www.inforoutefpt.org/progColDet.aspx?prog=293&sanction=1","052L","Intervenir auprès de personnes nécessitant des soins médicaux",NA
"12","Inforoute","Soins préhospitaliers d'urgence","https://www.inforoutefpt.org/progColDet.aspx?prog=293&sanction=1","052M","Communiquer en milieu de travail",NA
"13","Inforoute","Soins préhospitaliers d'urgence","https://www.inforoutefpt.org/progColDet.aspx?prog=293&sanction=1","052N","Utiliser une ambulance en situation d'intervention",NA
"14","Inforoute","Soins préhospitaliers d'urgence","https://www.inforoutefpt.org/progColDet.aspx?prog=293&sanction=1","052P","Intervenir auprès de personnes en situation traumatique",NA
"15","Inforoute","Soins préhospitaliers d'urgence","https://www.inforoutefpt.org/progColDet.aspx?prog=293&sanction=1","052Q","Adopter une conduite professionnelle en accord avec l'éthique de la profession",NA
"16","Inforoute","Soins préhospitaliers d'urgence","https://www.inforoutefpt.org/progColDet.aspx?prog=293&sanction=1","052R","Composer avec des réalités sociales et culturelles liées à la santé",NA
"17","Inforoute","Soins préhospitaliers d'urgence","https://www.inforoutefpt.org/progColDet.aspx?prog=293&sanction=1","052S","Intervenir auprès de personnes manifestant divers problèmes de comportements",NA
"18","Inforoute","Soins préhospitaliers d'urgence","https://www.inforoutefpt.org/progColDet.aspx?prog=293&sanction=1","052T","Intervenir sur les lieux d'un sinistre, d'un acte antisocial ou lors de situations particulières",NA
"19","Inforoute","Soins préhospitaliers d'urgence","https://www.inforoutefpt.org/progColDet.aspx?prog=293&sanction=1","","",NA
