"","Institution","Program","Program_url","Code","Name","Description"
"1","Inforoute","Techniques d'aménagement cynégétique et halieutique","https://www.inforoutefpt.org/progColDet.aspx?prog=260&sanction=1","043J","Analyser la fonction de travail",NA
"2","Inforoute","Techniques d'aménagement cynégétique et halieutique","https://www.inforoutefpt.org/progColDet.aspx?prog=260&sanction=1","043K","Caractériser des habitats fauniques",NA
"3","Inforoute","Techniques d'aménagement cynégétique et halieutique","https://www.inforoutefpt.org/progColDet.aspx?prog=260&sanction=1","043L","Caractériser des populations fauniques",NA
"4","Inforoute","Techniques d'aménagement cynégétique et halieutique","https://www.inforoutefpt.org/progColDet.aspx?prog=260&sanction=1","043M","Traiter de l'information cartographique",NA
"5","Inforoute","Techniques d'aménagement cynégétique et halieutique","https://www.inforoutefpt.org/progColDet.aspx?prog=260&sanction=1","043N","Exploiter des technologies informatiques et numériques",NA
"6","Inforoute","Techniques d'aménagement cynégétique et halieutique","https://www.inforoutefpt.org/progColDet.aspx?prog=260&sanction=1","043P","Évaluer l'état de la faune et de ses habitats",NA
"7","Inforoute","Techniques d'aménagement cynégétique et halieutique","https://www.inforoutefpt.org/progColDet.aspx?prog=260&sanction=1","043Q","Déterminer les conditions nécessaires à la conservation de la faune et de ses habitats",NA
"8","Inforoute","Techniques d'aménagement cynégétique et halieutique","https://www.inforoutefpt.org/progColDet.aspx?prog=260&sanction=1","043R","Assurer un accès sécuritaire aux territoires fauniques",NA
"9","Inforoute","Techniques d'aménagement cynégétique et halieutique","https://www.inforoutefpt.org/progColDet.aspx?prog=260&sanction=1","043S","Oeuvrer dans des conditions d'isolement et de rusticité en milieu naturel",NA
"10","Inforoute","Techniques d'aménagement cynégétique et halieutique","https://www.inforoutefpt.org/progColDet.aspx?prog=260&sanction=1","043T","Appliquer la réglementation relative à la faune et aux territoires fauniques",NA
"11","Inforoute","Techniques d'aménagement cynégétique et halieutique","https://www.inforoutefpt.org/progColDet.aspx?prog=260&sanction=1","043U","Déterminer et implanter des mesures de mitigation, de compensation et de restauration de la faune et de ses habitats",NA
"12","Inforoute","Techniques d'aménagement cynégétique et halieutique","https://www.inforoutefpt.org/progColDet.aspx?prog=260&sanction=1","043V","Exploiter les ressources d'un territoire faunique",NA
"13","Inforoute","Techniques d'aménagement cynégétique et halieutique","https://www.inforoutefpt.org/progColDet.aspx?prog=260&sanction=1","043W","Établir le portrait d'une situation à l'aide de données statistiques",NA
"14","Inforoute","Techniques d'aménagement cynégétique et halieutique","https://www.inforoutefpt.org/progColDet.aspx?prog=260&sanction=1","043X","Évaluer le potentiel récréatif des ressources d'un territoire faunique",NA
"15","Inforoute","Techniques d'aménagement cynégétique et halieutique","https://www.inforoutefpt.org/progColDet.aspx?prog=260&sanction=1","043Y","Assurer la productivité biologique optimale d'un territoire faunique à des fins d'exploitation",NA
"16","Inforoute","Techniques d'aménagement cynégétique et halieutique","https://www.inforoutefpt.org/progColDet.aspx?prog=260&sanction=1","043Z","Assurer la réalisation d'activités cynégétiques et halieutiques ainsi que d'autres activités récréatives en territoire faunique",NA
"17","Inforoute","Techniques d'aménagement cynégétique et halieutique","https://www.inforoutefpt.org/progColDet.aspx?prog=260&sanction=1","0440","Effectuer des activités de gestion financière pour une petite organisation",NA
"18","Inforoute","Techniques d'aménagement cynégétique et halieutique","https://www.inforoutefpt.org/progColDet.aspx?prog=260&sanction=1","0441","Gérer du personnel dans une petite organisation",NA
"19","Inforoute","Techniques d'aménagement cynégétique et halieutique","https://www.inforoutefpt.org/progColDet.aspx?prog=260&sanction=1","0442","Effectuer des activités de gestion des ressources matérielles",NA
"20","Inforoute","Techniques d'aménagement cynégétique et halieutique","https://www.inforoutefpt.org/progColDet.aspx?prog=260&sanction=1","0443","Communiquer de l'information relative à la faune et aux territoires fauniques",NA
"21","Inforoute","Techniques d'aménagement cynégétique et halieutique","https://www.inforoutefpt.org/progColDet.aspx?prog=260&sanction=1","0444","Assurer la mise en place d'infrastructures en territoire faunique",NA
"22","Inforoute","Techniques d'aménagement cynégétique et halieutique","https://www.inforoutefpt.org/progColDet.aspx?prog=260&sanction=1","0445","Apporter un soutien technique dans un projet de recherche",NA
"23","Inforoute","Techniques d'aménagement cynégétique et halieutique","https://www.inforoutefpt.org/progColDet.aspx?prog=260&sanction=1","0446","Établir le plan directeur d'exploitation d'un territoire faunique",NA
"24","Inforoute","Techniques d'aménagement cynégétique et halieutique","https://www.inforoutefpt.org/progColDet.aspx?prog=260&sanction=1","0447","Concevoir un projet d'exploitation de la faune ou de ses habitats",NA
"25","Inforoute","Techniques d'aménagement cynégétique et halieutique","https://www.inforoutefpt.org/progColDet.aspx?prog=260&sanction=1","","",NA
