"","Institution","Program","Program_url","Code","Name","Description"
"1","Inforoute","Techniques d'aménagement et d'urbanisme","https://www.inforoutefpt.org/progColDet.aspx?prog=307&sanction=1","01YQ","Analyser la fonction de travail",NA
"2","Inforoute","Techniques d'aménagement et d'urbanisme","https://www.inforoutefpt.org/progColDet.aspx?prog=307&sanction=1","01YR","Représenter graphiquement des concepts",NA
"3","Inforoute","Techniques d'aménagement et d'urbanisme","https://www.inforoutefpt.org/progColDet.aspx?prog=307&sanction=1","01YS","Produire des plans et des cartes",NA
"4","Inforoute","Techniques d'aménagement et d'urbanisme","https://www.inforoutefpt.org/progColDet.aspx?prog=307&sanction=1","01YT","Traiter des données cartographiques à l'aide d'un système d'information à référence spatiale (SIRS)",NA
"5","Inforoute","Techniques d'aménagement et d'urbanisme","https://www.inforoutefpt.org/progColDet.aspx?prog=307&sanction=1","01YU","Intégrer les notions d'environnement à l'analyse des problématiques d'aménagement du territoire et d'urbanisme",NA
"6","Inforoute","Techniques d'aménagement et d'urbanisme","https://www.inforoutefpt.org/progColDet.aspx?prog=307&sanction=1","01YV","Effectuer des relevés sur un site",NA
"7","Inforoute","Techniques d'aménagement et d'urbanisme","https://www.inforoutefpt.org/progColDet.aspx?prog=307&sanction=1","01YW","Transmettre de l'information sur le cadre légal et réglementaire de l'aménagement du territoire et de l'urbanisme",NA
"8","Inforoute","Techniques d'aménagement et d'urbanisme","https://www.inforoutefpt.org/progColDet.aspx?prog=307&sanction=1","01YX","Monter un dossier socio-économique relatif à des problématiques d'aménagement du territoire et d'urbanisme",NA
"9","Inforoute","Techniques d'aménagement et d'urbanisme","https://www.inforoutefpt.org/progColDet.aspx?prog=307&sanction=1","01YY","Effectuer et mettre à jour des inventaires",NA
"10","Inforoute","Techniques d'aménagement et d'urbanisme","https://www.inforoutefpt.org/progColDet.aspx?prog=307&sanction=1","01YZ","Inspecter un territoire",NA
"11","Inforoute","Techniques d'aménagement et d'urbanisme","https://www.inforoutefpt.org/progColDet.aspx?prog=307&sanction=1","01Z0","Traiter les demandes de permis ou de certificats",NA
"12","Inforoute","Techniques d'aménagement et d'urbanisme","https://www.inforoutefpt.org/progColDet.aspx?prog=307&sanction=1","01Z1","Inspecter des travaux de construction",NA
"13","Inforoute","Techniques d'aménagement et d'urbanisme","https://www.inforoutefpt.org/progColDet.aspx?prog=307&sanction=1","01Z2","Utiliser une méthode d'analyse pour résoudre des problèmes d'aménagement du territoire",NA
"14","Inforoute","Techniques d'aménagement et d'urbanisme","https://www.inforoutefpt.org/progColDet.aspx?prog=307&sanction=1","01Z3","Effectuer des activités d'organisation des réseaux et de l'infrastructure municipale",NA
"15","Inforoute","Techniques d'aménagement et d'urbanisme","https://www.inforoutefpt.org/progColDet.aspx?prog=307&sanction=1","01Z4","Formuler une proposition d'aménagement de terrain",NA
"16","Inforoute","Techniques d'aménagement et d'urbanisme","https://www.inforoutefpt.org/progColDet.aspx?prog=307&sanction=1","01Z5","Effectuer des activités de conception, de mise à jour et de révision d'outils de planification",NA
"17","Inforoute","Techniques d'aménagement et d'urbanisme","https://www.inforoutefpt.org/progColDet.aspx?prog=307&sanction=1","01Z6","Effectuer des activités de soutien technique",NA
"18","Inforoute","Techniques d'aménagement et d'urbanisme","https://www.inforoutefpt.org/progColDet.aspx?prog=307&sanction=1","","",NA
