"","Institution","Program","Program_url","Code","Name","Description"
"1","Inforoute","Techniques d'avionique","https://www.inforoutefpt.org/progColDet.aspx?prog=360&sanction=1","025P","Interpréter des schémas, des dessins et des plans d'assemblage et d'installation",NA
"2","Inforoute","Techniques d'avionique","https://www.inforoutefpt.org/progColDet.aspx?prog=360&sanction=1","025S","Modéliser et interpréter des résultats mathématiques appliqués à l'aérospatiale",NA
"3","Inforoute","Techniques d'avionique","https://www.inforoutefpt.org/progColDet.aspx?prog=360&sanction=1","025T","Effectuer l'entretien de circuits à courant continu sur un aéronef",NA
"4","Inforoute","Techniques d'avionique","https://www.inforoutefpt.org/progColDet.aspx?prog=360&sanction=1","026G","Analyser la fonction de travail",NA
"5","Inforoute","Techniques d'avionique","https://www.inforoutefpt.org/progColDet.aspx?prog=360&sanction=1","026L","Dépanner des circuits à courant alternatif sur un aéronef",NA
"6","Inforoute","Techniques d'avionique","https://www.inforoutefpt.org/progColDet.aspx?prog=360&sanction=1","026M","Effectuer des activités relatives à l'inspection et à l'entretien planifiés",NA
"7","Inforoute","Techniques d'avionique","https://www.inforoutefpt.org/progColDet.aspx?prog=360&sanction=1","026N","Assembler des sous-ensembles de systèmes électriques d'aéronefs",NA
"8","Inforoute","Techniques d'avionique","https://www.inforoutefpt.org/progColDet.aspx?prog=360&sanction=1","026P","Résoudre des problèmes de logique combinatoire et séquentielle",NA
"9","Inforoute","Techniques d'avionique","https://www.inforoutefpt.org/progColDet.aspx?prog=360&sanction=1","026Q","Dépanner des systèmes électroniques analogiques sur un aéronef",NA
"10","Inforoute","Techniques d'avionique","https://www.inforoutefpt.org/progColDet.aspx?prog=360&sanction=1","026R","Dépanner des circuits et des systèmes numériques sur un aéronef",NA
"11","Inforoute","Techniques d'avionique","https://www.inforoutefpt.org/progColDet.aspx?prog=360&sanction=1","026S","Effectuer des vérifications et des installations relatives aux interfaces et aux protocoles de communication",NA
"12","Inforoute","Techniques d'avionique","https://www.inforoutefpt.org/progColDet.aspx?prog=360&sanction=1","026T","Assembler des composants de systèmes avioniques",NA
"13","Inforoute","Techniques d'avionique","https://www.inforoutefpt.org/progColDet.aspx?prog=360&sanction=1","026U","Vérifier des systèmes de communication d'aéronefs",NA
"14","Inforoute","Techniques d'avionique","https://www.inforoutefpt.org/progColDet.aspx?prog=360&sanction=1","026V","Vérifier des systèmes de radionavigation d'aéronefs à très hautes et à ultra-hautes fréquences",NA
"15","Inforoute","Techniques d'avionique","https://www.inforoutefpt.org/progColDet.aspx?prog=360&sanction=1","026W","Vérifier des systèmes de radionavigation d'aéronefs par impulsion et à super-hautes fréquences",NA
"16","Inforoute","Techniques d'avionique","https://www.inforoutefpt.org/progColDet.aspx?prog=360&sanction=1","026X","Vérifier des systèmes de génération et de distribution électriques d'aéronefs",NA
"17","Inforoute","Techniques d'avionique","https://www.inforoutefpt.org/progColDet.aspx?prog=360&sanction=1","026Y","Vérifier des systèmes asservis d'aéronefs",NA
"18","Inforoute","Techniques d'avionique","https://www.inforoutefpt.org/progColDet.aspx?prog=360&sanction=1","026Z","Poser des diagnostics au fonctionnement de moteurs d'aéronefs",NA
"19","Inforoute","Techniques d'avionique","https://www.inforoutefpt.org/progColDet.aspx?prog=360&sanction=1","0270","Vérifier des systèmes et des composants avioniques de servitudes de bord",NA
"20","Inforoute","Techniques d'avionique","https://www.inforoutefpt.org/progColDet.aspx?prog=360&sanction=1","0271","Installer des systèmes avioniques",NA
"21","Inforoute","Techniques d'avionique","https://www.inforoutefpt.org/progColDet.aspx?prog=360&sanction=1","0272","Réparer et modifier des systèmes avioniques en atelier",NA
"22","Inforoute","Techniques d'avionique","https://www.inforoutefpt.org/progColDet.aspx?prog=360&sanction=1","0273","Vérifier des systèmes de gestion de vol et de navigation à l'estime",NA
"23","Inforoute","Techniques d'avionique","https://www.inforoutefpt.org/progColDet.aspx?prog=360&sanction=1","0274","Réparer et modifier des systèmes avioniques sur un aéronef",NA
"24","Inforoute","Techniques d'avionique","https://www.inforoutefpt.org/progColDet.aspx?prog=360&sanction=1","0275","Modifier des procédures et transmettre de l'information technique",NA
"25","Inforoute","Techniques d'avionique","https://www.inforoutefpt.org/progColDet.aspx?prog=360&sanction=1","0276","Dépanner des systèmes avioniques sur un aéronef",NA
"26","Inforoute","Techniques d'avionique","https://www.inforoutefpt.org/progColDet.aspx?prog=360&sanction=1","0277","Dépanner des systèmes avioniques en atelier",NA
"27","Inforoute","Techniques d'avionique","https://www.inforoutefpt.org/progColDet.aspx?prog=360&sanction=1","0278","Apporter un soutien technique à la conception de systèmes avioniques",NA
"28","Inforoute","Techniques d'avionique","https://www.inforoutefpt.org/progColDet.aspx?prog=360&sanction=1","0279","Apporter un soutien technique opérationnel",NA
"29","Inforoute","Techniques d'avionique","https://www.inforoutefpt.org/progColDet.aspx?prog=360&sanction=1","","",NA
