"","Institution","Program","Program_url","Code","Name","Description"
"1","Inforoute","Techniques d'intégration multimédia","https://www.inforoutefpt.org/progColDet.aspx?prog=429&sanction=1","0157","Analyser la fonction de travail",NA
"2","Inforoute","Techniques d'intégration multimédia","https://www.inforoutefpt.org/progColDet.aspx?prog=429&sanction=1","0158","Utiliser un micro-ordinateur, ses périphériques et les réseaux de communication",NA
"3","Inforoute","Techniques d'intégration multimédia","https://www.inforoutefpt.org/progColDet.aspx?prog=429&sanction=1","0159","Traiter les textes pour la mise en page-écran",NA
"4","Inforoute","Techniques d'intégration multimédia","https://www.inforoutefpt.org/progColDet.aspx?prog=429&sanction=1","015A","Adapter le design de la page-écran",NA
"5","Inforoute","Techniques d'intégration multimédia","https://www.inforoutefpt.org/progColDet.aspx?prog=429&sanction=1","015B","Traiter les images fixes",NA
"6","Inforoute","Techniques d'intégration multimédia","https://www.inforoutefpt.org/progColDet.aspx?prog=429&sanction=1","015C","Effectuer le montage d'une présentation informatisée",NA
"7","Inforoute","Techniques d'intégration multimédia","https://www.inforoutefpt.org/progColDet.aspx?prog=429&sanction=1","015D","Rechercher, organiser et transmettre l'information",NA
"8","Inforoute","Techniques d'intégration multimédia","https://www.inforoutefpt.org/progColDet.aspx?prog=429&sanction=1","015F","Exploiter les langages de programmation utilisés en multimédia",NA
"9","Inforoute","Techniques d'intégration multimédia","https://www.inforoutefpt.org/progColDet.aspx?prog=429&sanction=1","015G","Adapter l'interactivité des pages-écrans",NA
"10","Inforoute","Techniques d'intégration multimédia","https://www.inforoutefpt.org/progColDet.aspx?prog=429&sanction=1","015H","Traiter la bande-son",NA
"11","Inforoute","Techniques d'intégration multimédia","https://www.inforoutefpt.org/progColDet.aspx?prog=429&sanction=1","015J","Traiter les images en mouvement",NA
"12","Inforoute","Techniques d'intégration multimédia","https://www.inforoutefpt.org/progColDet.aspx?prog=429&sanction=1","015K","Optimiser les médias en fonction de la diffusion",NA
"13","Inforoute","Techniques d'intégration multimédia","https://www.inforoutefpt.org/progColDet.aspx?prog=429&sanction=1","015L","Intégrer les médias pour la diffusion en ligne",NA
"14","Inforoute","Techniques d'intégration multimédia","https://www.inforoutefpt.org/progColDet.aspx?prog=429&sanction=1","015N","Analyser la conception du projet",NA
"15","Inforoute","Techniques d'intégration multimédia","https://www.inforoutefpt.org/progColDet.aspx?prog=429&sanction=1","015P","Programmer des produits multimédias",NA
"16","Inforoute","Techniques d'intégration multimédia","https://www.inforoutefpt.org/progColDet.aspx?prog=429&sanction=1","015Q","Contrôler la qualité du produit",NA
"17","Inforoute","Techniques d'intégration multimédia","https://www.inforoutefpt.org/progColDet.aspx?prog=429&sanction=1","015R","Intégrer des médias pour la diffusion sur support",NA
"18","Inforoute","Techniques d'intégration multimédia","https://www.inforoutefpt.org/progColDet.aspx?prog=429&sanction=1","015S","Vérifier la faisabilité technique du projet",NA
"19","Inforoute","Techniques d'intégration multimédia","https://www.inforoutefpt.org/progColDet.aspx?prog=429&sanction=1","015T","Réaliser un produit multimédia en ligne",NA
"20","Inforoute","Techniques d'intégration multimédia","https://www.inforoutefpt.org/progColDet.aspx?prog=429&sanction=1","015U","Réaliser un produit multimédia sur support",NA
"21","Inforoute","Techniques d'intégration multimédia","https://www.inforoutefpt.org/progColDet.aspx?prog=429&sanction=1","015V","Effectuer le montage d'animations",NA
"22","Inforoute","Techniques d'intégration multimédia","https://www.inforoutefpt.org/progColDet.aspx?prog=429&sanction=1","015W","Effectuer le montage des médias à l'aide de logiciels d'intégration",NA
"23","Inforoute","Techniques d'intégration multimédia","https://www.inforoutefpt.org/progColDet.aspx?prog=429&sanction=1","","",NA
