"","Institution","Program","Program_url","Code","Name","Description"
"1","Inforoute","Techniques d'orthèses et de prothèses orthopédiques","https://www.inforoutefpt.org/progColDet.aspx?prog=258&sanction=1","00LR","Analyser la fonction de travail",NA
"2","Inforoute","Techniques d'orthèses et de prothèses orthopédiques","https://www.inforoutefpt.org/progColDet.aspx?prog=258&sanction=1","00LS","Appliquer les règles de santé et de sécurité au travail",NA
"3","Inforoute","Techniques d'orthèses et de prothèses orthopédiques","https://www.inforoutefpt.org/progColDet.aspx?prog=258&sanction=1","00LT","Concevoir l'organisation structurale et fonctionnelle du corps humain - réadaptation du bénéficiaire",NA
"4","Inforoute","Techniques d'orthèses et de prothèses orthopédiques","https://www.inforoutefpt.org/progColDet.aspx?prog=258&sanction=1","00LU","Reproduire des formes humaines en deux et en trois dimensions",NA
"5","Inforoute","Techniques d'orthèses et de prothèses orthopédiques","https://www.inforoutefpt.org/progColDet.aspx?prog=258&sanction=1","00LV","Évaluer les possibilités et les contraintes administratives et légales liées à une intervention",NA
"6","Inforoute","Techniques d'orthèses et de prothèses orthopédiques","https://www.inforoutefpt.org/progColDet.aspx?prog=258&sanction=1","00LW","Optimiser les éléments d'un appareil selon leurs résistances et leurs caractéristiques",NA
"7","Inforoute","Techniques d'orthèses et de prothèses orthopédiques","https://www.inforoutefpt.org/progColDet.aspx?prog=258&sanction=1","00LX","Évaluer l'efficacité d'un appareil au regard des mouvements humains",NA
"8","Inforoute","Techniques d'orthèses et de prothèses orthopédiques","https://www.inforoutefpt.org/progColDet.aspx?prog=258&sanction=1","00LY","Fabriquer des orthèses pour les membres inférieurs",NA
"9","Inforoute","Techniques d'orthèses et de prothèses orthopédiques","https://www.inforoutefpt.org/progColDet.aspx?prog=258&sanction=1","00LZ","Fabriquer des orthèses de soutien et d'aide à la posture",NA
"10","Inforoute","Techniques d'orthèses et de prothèses orthopédiques","https://www.inforoutefpt.org/progColDet.aspx?prog=258&sanction=1","00M0","Fabriquer l'emboîture d'essai pour une prothèse tibiale",NA
"11","Inforoute","Techniques d'orthèses et de prothèses orthopédiques","https://www.inforoutefpt.org/progColDet.aspx?prog=258&sanction=1","00M1","Fabriquer une prothèse tibiale",NA
"12","Inforoute","Techniques d'orthèses et de prothèses orthopédiques","https://www.inforoutefpt.org/progColDet.aspx?prog=258&sanction=1","00M2","Fabriquer l'emboîture d'essai pour une prothèse fémorale",NA
"13","Inforoute","Techniques d'orthèses et de prothèses orthopédiques","https://www.inforoutefpt.org/progColDet.aspx?prog=258&sanction=1","00M3","Fabriquer une prothèse fémorale",NA
"14","Inforoute","Techniques d'orthèses et de prothèses orthopédiques","https://www.inforoutefpt.org/progColDet.aspx?prog=258&sanction=1","00M4","Effectuer l'ajustement et l'alignement dynamique d'une prothèse des membres inférieurs",NA
"15","Inforoute","Techniques d'orthèses et de prothèses orthopédiques","https://www.inforoutefpt.org/progColDet.aspx?prog=258&sanction=1","00M5","Établir des liens entre les processus pathologiques et l'efficacité d'un appareil",NA
"16","Inforoute","Techniques d'orthèses et de prothèses orthopédiques","https://www.inforoutefpt.org/progColDet.aspx?prog=258&sanction=1","00M6","Optimiser les modes d'intervention compte tenu des contraintes biomécaniques",NA
"17","Inforoute","Techniques d'orthèses et de prothèses orthopédiques","https://www.inforoutefpt.org/progColDet.aspx?prog=258&sanction=1","00M7","Établir des relations professionnelles harmonieuses",NA
"18","Inforoute","Techniques d'orthèses et de prothèses orthopédiques","https://www.inforoutefpt.org/progColDet.aspx?prog=258&sanction=1","00M8","Établir une relation d'aide avec une personne en détresse",NA
"19","Inforoute","Techniques d'orthèses et de prothèses orthopédiques","https://www.inforoutefpt.org/progColDet.aspx?prog=258&sanction=1","00M9","Ajuster des prothèses du membre supérieur",NA
"20","Inforoute","Techniques d'orthèses et de prothèses orthopédiques","https://www.inforoutefpt.org/progColDet.aspx?prog=258&sanction=1","00MA","Assurer une appropriation éclairée de l'appareil orthopédique ou prothétique par la personne",NA
"21","Inforoute","Techniques d'orthèses et de prothèses orthopédiques","https://www.inforoutefpt.org/progColDet.aspx?prog=258&sanction=1","00MB","Concevoir des orthèses de soutien et d'aide à la posture",NA
"22","Inforoute","Techniques d'orthèses et de prothèses orthopédiques","https://www.inforoutefpt.org/progColDet.aspx?prog=258&sanction=1","00MC","Concevoir des orthèses pour les membres inférieurs",NA
"23","Inforoute","Techniques d'orthèses et de prothèses orthopédiques","https://www.inforoutefpt.org/progColDet.aspx?prog=258&sanction=1","00MD","Concevoir des prothèses tibiales",NA
"24","Inforoute","Techniques d'orthèses et de prothèses orthopédiques","https://www.inforoutefpt.org/progColDet.aspx?prog=258&sanction=1","00ME","Concevoir des prothèses fémorales",NA
"25","Inforoute","Techniques d'orthèses et de prothèses orthopédiques","https://www.inforoutefpt.org/progColDet.aspx?prog=258&sanction=1","","",NA
