"","Institution","Program","Program_url","Code","Name","Description"
"1","Inforoute","Techniques d'éducation à l'enfance","https://www.inforoutefpt.org/progColDet.aspx?prog=365&sanction=1","0190","Analyser la fonction de travail",NA
"2","Inforoute","Techniques d'éducation à l'enfance","https://www.inforoutefpt.org/progColDet.aspx?prog=365&sanction=1","0191","Observer le comportement de l'enfant",NA
"3","Inforoute","Techniques d'éducation à l'enfance","https://www.inforoutefpt.org/progColDet.aspx?prog=365&sanction=1","0192","Situer les besoins d'un ou d'une enfant au regard de son développement global",NA
"4","Inforoute","Techniques d'éducation à l'enfance","https://www.inforoutefpt.org/progColDet.aspx?prog=365&sanction=1","0193","Agir de façon sécuritaire en milieu de travail",NA
"5","Inforoute","Techniques d'éducation à l'enfance","https://www.inforoutefpt.org/progColDet.aspx?prog=365&sanction=1","0194","Établir avec les enfants une relation significative sur le plan affectif",NA
"6","Inforoute","Techniques d'éducation à l'enfance","https://www.inforoutefpt.org/progColDet.aspx?prog=365&sanction=1","0195","Intervenir au regard de la santé de l'enfant",NA
"7","Inforoute","Techniques d'éducation à l'enfance","https://www.inforoutefpt.org/progColDet.aspx?prog=365&sanction=1","0196","Assurer une saine alimentation à l'enfant",NA
"8","Inforoute","Techniques d'éducation à l'enfance","https://www.inforoutefpt.org/progColDet.aspx?prog=365&sanction=1","0197","Communiquer en milieu de travail",NA
"9","Inforoute","Techniques d'éducation à l'enfance","https://www.inforoutefpt.org/progColDet.aspx?prog=365&sanction=1","0198","Analyser le contexte de vie familiale et sociale d'un ou d'une enfant et en déterminer les effets sur son comportement",NA
"10","Inforoute","Techniques d'éducation à l'enfance","https://www.inforoutefpt.org/progColDet.aspx?prog=365&sanction=1","0199","Analyser les besoins particuliers d'un ou d'une enfant",NA
"11","Inforoute","Techniques d'éducation à l'enfance","https://www.inforoutefpt.org/progColDet.aspx?prog=365&sanction=1","019A","Fournir de l'aide à l'enfant",NA
"12","Inforoute","Techniques d'éducation à l'enfance","https://www.inforoutefpt.org/progColDet.aspx?prog=365&sanction=1","019B","Exploiter sa créativité dans un contexte d'intervention professionnelle",NA
"13","Inforoute","Techniques d'éducation à l'enfance","https://www.inforoutefpt.org/progColDet.aspx?prog=365&sanction=1","019C","Définir l'approche pédagogique à adopter avec l'enfant",NA
"14","Inforoute","Techniques d'éducation à l'enfance","https://www.inforoutefpt.org/progColDet.aspx?prog=365&sanction=1","019D","Concevoir des activités de développement global de l'enfant",NA
"15","Inforoute","Techniques d'éducation à l'enfance","https://www.inforoutefpt.org/progColDet.aspx?prog=365&sanction=1","019E","Organiser des activités éducatives",NA
"16","Inforoute","Techniques d'éducation à l'enfance","https://www.inforoutefpt.org/progColDet.aspx?prog=365&sanction=1","019F","Animer des activités éducatives",NA
"17","Inforoute","Techniques d'éducation à l'enfance","https://www.inforoutefpt.org/progColDet.aspx?prog=365&sanction=1","019G","Travailler en équipe",NA
"18","Inforoute","Techniques d'éducation à l'enfance","https://www.inforoutefpt.org/progColDet.aspx?prog=365&sanction=1","019H","Établir une relation de partenariat avec les parents et les personnes-ressources",NA
"19","Inforoute","Techniques d'éducation à l'enfance","https://www.inforoutefpt.org/progColDet.aspx?prog=365&sanction=1","019J","Intervenir au regard du comportement de l'enfant et du groupe d'enfants",NA
"20","Inforoute","Techniques d'éducation à l'enfance","https://www.inforoutefpt.org/progColDet.aspx?prog=365&sanction=1","019K","Concevoir et réviser le programme éducatif",NA
"21","Inforoute","Techniques d'éducation à l'enfance","https://www.inforoutefpt.org/progColDet.aspx?prog=365&sanction=1","019L","Organiser un service de garde à l'enfance",NA
"22","Inforoute","Techniques d'éducation à l'enfance","https://www.inforoutefpt.org/progColDet.aspx?prog=365&sanction=1","019M","Assurer des services éducatifs à un groupe d'enfants",NA
"23","Inforoute","Techniques d'éducation à l'enfance","https://www.inforoutefpt.org/progColDet.aspx?prog=365&sanction=1","","",NA
