"","Institution","Program","Program_url","Code","Name","Description"
"1","Inforoute","Techniques de bioécologie","https://www.inforoutefpt.org/progColDet.aspx?prog=261&sanction=1","043W","Établir le portrait d'une situation à l'aide de données statistiques",NA
"2","Inforoute","Techniques de bioécologie","https://www.inforoutefpt.org/progColDet.aspx?prog=261&sanction=1","0448","Analyser la fonction de travail",NA
"3","Inforoute","Techniques de bioécologie","https://www.inforoutefpt.org/progColDet.aspx?prog=261&sanction=1","0449","Analyser la dynamique des composantes physiques d'un milieu naturel au regard des organismes qui s'y trouvent",NA
"4","Inforoute","Techniques de bioécologie","https://www.inforoutefpt.org/progColDet.aspx?prog=261&sanction=1","044A","Utiliser les technologies numériques et informatiques dans le cadre de ses activités professionnelles",NA
"5","Inforoute","Techniques de bioécologie","https://www.inforoutefpt.org/progColDet.aspx?prog=261&sanction=1","044B","Caractériser les composantes abiotiques d'un milieu naturel",NA
"6","Inforoute","Techniques de bioécologie","https://www.inforoutefpt.org/progColDet.aspx?prog=261&sanction=1","044C","Effectuer des analyses en laboratoire",NA
"7","Inforoute","Techniques de bioécologie","https://www.inforoutefpt.org/progColDet.aspx?prog=261&sanction=1","044E","Communiquer des informations scientifiques",NA
"8","Inforoute","Techniques de bioécologie","https://www.inforoutefpt.org/progColDet.aspx?prog=261&sanction=1","044F","Analyser les mécanismes de vie et d'adaptation des microorganismes au regard de leur milieu de vie",NA
"9","Inforoute","Techniques de bioécologie","https://www.inforoutefpt.org/progColDet.aspx?prog=261&sanction=1","044G","Analyser les mécanismes de vie et d'adaptation des mycètes et des végétaux au regard de leur milieu de vie",NA
"10","Inforoute","Techniques de bioécologie","https://www.inforoutefpt.org/progColDet.aspx?prog=261&sanction=1","044H","Analyser les mécanismes de vie et d'adaptation des animaux au regard de leur milieu de vie",NA
"11","Inforoute","Techniques de bioécologie","https://www.inforoutefpt.org/progColDet.aspx?prog=261&sanction=1","044J","Effectuer des travaux de culture et d'entretien d'organismes",NA
"12","Inforoute","Techniques de bioécologie","https://www.inforoutefpt.org/progColDet.aspx?prog=261&sanction=1","044K","Planifier les aspects techniques et logistiques associés à un projet de recherche",NA
"13","Inforoute","Techniques de bioécologie","https://www.inforoutefpt.org/progColDet.aspx?prog=261&sanction=1","044L","Travailler en équipe",NA
"14","Inforoute","Techniques de bioécologie","https://www.inforoutefpt.org/progColDet.aspx?prog=261&sanction=1","044M","Utiliser différents équipements de terrain",NA
"15","Inforoute","Techniques de bioécologie","https://www.inforoutefpt.org/progColDet.aspx?prog=261&sanction=1","044N","Appliquer des mesures relatives à la santé et à la sécurité",NA
"16","Inforoute","Techniques de bioécologie","https://www.inforoutefpt.org/progColDet.aspx?prog=261&sanction=1","044P","Appliquer des techniques de survie en milieu naturel",NA
"17","Inforoute","Techniques de bioécologie","https://www.inforoutefpt.org/progColDet.aspx?prog=261&sanction=1","044Q","Caractériser les composantes biotiques d'un milieu aquatique ou marin",NA
"18","Inforoute","Techniques de bioécologie","https://www.inforoutefpt.org/progColDet.aspx?prog=261&sanction=1","044R","Caractériser les composantes biotiques d'un milieu terrestre",NA
"19","Inforoute","Techniques de bioécologie","https://www.inforoutefpt.org/progColDet.aspx?prog=261&sanction=1","044S","Agir dans le respect des paramètres légaux et éthiques propres à son domaine",NA
"20","Inforoute","Techniques de bioécologie","https://www.inforoutefpt.org/progColDet.aspx?prog=261&sanction=1","044T","Appliquer une démarche d'analyse écosystémique d'un milieu",NA
"21","Inforoute","Techniques de bioécologie","https://www.inforoutefpt.org/progColDet.aspx?prog=261&sanction=1","044U","Appliquer la démarche scientifique à la résolution de problèmes",NA
"22","Inforoute","Techniques de bioécologie","https://www.inforoutefpt.org/progColDet.aspx?prog=261&sanction=1","044V","Effectuer des travaux expérimentaux en rapport avec le milieu naturel",NA
"23","Inforoute","Techniques de bioécologie","https://www.inforoutefpt.org/progColDet.aspx?prog=261&sanction=1","044W","Assurer la mise en oeuvre de mesures d'intervention en milieu naturel",NA
"24","Inforoute","Techniques de bioécologie","https://www.inforoutefpt.org/progColDet.aspx?prog=261&sanction=1","","",NA
