"","Institution","Program","Program_url","Code","Name","Description"
"1","Inforoute","Techniques de bureautique (Coordination du travail de bureau)","https://www.inforoutefpt.org/progColDet.aspx?prog=377&sanction=1","00UW","Faire du traitement de textes",NA
"2","Inforoute","Techniques de bureautique (Coordination du travail de bureau)","https://www.inforoutefpt.org/progColDet.aspx?prog=377&sanction=1","00UX","Traiter et représenter des données",NA
"3","Inforoute","Techniques de bureautique (Coordination du travail de bureau)","https://www.inforoutefpt.org/progColDet.aspx?prog=377&sanction=1","00UY","Communiquer oralement en français",NA
"4","Inforoute","Techniques de bureautique (Coordination du travail de bureau)","https://www.inforoutefpt.org/progColDet.aspx?prog=377&sanction=1","00UZ","Produire et traiter, linguistiquement, des textes français",NA
"5","Inforoute","Techniques de bureautique (Coordination du travail de bureau)","https://www.inforoutefpt.org/progColDet.aspx?prog=377&sanction=1","00V0","Produire et traiter, linguistiquement, des textes anglais",NA
"6","Inforoute","Techniques de bureautique (Coordination du travail de bureau)","https://www.inforoutefpt.org/progColDet.aspx?prog=377&sanction=1","00V1","Communiquer oralement en anglais",NA
"7","Inforoute","Techniques de bureautique (Coordination du travail de bureau)","https://www.inforoutefpt.org/progColDet.aspx?prog=377&sanction=1","00V2","Traduire des textes",NA
"8","Inforoute","Techniques de bureautique (Coordination du travail de bureau)","https://www.inforoutefpt.org/progColDet.aspx?prog=377&sanction=1","00V3","Exploiter les outils et les services liés au travail de bureau",NA
"9","Inforoute","Techniques de bureautique (Coordination du travail de bureau)","https://www.inforoutefpt.org/progColDet.aspx?prog=377&sanction=1","00V4","Assurer un soutien technique",NA
"10","Inforoute","Techniques de bureautique (Coordination du travail de bureau)","https://www.inforoutefpt.org/progColDet.aspx?prog=377&sanction=1","00V5","Interagir dans des situations de travail variées",NA
"11","Inforoute","Techniques de bureautique (Coordination du travail de bureau)","https://www.inforoutefpt.org/progColDet.aspx?prog=377&sanction=1","00V6","Assurer son intégration au marché du travail et son cheminement professionnel",NA
"12","Inforoute","Techniques de bureautique (Coordination du travail de bureau)","https://www.inforoutefpt.org/progColDet.aspx?prog=377&sanction=1","","",NA
