"","Institution","Program","Program_url","Code","Name","Description"
"1","Inforoute","Techniques de comptabilité et de gestion","https://www.inforoutefpt.org/progColDet.aspx?prog=372&sanction=1","01H5","Analyser les fonctions de travail",NA
"2","Inforoute","Techniques de comptabilité et de gestion","https://www.inforoutefpt.org/progColDet.aspx?prog=372&sanction=1","01H6","Se donner une vision globale de l'entreprise dans un contexte de mondialisation",NA
"3","Inforoute","Techniques de comptabilité et de gestion","https://www.inforoutefpt.org/progColDet.aspx?prog=372&sanction=1","01H7","Utiliser, à des fins administratives, les possibilités de logiciels d'exploitation et d'application courante",NA
"4","Inforoute","Techniques de comptabilité et de gestion","https://www.inforoutefpt.org/progColDet.aspx?prog=372&sanction=1","01H8","Analyser et traiter les données du cycle comptable",NA
"5","Inforoute","Techniques de comptabilité et de gestion","https://www.inforoutefpt.org/progColDet.aspx?prog=372&sanction=1","01H9","Rechercher et traiter l'information à des fins de gestion",NA
"6","Inforoute","Techniques de comptabilité et de gestion","https://www.inforoutefpt.org/progColDet.aspx?prog=372&sanction=1","01HA","Communiquer et interagir dans un contexte de gestion et d'approche client",NA
"7","Inforoute","Techniques de comptabilité et de gestion","https://www.inforoutefpt.org/progColDet.aspx?prog=372&sanction=1","01HB","Utiliser des sources de droit s'appliquant aux contextes administratif et commercial",NA
"8","Inforoute","Techniques de comptabilité et de gestion","https://www.inforoutefpt.org/progColDet.aspx?prog=372&sanction=1","01HC","Utiliser, à des fins de gestion, des méthodes statistiques",NA
"9","Inforoute","Techniques de comptabilité et de gestion","https://www.inforoutefpt.org/progColDet.aspx?prog=372&sanction=1","01HD","Contribuer à l'analyse financière de projets d'investissement et de financement",NA
"10","Inforoute","Techniques de comptabilité et de gestion","https://www.inforoutefpt.org/progColDet.aspx?prog=372&sanction=1","01HE","Contribuer à la planification et au contrôle budgétaire ainsi qu'à la mesure de la performance d'activités de l'entreprise",NA
"11","Inforoute","Techniques de comptabilité et de gestion","https://www.inforoutefpt.org/progColDet.aspx?prog=372&sanction=1","01HF","Contribuer à la gestion du fonds de roulement",NA
"12","Inforoute","Techniques de comptabilité et de gestion","https://www.inforoutefpt.org/progColDet.aspx?prog=372&sanction=1","01HG","Utiliser et adapter des méthodes et des outils de gestion",NA
"13","Inforoute","Techniques de comptabilité et de gestion","https://www.inforoutefpt.org/progColDet.aspx?prog=372&sanction=1","01HH","Superviser le personnel de son service",NA
"14","Inforoute","Techniques de comptabilité et de gestion","https://www.inforoutefpt.org/progColDet.aspx?prog=372&sanction=1","01HJ","Produire une application informatique répondant à un besoin d'information administrative",NA
"15","Inforoute","Techniques de comptabilité et de gestion","https://www.inforoutefpt.org/progColDet.aspx?prog=372&sanction=1","01HK","Communiquer en anglais dans un contexte d'affaires",NA
"16","Inforoute","Techniques de comptabilité et de gestion","https://www.inforoutefpt.org/progColDet.aspx?prog=372&sanction=1","01HL","Utiliser, à des fins de gestion, l'information à caractère macroéconomique",NA
"17","Inforoute","Techniques de comptabilité et de gestion","https://www.inforoutefpt.org/progColDet.aspx?prog=372&sanction=1","01HM","Effectuer des activités liées au démarrage d'une entreprise",NA
"18","Inforoute","Techniques de comptabilité et de gestion","https://www.inforoutefpt.org/progColDet.aspx?prog=372&sanction=1","01HN","Contribuer à la gestion intégrée de la qualité",NA
"19","Inforoute","Techniques de comptabilité et de gestion","https://www.inforoutefpt.org/progColDet.aspx?prog=372&sanction=1","01HP","Fournir du soutien technique dans l'exécution d'activités du service à la clientèle",NA
"20","Inforoute","Techniques de comptabilité et de gestion","https://www.inforoutefpt.org/progColDet.aspx?prog=372&sanction=1","01HQ","Gérer les stocks et l'acquisition de biens et de services",NA
"21","Inforoute","Techniques de comptabilité et de gestion","https://www.inforoutefpt.org/progColDet.aspx?prog=372&sanction=1","01HR","Participer à l'établissement du coût de revient d'un bien, d'un service ou d'une activité",NA
"22","Inforoute","Techniques de comptabilité et de gestion","https://www.inforoutefpt.org/progColDet.aspx?prog=372&sanction=1","01HS","Fournir du soutien technique dans la réalisation de transactions commerciales internationales",NA
"23","Inforoute","Techniques de comptabilité et de gestion","https://www.inforoutefpt.org/progColDet.aspx?prog=372&sanction=1","01HT","Assurer l'implantation d'un système comptable informatisé et le soutien aux opérations courantes",NA
"24","Inforoute","Techniques de comptabilité et de gestion","https://www.inforoutefpt.org/progColDet.aspx?prog=372&sanction=1","01HU","Fournir du soutien technique en matière d'impôt sur le revenu",NA
"25","Inforoute","Techniques de comptabilité et de gestion","https://www.inforoutefpt.org/progColDet.aspx?prog=372&sanction=1","01HV","Analyser et traiter les données liées à la comptabilité spécialisée",NA
"26","Inforoute","Techniques de comptabilité et de gestion","https://www.inforoutefpt.org/progColDet.aspx?prog=372&sanction=1","01HW","Contribuer au contrôle interne et à la vérification des opérations de l'entreprise",NA
"27","Inforoute","Techniques de comptabilité et de gestion","https://www.inforoutefpt.org/progColDet.aspx?prog=372&sanction=1","01HX","Gérer un projet",NA
"28","Inforoute","Techniques de comptabilité et de gestion","https://www.inforoutefpt.org/progColDet.aspx?prog=372&sanction=1","01HY","Assurer son intégration au marché du travail",NA
"29","Inforoute","Techniques de comptabilité et de gestion","https://www.inforoutefpt.org/progColDet.aspx?prog=372&sanction=1","","",NA
