"","Institution","Program","Program_url","Code","Name","Description"
"1","Inforoute","Techniques de design d'intérieur","https://www.inforoutefpt.org/progColDet.aspx?prog=409&sanction=1","029A","Analyser la fonction de travail",NA
"2","Inforoute","Techniques de design d'intérieur","https://www.inforoutefpt.org/progColDet.aspx?prog=409&sanction=1","029B","Intégrer les courants historiques et artistiques au design d'intérieur",NA
"3","Inforoute","Techniques de design d'intérieur","https://www.inforoutefpt.org/progColDet.aspx?prog=409&sanction=1","029C","Développer des idées",NA
"4","Inforoute","Techniques de design d'intérieur","https://www.inforoutefpt.org/progColDet.aspx?prog=409&sanction=1","029D","Faire des esquisses",NA
"5","Inforoute","Techniques de design d'intérieur","https://www.inforoutefpt.org/progColDet.aspx?prog=409&sanction=1","029E","Dessiner des objets et des espaces à l'échelle",NA
"6","Inforoute","Techniques de design d'intérieur","https://www.inforoutefpt.org/progColDet.aspx?prog=409&sanction=1","029F","Effectuer des dessins assistés par ordinateur",NA
"7","Inforoute","Techniques de design d'intérieur","https://www.inforoutefpt.org/progColDet.aspx?prog=409&sanction=1","029G","Interagir avec les clientes et les clients, les personnes-ressources et les collègues de travail",NA
"8","Inforoute","Techniques de design d'intérieur","https://www.inforoutefpt.org/progColDet.aspx?prog=409&sanction=1","029H","Créer des ambiances par la couleur",NA
"9","Inforoute","Techniques de design d'intérieur","https://www.inforoutefpt.org/progColDet.aspx?prog=409&sanction=1","029J","Proposer les finis et les matériaux relatifs à un projet",NA
"10","Inforoute","Techniques de design d'intérieur","https://www.inforoutefpt.org/progColDet.aspx?prog=409&sanction=1","029K","Spécifier le mobilier, les accessoires et l'équipement nécessaires à un projet",NA
"11","Inforoute","Techniques de design d'intérieur","https://www.inforoutefpt.org/progColDet.aspx?prog=409&sanction=1","029L","Utiliser des éléments d'architecture intérieure et de construction",NA
"12","Inforoute","Techniques de design d'intérieur","https://www.inforoutefpt.org/progColDet.aspx?prog=409&sanction=1","029M","Concevoir des éléments sur mesure",NA
"13","Inforoute","Techniques de design d'intérieur","https://www.inforoutefpt.org/progColDet.aspx?prog=409&sanction=1","029N","Créer un concept de design d'intérieur résidentiel",NA
"14","Inforoute","Techniques de design d'intérieur","https://www.inforoutefpt.org/progColDet.aspx?prog=409&sanction=1","029P","Présenter un projet de design",NA
"15","Inforoute","Techniques de design d'intérieur","https://www.inforoutefpt.org/progColDet.aspx?prog=409&sanction=1","029Q","Créer des concepts d'éclairage",NA
"16","Inforoute","Techniques de design d'intérieur","https://www.inforoutefpt.org/progColDet.aspx?prog=409&sanction=1","029R","Produire des plans et des devis d'exécution",NA
"17","Inforoute","Techniques de design d'intérieur","https://www.inforoutefpt.org/progColDet.aspx?prog=409&sanction=1","029S","Effectuer des activités administratives",NA
"18","Inforoute","Techniques de design d'intérieur","https://www.inforoutefpt.org/progColDet.aspx?prog=409&sanction=1","029T","Planifier un aménagement pour un établissement commercial, industriel ou public",NA
"19","Inforoute","Techniques de design d'intérieur","https://www.inforoutefpt.org/progColDet.aspx?prog=409&sanction=1","029U","Créer un concept de design d'intérieur pour un établissement commercial, industriel ou public",NA
"20","Inforoute","Techniques de design d'intérieur","https://www.inforoutefpt.org/progColDet.aspx?prog=409&sanction=1","029V","Promouvoir ses services",NA
"21","Inforoute","Techniques de design d'intérieur","https://www.inforoutefpt.org/progColDet.aspx?prog=409&sanction=1","029W","Concevoir un projet de design d'intérieur",NA
"22","Inforoute","Techniques de design d'intérieur","https://www.inforoutefpt.org/progColDet.aspx?prog=409&sanction=1","","",NA
