"","Institution","Program","Program_url","Code","Name","Description"
"1","Inforoute","Techniques de design d'intérieur (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=542&sanction=1","022A","Analyser la fonction de travail",NA
"2","Inforoute","Techniques de design d'intérieur (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=542&sanction=1","022B","Intégrer les courants historiques et artistiques au design d’intérieur",NA
"3","Inforoute","Techniques de design d'intérieur (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=542&sanction=1","022C","Développer des idées",NA
"4","Inforoute","Techniques de design d'intérieur (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=542&sanction=1","022D","Faire des esquisses",NA
"5","Inforoute","Techniques de design d'intérieur (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=542&sanction=1","022E","Modéliser des objets et des espaces",NA
"6","Inforoute","Techniques de design d'intérieur (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=542&sanction=1","022F","Effectuer des dessins assistés par ordinateur",NA
"7","Inforoute","Techniques de design d'intérieur (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=542&sanction=1","022G","Interagir avec les clientes et les clients, les personnes-ressources et les collègues de travail",NA
"8","Inforoute","Techniques de design d'intérieur (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=542&sanction=1","022H","Proposer les finis et les matériaux relatifs à un projet",NA
"9","Inforoute","Techniques de design d'intérieur (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=542&sanction=1","022J","Spécifier le mobilier en série, les accessoires décoratifs et l’équipement nécessaires à un projet",NA
"10","Inforoute","Techniques de design d'intérieur (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=542&sanction=1","026H","Élaborer une composition architecturale intérieure",NA
"11","Inforoute","Techniques de design d'intérieur (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=542&sanction=1","026J","Concevoir des éléments sur mesure",NA
"12","Inforoute","Techniques de design d'intérieur (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=542&sanction=1","026K","Créer un concept de design d’intérieur résidentiel",NA
"13","Inforoute","Techniques de design d'intérieur (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=542&sanction=1","027Y","Présenter un projet de design",NA
"14","Inforoute","Techniques de design d'intérieur (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=542&sanction=1","027Z","Créer des concepts d’éclairage",NA
"15","Inforoute","Techniques de design d'intérieur (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=542&sanction=1","029H","Créer des ambiances par la couleur",NA
"16","Inforoute","Techniques de design d'intérieur (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=542&sanction=1","029V","Promouvoir ses services",NA
"17","Inforoute","Techniques de design d'intérieur (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=542&sanction=1","029X","Produire des plans d’exécution",NA
"18","Inforoute","Techniques de design d'intérieur (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=542&sanction=1","029Y","Effectuer des activités relatives à la gestion de projet",NA
"19","Inforoute","Techniques de design d'intérieur (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=542&sanction=1","029Z","Planifier un aménagement pour un établissement commercial, industriel ou public",NA
"20","Inforoute","Techniques de design d'intérieur (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=542&sanction=1","02A0","Créer un concept de design d’intérieur pour un établissement commercial, industriel ou public",NA
"21","Inforoute","Techniques de design d'intérieur (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=542&sanction=1","02A1","Concevoir un projet de design d’intérieur",NA
"22","Inforoute","Techniques de design d'intérieur (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=542&sanction=1","","",NA
