"","Institution","Program","Program_url","Code","Name","Description"
"1","Inforoute","Techniques de design industriel","https://www.inforoutefpt.org/progColDet.aspx?prog=407&sanction=1","0108","Analyser la fonction de travail",NA
"2","Inforoute","Techniques de design industriel","https://www.inforoutefpt.org/progColDet.aspx?prog=407&sanction=1","0109","Analyser un produit fabriqué industriellement",NA
"3","Inforoute","Techniques de design industriel","https://www.inforoutefpt.org/progColDet.aspx?prog=407&sanction=1","010A","Rechercher l'information en vue du développement d'un produit",NA
"4","Inforoute","Techniques de design industriel","https://www.inforoutefpt.org/progColDet.aspx?prog=407&sanction=1","010B","Énoncer des critères de design",NA
"5","Inforoute","Techniques de design industriel","https://www.inforoutefpt.org/progColDet.aspx?prog=407&sanction=1","010C","Procéder au développement conceptuel d'un produit",NA
"6","Inforoute","Techniques de design industriel","https://www.inforoutefpt.org/progColDet.aspx?prog=407&sanction=1","010D","Utiliser des outils de représentation",NA
"7","Inforoute","Techniques de design industriel","https://www.inforoutefpt.org/progColDet.aspx?prog=407&sanction=1","010E","Exécuter des dessins techniques",NA
"8","Inforoute","Techniques de design industriel","https://www.inforoutefpt.org/progColDet.aspx?prog=407&sanction=1","010F","Produire des maquettes",NA
"9","Inforoute","Techniques de design industriel","https://www.inforoutefpt.org/progColDet.aspx?prog=407&sanction=1","010G","Procéder au développement technique d'un produit",NA
"10","Inforoute","Techniques de design industriel","https://www.inforoutefpt.org/progColDet.aspx?prog=407&sanction=1","010H","Exploiter les technologies de fabrication industrielle",NA
"11","Inforoute","Techniques de design industriel","https://www.inforoutefpt.org/progColDet.aspx?prog=407&sanction=1","010J","Conseiller un client ou une cliente par rapport à la dimension formelle et plastique d'un produit",NA
"12","Inforoute","Techniques de design industriel","https://www.inforoutefpt.org/progColDet.aspx?prog=407&sanction=1","010K","Étudier la relation entre l'usagère ou l'usager et le produit du point de vue ergonomique",NA
"13","Inforoute","Techniques de design industriel","https://www.inforoutefpt.org/progColDet.aspx?prog=407&sanction=1","010L","Améliorer l'utilisation d'un produit",NA
"14","Inforoute","Techniques de design industriel","https://www.inforoutefpt.org/progColDet.aspx?prog=407&sanction=1","010M","Analyser la structure d'un objet",NA
"15","Inforoute","Techniques de design industriel","https://www.inforoutefpt.org/progColDet.aspx?prog=407&sanction=1","010N","Améliorer le fonctionnement d'un produit",NA
"16","Inforoute","Techniques de design industriel","https://www.inforoutefpt.org/progColDet.aspx?prog=407&sanction=1","010P","Offrir des services professionnels",NA
"17","Inforoute","Techniques de design industriel","https://www.inforoutefpt.org/progColDet.aspx?prog=407&sanction=1","010Q","Assurer la faisabilité technique d'un produit",NA
"18","Inforoute","Techniques de design industriel","https://www.inforoutefpt.org/progColDet.aspx?prog=407&sanction=1","010R","Conseiller la cliente ou le client par rapport à la dimension économique d'un produit",NA
"19","Inforoute","Techniques de design industriel","https://www.inforoutefpt.org/progColDet.aspx?prog=407&sanction=1","010S","Produire les documents techniques nécessaires pour la mise en production",NA
"20","Inforoute","Techniques de design industriel","https://www.inforoutefpt.org/progColDet.aspx?prog=407&sanction=1","010T","Effectuer la validation techique et fonctionnelle",NA
"21","Inforoute","Techniques de design industriel","https://www.inforoutefpt.org/progColDet.aspx?prog=407&sanction=1","","",NA
