"","Institution","Program","Program_url","Code","Name","Description"
"1","Inforoute","Techniques de gestion et d'intervention en loisir","https://www.inforoutefpt.org/progColDet.aspx?prog=369&sanction=1","01AD","Analyser la fonction de travail",NA
"2","Inforoute","Techniques de gestion et d'intervention en loisir","https://www.inforoutefpt.org/progColDet.aspx?prog=369&sanction=1","01AE","Analyser les caractéristiques de la clientèle et ses besoins en matière de loisir",NA
"3","Inforoute","Techniques de gestion et d'intervention en loisir","https://www.inforoutefpt.org/progColDet.aspx?prog=369&sanction=1","01AF","Percevoir des indices signifiants au regard de l'intervention en loisir",NA
"4","Inforoute","Techniques de gestion et d'intervention en loisir","https://www.inforoutefpt.org/progColDet.aspx?prog=369&sanction=1","01AG","Assurer la gestion des risques pour la santé et la sécurité",NA
"5","Inforoute","Techniques de gestion et d'intervention en loisir","https://www.inforoutefpt.org/progColDet.aspx?prog=369&sanction=1","01AH","Organiser des activités de loisir",NA
"6","Inforoute","Techniques de gestion et d'intervention en loisir","https://www.inforoutefpt.org/progColDet.aspx?prog=369&sanction=1","01AJ","Exploiter sa créativité dans un contexte d'intervention professionnelle",NA
"7","Inforoute","Techniques de gestion et d'intervention en loisir","https://www.inforoutefpt.org/progColDet.aspx?prog=369&sanction=1","01AK","Interagir en milieu de travail",NA
"8","Inforoute","Techniques de gestion et d'intervention en loisir","https://www.inforoutefpt.org/progColDet.aspx?prog=369&sanction=1","01AL","Animer des activités de loisir",NA
"9","Inforoute","Techniques de gestion et d'intervention en loisir","https://www.inforoutefpt.org/progColDet.aspx?prog=369&sanction=1","01AM","Animer la réunion d'une équipe de travail",NA
"10","Inforoute","Techniques de gestion et d'intervention en loisir","https://www.inforoutefpt.org/progColDet.aspx?prog=369&sanction=1","01AN","Créer et adapter des outils de gestion du travail",NA
"11","Inforoute","Techniques de gestion et d'intervention en loisir","https://www.inforoutefpt.org/progColDet.aspx?prog=369&sanction=1","01AP","Assurer la gestion des ressources matérielles",NA
"12","Inforoute","Techniques de gestion et d'intervention en loisir","https://www.inforoutefpt.org/progColDet.aspx?prog=369&sanction=1","01AQ","Assurer la gestion du budget des activités de loisir",NA
"13","Inforoute","Techniques de gestion et d'intervention en loisir","https://www.inforoutefpt.org/progColDet.aspx?prog=369&sanction=1","01AR","Encadrer des ressources humaines",NA
"14","Inforoute","Techniques de gestion et d'intervention en loisir","https://www.inforoutefpt.org/progColDet.aspx?prog=369&sanction=1","01AS","Analyser les tendances du loisir à la lumière d'éléments contextuels",NA
"15","Inforoute","Techniques de gestion et d'intervention en loisir","https://www.inforoutefpt.org/progColDet.aspx?prog=369&sanction=1","01AT","Élaborer des activités de loisir",NA
"16","Inforoute","Techniques de gestion et d'intervention en loisir","https://www.inforoutefpt.org/progColDet.aspx?prog=369&sanction=1","01AU","Établir la programmation des activités de loisir",NA
"17","Inforoute","Techniques de gestion et d'intervention en loisir","https://www.inforoutefpt.org/progColDet.aspx?prog=369&sanction=1","01AV","Promouvoir les services liés au loisir",NA
"18","Inforoute","Techniques de gestion et d'intervention en loisir","https://www.inforoutefpt.org/progColDet.aspx?prog=369&sanction=1","01AW","Recruter des ressources humaines",NA
"19","Inforoute","Techniques de gestion et d'intervention en loisir","https://www.inforoutefpt.org/progColDet.aspx?prog=369&sanction=1","01AX","Exécuter une activité d'autofinancement",NA
"20","Inforoute","Techniques de gestion et d'intervention en loisir","https://www.inforoutefpt.org/progColDet.aspx?prog=369&sanction=1","01AY","Encadrer la réalisation d'un projet d'activités de loisir",NA
"21","Inforoute","Techniques de gestion et d'intervention en loisir","https://www.inforoutefpt.org/progColDet.aspx?prog=369&sanction=1","01AZ","Intervenir en matière de loisir auprès de la clientèle",NA
"22","Inforoute","Techniques de gestion et d'intervention en loisir","https://www.inforoutefpt.org/progColDet.aspx?prog=369&sanction=1","","",NA
