"","Institution","Program","Program_url","Code","Name","Description"
"1","Inforoute","Techniques de gestion hôtelière","https://www.inforoutefpt.org/progColDet.aspx?prog=388&sanction=1","047D","Analyser la fonction de travail",NA
"2","Inforoute","Techniques de gestion hôtelière","https://www.inforoutefpt.org/progColDet.aspx?prog=388&sanction=1","047E","Communiquer en milieu de travail",NA
"3","Inforoute","Techniques de gestion hôtelière","https://www.inforoutefpt.org/progColDet.aspx?prog=388&sanction=1","047F","Effectuer des activités professionnelles en langue seconde",NA
"4","Inforoute","Techniques de gestion hôtelière","https://www.inforoutefpt.org/progColDet.aspx?prog=388&sanction=1","047G","Traiter l'information liée à la gestion hôtelière",NA
"5","Inforoute","Techniques de gestion hôtelière","https://www.inforoutefpt.org/progColDet.aspx?prog=388&sanction=1","047H","Adopter une approche client",NA
"6","Inforoute","Techniques de gestion hôtelière","https://www.inforoutefpt.org/progColDet.aspx?prog=388&sanction=1","047J","Veiller à l'application des règles et de la réglementation propres au domaine hôtelier",NA
"7","Inforoute","Techniques de gestion hôtelière","https://www.inforoutefpt.org/progColDet.aspx?prog=388&sanction=1","047K","Mettre en oeuvre des techniques de gestion propres au domaine de l'hôtellerie",NA
"8","Inforoute","Techniques de gestion hôtelière","https://www.inforoutefpt.org/progColDet.aspx?prog=388&sanction=1","047L","Proposer des produits et des services de restauration à la clientèle",NA
"9","Inforoute","Techniques de gestion hôtelière","https://www.inforoutefpt.org/progColDet.aspx?prog=388&sanction=1","047M","Assurer le service des mets et des boissons",NA
"10","Inforoute","Techniques de gestion hôtelière","https://www.inforoutefpt.org/progColDet.aspx?prog=388&sanction=1","047N","Vendre des produits et des services",NA
"11","Inforoute","Techniques de gestion hôtelière","https://www.inforoutefpt.org/progColDet.aspx?prog=388&sanction=1","047P","Effectuer des activités de gestion du personnel",NA
"12","Inforoute","Techniques de gestion hôtelière","https://www.inforoutefpt.org/progColDet.aspx?prog=388&sanction=1","047Q","Effectuer des opérations comptables",NA
"13","Inforoute","Techniques de gestion hôtelière","https://www.inforoutefpt.org/progColDet.aspx?prog=388&sanction=1","047R","Effectuer des activités de gestion des ressources matérielles",NA
"14","Inforoute","Techniques de gestion hôtelière","https://www.inforoutefpt.org/progColDet.aspx?prog=388&sanction=1","047S","Contrôler la qualité des produits et des services hôteliers",NA
"15","Inforoute","Techniques de gestion hôtelière","https://www.inforoutefpt.org/progColDet.aspx?prog=388&sanction=1","047T","Gérer les activités des services de réservation, de réception et d'accueil",NA
"16","Inforoute","Techniques de gestion hôtelière","https://www.inforoutefpt.org/progColDet.aspx?prog=388&sanction=1","047U","Gérer les activités du service d'entretien ménager",NA
"17","Inforoute","Techniques de gestion hôtelière","https://www.inforoutefpt.org/progColDet.aspx?prog=388&sanction=1","047V","Gérer les activités des services de restauration d'un hôtel",NA
"18","Inforoute","Techniques de gestion hôtelière","https://www.inforoutefpt.org/progColDet.aspx?prog=388&sanction=1","047W","Gérer les activités de marketing d'un hôtel",NA
"19","Inforoute","Techniques de gestion hôtelière","https://www.inforoutefpt.org/progColDet.aspx?prog=388&sanction=1","047X","Coordonner les activités de groupe en hôtellerie et en restauration",NA
"20","Inforoute","Techniques de gestion hôtelière","https://www.inforoutefpt.org/progColDet.aspx?prog=388&sanction=1","047Y","Assurer l'interface entre les activités des départements",NA
"21","Inforoute","Techniques de gestion hôtelière","https://www.inforoutefpt.org/progColDet.aspx?prog=388&sanction=1","","",NA
