"","Institution","Program","Program_url","Code","Name","Description"
"1","Inforoute","Techniques de génie mécanique de marine","https://www.inforoutefpt.org/progColDet.aspx?prog=505&sanction=1","06A6","Analyser les fonctions de travail",NA
"2","Inforoute","Techniques de génie mécanique de marine","https://www.inforoutefpt.org/progColDet.aspx?prog=505&sanction=1","06A7","Résoudre des problèmes de mécanique de marine",NA
"3","Inforoute","Techniques de génie mécanique de marine","https://www.inforoutefpt.org/progColDet.aspx?prog=505&sanction=1","06A8","Interpréter des plans et des devis et tracer des croquis",NA
"4","Inforoute","Techniques de génie mécanique de marine","https://www.inforoutefpt.org/progColDet.aspx?prog=505&sanction=1","06A9","Effectuer des travaux d’atelier et d’usinage",NA
"5","Inforoute","Techniques de génie mécanique de marine","https://www.inforoutefpt.org/progColDet.aspx?prog=505&sanction=1","06AA","Effectuer des travaux de soudage",NA
"6","Inforoute","Techniques de génie mécanique de marine","https://www.inforoutefpt.org/progColDet.aspx?prog=505&sanction=1","06AB","Assurer le contrôle de l’assiette et de la stabilité du navire",NA
"7","Inforoute","Techniques de génie mécanique de marine","https://www.inforoutefpt.org/progColDet.aspx?prog=505&sanction=1","06AC","Effectuer des bilans thermiques",NA
"8","Inforoute","Techniques de génie mécanique de marine","https://www.inforoutefpt.org/progColDet.aspx?prog=505&sanction=1","06AD","Effectuer des traitements de fluides",NA
"9","Inforoute","Techniques de génie mécanique de marine","https://www.inforoutefpt.org/progColDet.aspx?prog=505&sanction=1","06AE","Assurer la production et la distribution de fluides thermiques",NA
"10","Inforoute","Techniques de génie mécanique de marine","https://www.inforoutefpt.org/progColDet.aspx?prog=505&sanction=1","06AF","Assurer la production et la distribution d’énergie pneumatique et hydraulique",NA
"11","Inforoute","Techniques de génie mécanique de marine","https://www.inforoutefpt.org/progColDet.aspx?prog=505&sanction=1","06AG","Assurer la production et la distribution d’électricité",NA
"12","Inforoute","Techniques de génie mécanique de marine","https://www.inforoutefpt.org/progColDet.aspx?prog=505&sanction=1","06AH","Résoudre des problèmes relatifs aux forces, aux mouvements et à l’énergie mécanique",NA
"13","Inforoute","Techniques de génie mécanique de marine","https://www.inforoutefpt.org/progColDet.aspx?prog=505&sanction=1","06AJ","Assurer le fonctionnement et l’entretien des systèmes de pompage",NA
"14","Inforoute","Techniques de génie mécanique de marine","https://www.inforoutefpt.org/progColDet.aspx?prog=505&sanction=1","06AK","Assurer le fonctionnement et l’entretien des systèmes relatifs à la protection de l’environnement",NA
"15","Inforoute","Techniques de génie mécanique de marine","https://www.inforoutefpt.org/progColDet.aspx?prog=505&sanction=1","06AL","Assurer le fonctionnement des systèmes électroniques et des systèmes de commande",NA
"16","Inforoute","Techniques de génie mécanique de marine","https://www.inforoutefpt.org/progColDet.aspx?prog=505&sanction=1","06AM","Assurer le fonctionnement des machines auxiliaires",NA
"17","Inforoute","Techniques de génie mécanique de marine","https://www.inforoutefpt.org/progColDet.aspx?prog=505&sanction=1","06AN","Assurer le fonctionnement des moteurs",NA
"18","Inforoute","Techniques de génie mécanique de marine","https://www.inforoutefpt.org/progColDet.aspx?prog=505&sanction=1","06AP","Assurer le fonctionnement des turbines",NA
"19","Inforoute","Techniques de génie mécanique de marine","https://www.inforoutefpt.org/progColDet.aspx?prog=505&sanction=1","06AQ","Assurer le fonctionnement des systèmes de chauffage, de climatisation, de réfrigération et de ventilation",NA
"20","Inforoute","Techniques de génie mécanique de marine","https://www.inforoutefpt.org/progColDet.aspx?prog=505&sanction=1","06AR","Évaluer l’état des structures et des pièces mécaniques d’un navire",NA
"21","Inforoute","Techniques de génie mécanique de marine","https://www.inforoutefpt.org/progColDet.aspx?prog=505&sanction=1","06AS","Effectuer des activités de gestion",NA
"22","Inforoute","Techniques de génie mécanique de marine","https://www.inforoutefpt.org/progColDet.aspx?prog=505&sanction=1","06AT","Assurer l’entretien et la réparation des machines auxiliaires",NA
"23","Inforoute","Techniques de génie mécanique de marine","https://www.inforoutefpt.org/progColDet.aspx?prog=505&sanction=1","06AU","Assurer l’entretien et la réparation des moteurs et des turbines",NA
"24","Inforoute","Techniques de génie mécanique de marine","https://www.inforoutefpt.org/progColDet.aspx?prog=505&sanction=1","06AV","Assurer l’entretien et la réparation du matériel électrique et électronique et du matériel de commande",NA
"25","Inforoute","Techniques de génie mécanique de marine","https://www.inforoutefpt.org/progColDet.aspx?prog=505&sanction=1","06AW","Assurer le quart à la salle des machines",NA
"26","Inforoute","Techniques de génie mécanique de marine","https://www.inforoutefpt.org/progColDet.aspx?prog=505&sanction=1","","",NA
