"","Institution","Program","Program_url","Code","Name","Description"
"1","Inforoute","Techniques de l'impression","https://www.inforoutefpt.org/progColDet.aspx?prog=427&sanction=1","037W","Analyser la fonction de travail de technicienne ou de technicien en impression",NA
"2","Inforoute","Techniques de l'impression","https://www.inforoutefpt.org/progColDet.aspx?prog=427&sanction=1","037X","Intervenir en matière de santé et de sécurité dans le domaine de l'imprimerie",NA
"3","Inforoute","Techniques de l'impression","https://www.inforoutefpt.org/progColDet.aspx?prog=427&sanction=1","037Y","Préparer des plaques offset",NA
"4","Inforoute","Techniques de l'impression","https://www.inforoutefpt.org/progColDet.aspx?prog=427&sanction=1","037Z","Réaliser des impressions d'une ou de deux couleurs sur un duplicateur offset",NA
"5","Inforoute","Techniques de l'impression","https://www.inforoutefpt.org/progColDet.aspx?prog=427&sanction=1","0380","Réaliser des impressions multicouleurs et en quadrichromie sur un duplicateur offset",NA
"6","Inforoute","Techniques de l'impression","https://www.inforoutefpt.org/progColDet.aspx?prog=427&sanction=1","0381","Imposer les feuilles d'un imprimé",NA
"7","Inforoute","Techniques de l'impression","https://www.inforoutefpt.org/progColDet.aspx?prog=427&sanction=1","0382","Contrôler des papiers et des cartons d'imprimerie",NA
"8","Inforoute","Techniques de l'impression","https://www.inforoutefpt.org/progColDet.aspx?prog=427&sanction=1","0383","Exécuter des travaux de débitage et de pliage",NA
"9","Inforoute","Techniques de l'impression","https://www.inforoutefpt.org/progColDet.aspx?prog=427&sanction=1","0384","Préparer des encres",NA
"10","Inforoute","Techniques de l'impression","https://www.inforoutefpt.org/progColDet.aspx?prog=427&sanction=1","0385","Décomposer les couleurs",NA
"11","Inforoute","Techniques de l'impression","https://www.inforoutefpt.org/progColDet.aspx?prog=427&sanction=1","0386","Réaliser des éditions d'une ou de deux couleurs de format moyen sur une presse offset manuelle",NA
"12","Inforoute","Techniques de l'impression","https://www.inforoutefpt.org/progColDet.aspx?prog=427&sanction=1","0387","Relier des imprimés",NA
"13","Inforoute","Techniques de l'impression","https://www.inforoutefpt.org/progColDet.aspx?prog=427&sanction=1","0388","Appliquer une procédure de contrôle de qualité en impression",NA
"14","Inforoute","Techniques de l'impression","https://www.inforoutefpt.org/progColDet.aspx?prog=427&sanction=1","0389","Réaliser des impressions multicouleurs et en quadrichromie de format moyen sur une presse offset manuelle",NA
"15","Inforoute","Techniques de l'impression","https://www.inforoutefpt.org/progColDet.aspx?prog=427&sanction=1","038A","Planifier la production de travaux d'imprimerie",NA
"16","Inforoute","Techniques de l'impression","https://www.inforoutefpt.org/progColDet.aspx?prog=427&sanction=1","038B","Réaliser des impressions multicouleurs sur une presse flexographique manuelle",NA
"17","Inforoute","Techniques de l'impression","https://www.inforoutefpt.org/progColDet.aspx?prog=427&sanction=1","038C","Estimer les coûts de production d'un imprimé",NA
"18","Inforoute","Techniques de l'impression","https://www.inforoutefpt.org/progColDet.aspx?prog=427&sanction=1","038D","Réaliser des impressions multicouleurs et en quadrichromie de grand format sur une presse offset manuelle",NA
"19","Inforoute","Techniques de l'impression","https://www.inforoutefpt.org/progColDet.aspx?prog=427&sanction=1","038E","Participer à un programme d'amélioration continue de la qualité",NA
"20","Inforoute","Techniques de l'impression","https://www.inforoutefpt.org/progColDet.aspx?prog=427&sanction=1","038F","Participer à la conception et à la mise en oeuvre d'un programme d'entretien préventif",NA
"21","Inforoute","Techniques de l'impression","https://www.inforoutefpt.org/progColDet.aspx?prog=427&sanction=1","038G","Réaliser des impressions de grand format sur une presse offset informatisée d'une ou de deux couleurs",NA
"22","Inforoute","Techniques de l'impression","https://www.inforoutefpt.org/progColDet.aspx?prog=427&sanction=1","038H","Réaliser des impressions de grand format sur une presse offset informatisée de quatre couleurs",NA
"23","Inforoute","Techniques de l'impression","https://www.inforoutefpt.org/progColDet.aspx?prog=427&sanction=1","038J","Réaliser des éditions sur une rotative offset informatisée à thermoséchage",NA
"24","Inforoute","Techniques de l'impression","https://www.inforoutefpt.org/progColDet.aspx?prog=427&sanction=1","","",NA
