"","Institution","Program","Program_url","Code","Name","Description"
"1","Inforoute","Techniques de la documentation","https://www.inforoutefpt.org/progColDet.aspx?prog=370&sanction=1","00A9","Analyser la fonction de travail",NA
"2","Inforoute","Techniques de la documentation","https://www.inforoutefpt.org/progColDet.aspx?prog=370&sanction=1","00AA","Trier des documents selon leurs caractéristiques et leur provenance",NA
"3","Inforoute","Techniques de la documentation","https://www.inforoutefpt.org/progColDet.aspx?prog=370&sanction=1","00AB","Appliquer des notions de base en informatique",NA
"4","Inforoute","Techniques de la documentation","https://www.inforoutefpt.org/progColDet.aspx?prog=370&sanction=1","00AC","Appliquer des techniques relatives à la protection, au rangement et à la conservation de documents",NA
"5","Inforoute","Techniques de la documentation","https://www.inforoutefpt.org/progColDet.aspx?prog=370&sanction=1","00AD","Associer des connaissances générales aux systèmes de classification documentaire",NA
"6","Inforoute","Techniques de la documentation","https://www.inforoutefpt.org/progColDet.aspx?prog=370&sanction=1","00AE","Appliquer des techniques de mise en forme de documents",NA
"7","Inforoute","Techniques de la documentation","https://www.inforoutefpt.org/progColDet.aspx?prog=370&sanction=1","00AF","Utiliser des systèmes documentaires informatisés",NA
"8","Inforoute","Techniques de la documentation","https://www.inforoutefpt.org/progColDet.aspx?prog=370&sanction=1","00AG","Repérer des renseignements dans diverses sources d'information",NA
"9","Inforoute","Techniques de la documentation","https://www.inforoutefpt.org/progColDet.aspx?prog=370&sanction=1","00AH","Contrôler la localisation et la circulation de documents",NA
"10","Inforoute","Techniques de la documentation","https://www.inforoutefpt.org/progColDet.aspx?prog=370&sanction=1","00AJ","Utiliser des techniques de base en indexation",NA
"11","Inforoute","Techniques de la documentation","https://www.inforoutefpt.org/progColDet.aspx?prog=370&sanction=1","00AK","Rédiger des descriptions sommaires de documents",NA
"12","Inforoute","Techniques de la documentation","https://www.inforoutefpt.org/progColDet.aspx?prog=370&sanction=1","00AL","Appliquer un système de gestion de documents administratifs et d'archives",NA
"13","Inforoute","Techniques de la documentation","https://www.inforoutefpt.org/progColDet.aspx?prog=370&sanction=1","00AM","Utiliser des techniques de communication et de travail en équipe",NA
"14","Inforoute","Techniques de la documentation","https://www.inforoutefpt.org/progColDet.aspx?prog=370&sanction=1","00AN","Rédiger  des notices catalographiques complètes",NA
"15","Inforoute","Techniques de la documentation","https://www.inforoutefpt.org/progColDet.aspx?prog=370&sanction=1","00AP","Attribuer des vedettes-matière et des descripteurs à des documents",NA
"16","Inforoute","Techniques de la documentation","https://www.inforoutefpt.org/progColDet.aspx?prog=370&sanction=1","00AQ","Classifier des documents selon la Classification décimale Dewey et la Library of Congress",NA
"17","Inforoute","Techniques de la documentation","https://www.inforoutefpt.org/progColDet.aspx?prog=370&sanction=1","00AR","Adapter des outils de gestion pour des documents d'archives",NA
"18","Inforoute","Techniques de la documentation","https://www.inforoutefpt.org/progColDet.aspx?prog=370&sanction=1","00AS","Appliquer des techniques de promotion de services documentaires",NA
"19","Inforoute","Techniques de la documentation","https://www.inforoutefpt.org/progColDet.aspx?prog=370&sanction=1","00AT","Appliquer des techniques d'animation en milieu documentaire",NA
"20","Inforoute","Techniques de la documentation","https://www.inforoutefpt.org/progColDet.aspx?prog=370&sanction=1","00AU","Assister un client ou une cliente dans sa recherche d'information",NA
"21","Inforoute","Techniques de la documentation","https://www.inforoutefpt.org/progColDet.aspx?prog=370&sanction=1","00AV","Appliquer des techniques relatives à l'organisation matérielle d'un centre ou d'un service documentaires",NA
"22","Inforoute","Techniques de la documentation","https://www.inforoutefpt.org/progColDet.aspx?prog=370&sanction=1","00AW","Élaborer un plan d'informatisation",NA
"23","Inforoute","Techniques de la documentation","https://www.inforoutefpt.org/progColDet.aspx?prog=370&sanction=1","00AX","Appliquer un processus d'acquisition de documents",NA
"24","Inforoute","Techniques de la documentation","https://www.inforoutefpt.org/progColDet.aspx?prog=370&sanction=1","00AY","Adapter des outils de gestion pour des documents administratifs",NA
"25","Inforoute","Techniques de la documentation","https://www.inforoutefpt.org/progColDet.aspx?prog=370&sanction=1","00AZ","Gérer des collections",NA
"26","Inforoute","Techniques de la documentation","https://www.inforoutefpt.org/progColDet.aspx?prog=370&sanction=1","00B0","Améliorer l'efficacité d'une chaîne documentaire",NA
"27","Inforoute","Techniques de la documentation","https://www.inforoutefpt.org/progColDet.aspx?prog=370&sanction=1","","",NA
