"","Institution","Program","Program_url","Code","Name","Description"
"1","Inforoute","Techniques de la plasturgie (Techniques de génie du plastique, changement de titre à compter de l'automne 2020)","https://www.inforoutefpt.org/progColDet.aspx?prog=506&sanction=1","012F","Interpréter des dessins techniques",NA
"2","Inforoute","Techniques de la plasturgie (Techniques de génie du plastique, changement de titre à compter de l'automne 2020)","https://www.inforoutefpt.org/progColDet.aspx?prog=506&sanction=1","012M","Exploiter un poste de travail informatisé",NA
"3","Inforoute","Techniques de la plasturgie (Techniques de génie du plastique, changement de titre à compter de l'automne 2020)","https://www.inforoutefpt.org/progColDet.aspx?prog=506&sanction=1","012X","S’adapter aux particularités des nouvelles organisations du travail",NA
"4","Inforoute","Techniques de la plasturgie (Techniques de génie du plastique, changement de titre à compter de l'automne 2020)","https://www.inforoutefpt.org/progColDet.aspx?prog=506&sanction=1","06C9","Analyser la fonction de travail",NA
"5","Inforoute","Techniques de la plasturgie (Techniques de génie du plastique, changement de titre à compter de l'automne 2020)","https://www.inforoutefpt.org/progColDet.aspx?prog=506&sanction=1","06CA","Établir des liens entre un objet commercial et sa fabrication",NA
"6","Inforoute","Techniques de la plasturgie (Techniques de génie du plastique, changement de titre à compter de l'automne 2020)","https://www.inforoutefpt.org/progColDet.aspx?prog=506&sanction=1","06CB","Résoudre des problèmes de mathématiques appliqués à la plasturgie",NA
"7","Inforoute","Techniques de la plasturgie (Techniques de génie du plastique, changement de titre à compter de l'automne 2020)","https://www.inforoutefpt.org/progColDet.aspx?prog=506&sanction=1","06CC","Prévoir le comportement des polymères selon leur structure chimique",NA
"8","Inforoute","Techniques de la plasturgie (Techniques de génie du plastique, changement de titre à compter de l'automne 2020)","https://www.inforoutefpt.org/progColDet.aspx?prog=506&sanction=1","06CD","Résoudre des problèmes reliés aux phénomènes physiques rencontrés en plasturgie",NA
"9","Inforoute","Techniques de la plasturgie (Techniques de génie du plastique, changement de titre à compter de l'automne 2020)","https://www.inforoutefpt.org/progColDet.aspx?prog=506&sanction=1","06CE","Faire fonctionner de l’équipement de production",NA
"10","Inforoute","Techniques de la plasturgie (Techniques de génie du plastique, changement de titre à compter de l'automne 2020)","https://www.inforoutefpt.org/progColDet.aspx?prog=506&sanction=1","06CF","Produire des croquis et des dessins techniques",NA
"11","Inforoute","Techniques de la plasturgie (Techniques de génie du plastique, changement de titre à compter de l'automne 2020)","https://www.inforoutefpt.org/progColDet.aspx?prog=506&sanction=1","06CG","Analyser les matières premières utilisées dans la fabrication de produits",NA
"12","Inforoute","Techniques de la plasturgie (Techniques de génie du plastique, changement de titre à compter de l'automne 2020)","https://www.inforoutefpt.org/progColDet.aspx?prog=506&sanction=1","06CH","Établir des liens entre les outillages et leur fabrication",NA
"13","Inforoute","Techniques de la plasturgie (Techniques de génie du plastique, changement de titre à compter de l'automne 2020)","https://www.inforoutefpt.org/progColDet.aspx?prog=506&sanction=1","06CJ","Assurer la fonctionnalité des moules et des filières",NA
"14","Inforoute","Techniques de la plasturgie (Techniques de génie du plastique, changement de titre à compter de l'automne 2020)","https://www.inforoutefpt.org/progColDet.aspx?prog=506&sanction=1","06CK","Procéder à la mise en production d’une pièce ou d’un produit",NA
"15","Inforoute","Techniques de la plasturgie (Techniques de génie du plastique, changement de titre à compter de l'automne 2020)","https://www.inforoutefpt.org/progColDet.aspx?prog=506&sanction=1","06CL","Contrôler la qualité de la matière première et des produits",NA
"16","Inforoute","Techniques de la plasturgie (Techniques de génie du plastique, changement de titre à compter de l'automne 2020)","https://www.inforoutefpt.org/progColDet.aspx?prog=506&sanction=1","06CM","Veiller à la fiabilité de l’équipement",NA
"17","Inforoute","Techniques de la plasturgie (Techniques de génie du plastique, changement de titre à compter de l'automne 2020)","https://www.inforoutefpt.org/progColDet.aspx?prog=506&sanction=1","06CN","Procéder à l’implantation, à la planification et au suivi de l’assurance-qualité",NA
"18","Inforoute","Techniques de la plasturgie (Techniques de génie du plastique, changement de titre à compter de l'automne 2020)","https://www.inforoutefpt.org/progColDet.aspx?prog=506&sanction=1","06CP","Concevoir de l’outillage",NA
"19","Inforoute","Techniques de la plasturgie (Techniques de génie du plastique, changement de titre à compter de l'automne 2020)","https://www.inforoutefpt.org/progColDet.aspx?prog=506&sanction=1","06CQ","Effectuer la conception technique d'un produit",NA
"20","Inforoute","Techniques de la plasturgie (Techniques de génie du plastique, changement de titre à compter de l'automne 2020)","https://www.inforoutefpt.org/progColDet.aspx?prog=506&sanction=1","06CR","Superviser du personnel",NA
"21","Inforoute","Techniques de la plasturgie (Techniques de génie du plastique, changement de titre à compter de l'automne 2020)","https://www.inforoutefpt.org/progColDet.aspx?prog=506&sanction=1","06CS","Coordonner la production d’une usine de plasturgie",NA
"22","Inforoute","Techniques de la plasturgie (Techniques de génie du plastique, changement de titre à compter de l'automne 2020)","https://www.inforoutefpt.org/progColDet.aspx?prog=506&sanction=1","06CT","Optimiser une production",NA
"23","Inforoute","Techniques de la plasturgie (Techniques de génie du plastique, changement de titre à compter de l'automne 2020)","https://www.inforoutefpt.org/progColDet.aspx?prog=506&sanction=1","06CU","Assurer un soutien technique pour la résolution de problèmes de production",NA
"24","Inforoute","Techniques de la plasturgie (Techniques de génie du plastique, changement de titre à compter de l'automne 2020)","https://www.inforoutefpt.org/progColDet.aspx?prog=506&sanction=1","","",NA
