"","Institution","Program","Program_url","Code","Name","Description"
"1","Inforoute","Techniques de physiothérapie","https://www.inforoutefpt.org/progColDet.aspx?prog=510&sanction=1","002W","Analyser la fonction de travail",NA
"2","Inforoute","Techniques de physiothérapie","https://www.inforoutefpt.org/progColDet.aspx?prog=510&sanction=1","002X","Se référer au fonctionnement normal de l’organisme humain",NA
"3","Inforoute","Techniques de physiothérapie","https://www.inforoutefpt.org/progColDet.aspx?prog=510&sanction=1","002Y","Repérer des structures anatomiques de l’appareil locomoteur",NA
"4","Inforoute","Techniques de physiothérapie","https://www.inforoutefpt.org/progColDet.aspx?prog=510&sanction=1","002Z","Analyser les positions et les mouvements du corps humain",NA
"5","Inforoute","Techniques de physiothérapie","https://www.inforoutefpt.org/progColDet.aspx?prog=510&sanction=1","003A","Prodiguer des soins de base et des soins d’urgence",NA
"6","Inforoute","Techniques de physiothérapie","https://www.inforoutefpt.org/progColDet.aspx?prog=510&sanction=1","003B","Associer des mécanismes physiologiques à des besoins de réadaptation physique",NA
"7","Inforoute","Techniques de physiothérapie","https://www.inforoutefpt.org/progColDet.aspx?prog=510&sanction=1","003C","Interpréter l’information relative à l’état pathologique et aux interventions pertinentes",NA
"8","Inforoute","Techniques de physiothérapie","https://www.inforoutefpt.org/progColDet.aspx?prog=510&sanction=1","003D","Intervenir en cas de problèmes de douleur et de circulation",NA
"9","Inforoute","Techniques de physiothérapie","https://www.inforoutefpt.org/progColDet.aspx?prog=510&sanction=1","003E","Intervenir en cas de perte de mobilité",NA
"10","Inforoute","Techniques de physiothérapie","https://www.inforoutefpt.org/progColDet.aspx?prog=510&sanction=1","003F","Intervenir en cas de déficience de la fonction musculaire",NA
"11","Inforoute","Techniques de physiothérapie","https://www.inforoutefpt.org/progColDet.aspx?prog=510&sanction=1","003G","Intervenir en cas de pertes fonctionnelles",NA
"12","Inforoute","Techniques de physiothérapie","https://www.inforoutefpt.org/progColDet.aspx?prog=510&sanction=1","003H","Effectuer des traitements par électrothérapie",NA
"13","Inforoute","Techniques de physiothérapie","https://www.inforoutefpt.org/progColDet.aspx?prog=510&sanction=1","003K","Rééduquer des personnes éprouvant des problèmes orthopédiques et rhumatologiques",NA
"14","Inforoute","Techniques de physiothérapie","https://www.inforoutefpt.org/progColDet.aspx?prog=510&sanction=1","003L","Rééduquer des personnes éprouvant des problèmes neurologiques",NA
"15","Inforoute","Techniques de physiothérapie","https://www.inforoutefpt.org/progColDet.aspx?prog=510&sanction=1","003M","Adapter l’approche clinique aux particularités d’un handicap et d’un milieu d’intervention",NA
"16","Inforoute","Techniques de physiothérapie","https://www.inforoutefpt.org/progColDet.aspx?prog=510&sanction=1","003N","Rééduquer des personnes éprouvant des problèmes vasculaires et respiratoires",NA
"17","Inforoute","Techniques de physiothérapie","https://www.inforoutefpt.org/progColDet.aspx?prog=510&sanction=1","003Q","Offrir des services professionnels",NA
"18","Inforoute","Techniques de physiothérapie","https://www.inforoutefpt.org/progColDet.aspx?prog=510&sanction=1","0559","Établir des relations professionnelles",NA
"19","Inforoute","Techniques de physiothérapie","https://www.inforoutefpt.org/progColDet.aspx?prog=510&sanction=1","055A","Procéder à une rééducation adaptée à une clientèle gériatrique",NA
"20","Inforoute","Techniques de physiothérapie","https://www.inforoutefpt.org/progColDet.aspx?prog=510&sanction=1","","",NA
