"","Institution","Program","Program_url","Code","Name","Description"
"1","Inforoute","Techniques de pilotage d'aéronefs (Pilotage d'avions multimoteurs)","https://www.inforoutefpt.org/progColDet.aspx?prog=355&sanction=1","00GH","Analyser les fonctions de travail",NA
"2","Inforoute","Techniques de pilotage d'aéronefs (Pilotage d'avions multimoteurs)","https://www.inforoutefpt.org/progColDet.aspx?prog=355&sanction=1","00GJ","Tenir à jour ses connaissances sur la réglementation aérienne",NA
"3","Inforoute","Techniques de pilotage d'aéronefs (Pilotage d'avions multimoteurs)","https://www.inforoutefpt.org/progColDet.aspx?prog=355&sanction=1","00GK","Utiliser les outils informatiques propres au pilotage d'aéronefs",NA
"4","Inforoute","Techniques de pilotage d'aéronefs (Pilotage d'avions multimoteurs)","https://www.inforoutefpt.org/progColDet.aspx?prog=355&sanction=1","00GL","Analyser les renseignements météorologiques",NA
"5","Inforoute","Techniques de pilotage d'aéronefs (Pilotage d'avions multimoteurs)","https://www.inforoutefpt.org/progColDet.aspx?prog=355&sanction=1","00GM","Prendre des décisions au regard de l'utilisation des composants d'un aéronef",NA
"6","Inforoute","Techniques de pilotage d'aéronefs (Pilotage d'avions multimoteurs)","https://www.inforoutefpt.org/progColDet.aspx?prog=355&sanction=1","00GN","Établir des relations avec la clientèle",NA
"7","Inforoute","Techniques de pilotage d'aéronefs (Pilotage d'avions multimoteurs)","https://www.inforoutefpt.org/progColDet.aspx?prog=355&sanction=1","00GP","Préparer un avion monomoteur",NA
"8","Inforoute","Techniques de pilotage d'aéronefs (Pilotage d'avions multimoteurs)","https://www.inforoutefpt.org/progColDet.aspx?prog=355&sanction=1","00GQ","Effectuer des communications radio",NA
"9","Inforoute","Techniques de pilotage d'aéronefs (Pilotage d'avions multimoteurs)","https://www.inforoutefpt.org/progColDet.aspx?prog=355&sanction=1","00GR","Utiliser des techniques de survie et de premiers soins",NA
"10","Inforoute","Techniques de pilotage d'aéronefs (Pilotage d'avions multimoteurs)","https://www.inforoutefpt.org/progColDet.aspx?prog=355&sanction=1","00GS","Adopter des comportements permettant d'éviter les erreurs humaines en pilotage d'aéronefs",NA
"11","Inforoute","Techniques de pilotage d'aéronefs (Pilotage d'avions multimoteurs)","https://www.inforoutefpt.org/progColDet.aspx?prog=355&sanction=1","00GT","Piloter, de jour, un avion monomoteur en vol privé",NA
"12","Inforoute","Techniques de pilotage d'aéronefs (Pilotage d'avions multimoteurs)","https://www.inforoutefpt.org/progColDet.aspx?prog=355&sanction=1","00GU","Communiquer en anglais avec le personnel",NA
"13","Inforoute","Techniques de pilotage d'aéronefs (Pilotage d'avions multimoteurs)","https://www.inforoutefpt.org/progColDet.aspx?prog=355&sanction=1","","",NA
