"","Institution","Program","Program_url","Code","Name","Description"
"1","Inforoute","Techniques de procédés chimiques","https://www.inforoutefpt.org/progColDet.aspx?prog=300&sanction=1","0230","Analyser la fonction de travail de technicienne et de technicien en procédés chimiques",NA
"2","Inforoute","Techniques de procédés chimiques","https://www.inforoutefpt.org/progColDet.aspx?prog=300&sanction=1","0231","Analyser les réactions chimiques et les propriétés physico-chimiques de composés inorganiques et organiques",NA
"3","Inforoute","Techniques de procédés chimiques","https://www.inforoutefpt.org/progColDet.aspx?prog=300&sanction=1","0232","Intervenir en matière de santé et de sécurité au travail",NA
"4","Inforoute","Techniques de procédés chimiques","https://www.inforoutefpt.org/progColDet.aspx?prog=300&sanction=1","0233","Faire fonctionner des moteurs électriques",NA
"5","Inforoute","Techniques de procédés chimiques","https://www.inforoutefpt.org/progColDet.aspx?prog=300&sanction=1","0234","Faire fonctionner des appareils de transport de solides et de liquides",NA
"6","Inforoute","Techniques de procédés chimiques","https://www.inforoutefpt.org/progColDet.aspx?prog=300&sanction=1","0235","Conduire un système de contrôle-commande",NA
"7","Inforoute","Techniques de procédés chimiques","https://www.inforoutefpt.org/progColDet.aspx?prog=300&sanction=1","0236","Effectuer des analyses chimiques et physico-chimiques",NA
"8","Inforoute","Techniques de procédés chimiques","https://www.inforoutefpt.org/progColDet.aspx?prog=300&sanction=1","0237","Conduire des procédés de conditionnement d'eaux industrielles",NA
"9","Inforoute","Techniques de procédés chimiques","https://www.inforoutefpt.org/progColDet.aspx?prog=300&sanction=1","0238","Faire fonctionner des appareils de transfert de chaleur",NA
"10","Inforoute","Techniques de procédés chimiques","https://www.inforoutefpt.org/progColDet.aspx?prog=300&sanction=1","0239","Faire fonctionner des appareils de transport de gaz",NA
"11","Inforoute","Techniques de procédés chimiques","https://www.inforoutefpt.org/progColDet.aspx?prog=300&sanction=1","023A","Conduire des équipements de séparation",NA
"12","Inforoute","Techniques de procédés chimiques","https://www.inforoutefpt.org/progColDet.aspx?prog=300&sanction=1","023B","Conduire des réacteurs",NA
"13","Inforoute","Techniques de procédés chimiques","https://www.inforoutefpt.org/progColDet.aspx?prog=300&sanction=1","023C","Conduire des procédés électrochimiques",NA
"14","Inforoute","Techniques de procédés chimiques","https://www.inforoutefpt.org/progColDet.aspx?prog=300&sanction=1","023D","Conduire des procédés pétrochimiques",NA
"15","Inforoute","Techniques de procédés chimiques","https://www.inforoutefpt.org/progColDet.aspx?prog=300&sanction=1","023E","Conduire des procédés de polymérisation",NA
"16","Inforoute","Techniques de procédés chimiques","https://www.inforoutefpt.org/progColDet.aspx?prog=300&sanction=1","023F","Conduire des bioprocédés",NA
"17","Inforoute","Techniques de procédés chimiques","https://www.inforoutefpt.org/progColDet.aspx?prog=300&sanction=1","023G","Effectuer la mise hors service de l'équipement d'un procédé",NA
"18","Inforoute","Techniques de procédés chimiques","https://www.inforoutefpt.org/progColDet.aspx?prog=300&sanction=1","023H","Effectuer la mise en service de l'équipement d'un procédé",NA
"19","Inforoute","Techniques de procédés chimiques","https://www.inforoutefpt.org/progColDet.aspx?prog=300&sanction=1","023J","Agir à titre de personne-ressource",NA
"20","Inforoute","Techniques de procédés chimiques","https://www.inforoutefpt.org/progColDet.aspx?prog=300&sanction=1","023K","Intervenir en situation d'urgence",NA
"21","Inforoute","Techniques de procédés chimiques","https://www.inforoutefpt.org/progColDet.aspx?prog=300&sanction=1","","",NA
