"","Institution","Program","Program_url","Code","Name","Description"
"1","Inforoute","Techniques de procédés industriels (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=537&sanction=1","015Y","Analyser la profession",NA
"2","Inforoute","Techniques de procédés industriels (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=537&sanction=1","015Z","Prévenir les atteintes à la santé et à la sécurité",NA
"3","Inforoute","Techniques de procédés industriels (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=537&sanction=1","018Y","Résoudre des problèmes de mathématiques liés aux procédés",NA
"4","Inforoute","Techniques de procédés industriels (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=537&sanction=1","018Z","Interagir en contexte professionnel",NA
"5","Inforoute","Techniques de procédés industriels (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=537&sanction=1","01E9","Effectuer des analyses de chimie inorganique",NA
"6","Inforoute","Techniques de procédés industriels (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=537&sanction=1","01FZ","Effectuer des analyses de chimie organique",NA
"7","Inforoute","Techniques de procédés industriels (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=537&sanction=1","01GP","Effectuer des essais physiques et physico-chimiques",NA
"8","Inforoute","Techniques de procédés industriels (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=537&sanction=1","01HZ","Assurer le fonctionnement électrique d’appareils et d’équipements",NA
"9","Inforoute","Techniques de procédés industriels (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=537&sanction=1","01JX","Assurer le fonctionnement d’équipements de transport de solides et de liquides",NA
"10","Inforoute","Techniques de procédés industriels (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=537&sanction=1","01JY","Assurer le fonctionnement de systèmes de contrôle-commande",NA
"11","Inforoute","Techniques de procédés industriels (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=537&sanction=1","01JZ","Assurer le fonctionnement de systèmes de transfert de chaleur",NA
"12","Inforoute","Techniques de procédés industriels (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=537&sanction=1","01P6","Assurer le fonctionnement d’équipements de transport de gaz",NA
"13","Inforoute","Techniques de procédés industriels (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=537&sanction=1","01P7","Contrôler des systèmes de conditionnement",NA
"14","Inforoute","Techniques de procédés industriels (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=537&sanction=1","01P8","Contrôler des systèmes de mélange et de réaction",NA
"15","Inforoute","Techniques de procédés industriels (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=537&sanction=1","01P9","Contrôler des systèmes de séparation",NA
"16","Inforoute","Techniques de procédés industriels (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=537&sanction=1","01PA","Contrôler des systèmes bioréactionnels",NA
"17","Inforoute","Techniques de procédés industriels (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=537&sanction=1","01PB","Intervenir en matière de protection de l’environnement",NA
"18","Inforoute","Techniques de procédés industriels (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=537&sanction=1","01PC","Intervenir en matière d’assurance qualité d’une production",NA
"19","Inforoute","Techniques de procédés industriels (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=537&sanction=1","01PD","Analyser le fonctionnement de procédés types industriels",NA
"20","Inforoute","Techniques de procédés industriels (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=537&sanction=1","01PF","Superviser le déroulement d’une production",NA
"21","Inforoute","Techniques de procédés industriels (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=537&sanction=1","01PG","Procéder à l’arrêt et au démarrage d’une unité de production",NA
"22","Inforoute","Techniques de procédés industriels (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=537&sanction=1","01PH","Intervenir sur un procédé en situation d’urgence",NA
"23","Inforoute","Techniques de procédés industriels (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=537&sanction=1","01PJ","Assurer un soutien technique à la production",NA
"24","Inforoute","Techniques de procédés industriels (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=537&sanction=1","01PK","Effectuer des essais d’optimisation",NA
"25","Inforoute","Techniques de procédés industriels (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=537&sanction=1","","",NA
