"","Institution","Program","Program_url","Code","Name","Description"
"1","Inforoute","Techniques de santé animale","https://www.inforoutefpt.org/progColDet.aspx?prog=259&sanction=1","00QJ","Analyser la fonction de travail",NA
"2","Inforoute","Techniques de santé animale","https://www.inforoutefpt.org/progColDet.aspx?prog=259&sanction=1","00QK","Gérer de l'équipement et du matériel",NA
"3","Inforoute","Techniques de santé animale","https://www.inforoutefpt.org/progColDet.aspx?prog=259&sanction=1","00QL","Procéder à l'admission des animaux",NA
"4","Inforoute","Techniques de santé animale","https://www.inforoutefpt.org/progColDet.aspx?prog=259&sanction=1","00QM","Assurer la bonne marche d'une animalerie",NA
"5","Inforoute","Techniques de santé animale","https://www.inforoutefpt.org/progColDet.aspx?prog=259&sanction=1","00QN","Prodiguer des soins (nursing)",NA
"6","Inforoute","Techniques de santé animale","https://www.inforoutefpt.org/progColDet.aspx?prog=259&sanction=1","00QP","Prodiguer des soins dans le contexte de la reproduction des animaux de consommation",NA
"7","Inforoute","Techniques de santé animale","https://www.inforoutefpt.org/progColDet.aspx?prog=259&sanction=1","00QQ","Procéder à des épreuves de biochimie clinique et d'immunologie",NA
"8","Inforoute","Techniques de santé animale","https://www.inforoutefpt.org/progColDet.aspx?prog=259&sanction=1","00QR","Procéder à des épreuves de cytologie et d'histologie et à des nécropsies",NA
"9","Inforoute","Techniques de santé animale","https://www.inforoutefpt.org/progColDet.aspx?prog=259&sanction=1","00QS","Procéder à des épreuves d'hématologie",NA
"10","Inforoute","Techniques de santé animale","https://www.inforoutefpt.org/progColDet.aspx?prog=259&sanction=1","00QT","Procéder à des épreuves de microbiologie et de parasitologie",NA
"11","Inforoute","Techniques de santé animale","https://www.inforoutefpt.org/progColDet.aspx?prog=259&sanction=1","00QU","Faire l'élevage d'animaux",NA
"12","Inforoute","Techniques de santé animale","https://www.inforoutefpt.org/progColDet.aspx?prog=259&sanction=1","00QV","Maintenir des cultures cellulaires et des cultures microbiennes",NA
"13","Inforoute","Techniques de santé animale","https://www.inforoutefpt.org/progColDet.aspx?prog=259&sanction=1","00QW","Fournir une assistance en radiologie",NA
"14","Inforoute","Techniques de santé animale","https://www.inforoutefpt.org/progColDet.aspx?prog=259&sanction=1","00QX","Fournir une assistance en chirurgie",NA
"15","Inforoute","Techniques de santé animale","https://www.inforoutefpt.org/progColDet.aspx?prog=259&sanction=1","00QY","Effectuer des prophylaxies dentaires",NA
"16","Inforoute","Techniques de santé animale","https://www.inforoutefpt.org/progColDet.aspx?prog=259&sanction=1","00QZ","Participer à des chirurgies expérimentales",NA
"17","Inforoute","Techniques de santé animale","https://www.inforoutefpt.org/progColDet.aspx?prog=259&sanction=1","00R0","Effectuer des investigations physiologiques",NA
"18","Inforoute","Techniques de santé animale","https://www.inforoutefpt.org/progColDet.aspx?prog=259&sanction=1","00R1","Assurer des services à la clientèle",NA
"19","Inforoute","Techniques de santé animale","https://www.inforoutefpt.org/progColDet.aspx?prog=259&sanction=1","00R2","Participer à une expérimentation animale",NA
"20","Inforoute","Techniques de santé animale","https://www.inforoutefpt.org/progColDet.aspx?prog=259&sanction=1","00R3","Utiliser des techniques de maîtrise des animaux",NA
"21","Inforoute","Techniques de santé animale","https://www.inforoutefpt.org/progColDet.aspx?prog=259&sanction=1","00R4","Utiliser des techniques de laboratoire de chimie et de biochimie",NA
"22","Inforoute","Techniques de santé animale","https://www.inforoutefpt.org/progColDet.aspx?prog=259&sanction=1","00R5","Associer les déterminants génétiques et cellulaires à la croissance et à la reproduction animales",NA
"23","Inforoute","Techniques de santé animale","https://www.inforoutefpt.org/progColDet.aspx?prog=259&sanction=1","00R6","Prévenir la propagation des microorganismes et des parasites",NA
"24","Inforoute","Techniques de santé animale","https://www.inforoutefpt.org/progColDet.aspx?prog=259&sanction=1","00R7","Établir des liens entre l'anatomie et la physiologie des animaux et les interventions liées à leurs fonctions biologiques",NA
"25","Inforoute","Techniques de santé animale","https://www.inforoutefpt.org/progColDet.aspx?prog=259&sanction=1","00R8","Gérer des soins nutritionnels",NA
"26","Inforoute","Techniques de santé animale","https://www.inforoutefpt.org/progColDet.aspx?prog=259&sanction=1","00R9","Établir des pratiques de reconnaissance et de modification du comportement animal",NA
"27","Inforoute","Techniques de santé animale","https://www.inforoutefpt.org/progColDet.aspx?prog=259&sanction=1","00RA","Reconnaître des signes de pathologie",NA
"28","Inforoute","Techniques de santé animale","https://www.inforoutefpt.org/progColDet.aspx?prog=259&sanction=1","00RB","Analyser les effets d'un médicament sur l'animal",NA
"29","Inforoute","Techniques de santé animale","https://www.inforoutefpt.org/progColDet.aspx?prog=259&sanction=1","","",NA
