"","Institution","Program","Program_url","Code","Name","Description"
"1","Inforoute","Techniques de thanatologie","https://www.inforoutefpt.org/progColDet.aspx?prog=290&sanction=1","051Q","Analyser la fonction de travail",NA
"2","Inforoute","Techniques de thanatologie","https://www.inforoutefpt.org/progColDet.aspx?prog=290&sanction=1","051R","Utiliser les textes de lois relatives à l'exercice de la profession",NA
"3","Inforoute","Techniques de thanatologie","https://www.inforoutefpt.org/progColDet.aspx?prog=290&sanction=1","051S","Interagir avec une clientèle multiculturelle et multiconfessionnelle",NA
"4","Inforoute","Techniques de thanatologie","https://www.inforoutefpt.org/progColDet.aspx?prog=290&sanction=1","051T","Manifester une vision intégrée du corps humain dans l'exécution d'une thanatopraxie",NA
"5","Inforoute","Techniques de thanatologie","https://www.inforoutefpt.org/progColDet.aspx?prog=290&sanction=1","051U","Exploiter des principes chimiques dans une situation de thanatopraxie",NA
"6","Inforoute","Techniques de thanatologie","https://www.inforoutefpt.org/progColDet.aspx?prog=290&sanction=1","051V","Appliquer les mesures de prévention liées à la santé et à la sécurité dans un établissement funéraire",NA
"7","Inforoute","Techniques de thanatologie","https://www.inforoutefpt.org/progColDet.aspx?prog=290&sanction=1","051W","Exploiter des principes physiques dans une situation de thanatopraxie",NA
"8","Inforoute","Techniques de thanatologie","https://www.inforoutefpt.org/progColDet.aspx?prog=290&sanction=1","051X","Déduire les impacts de pathologies et de soins médicaux sur l'organisme en vue de traitements de thanatopraxie",NA
"9","Inforoute","Techniques de thanatologie","https://www.inforoutefpt.org/progColDet.aspx?prog=290&sanction=1","051Y","Effectuer des traitements de thanatopraxie préparatoires ou complémentaires à l'injection artérielle",NA
"10","Inforoute","Techniques de thanatologie","https://www.inforoutefpt.org/progColDet.aspx?prog=290&sanction=1","051Z","Procéder à l'injection artérielle de solutions préservatives",NA
"11","Inforoute","Techniques de thanatologie","https://www.inforoutefpt.org/progColDet.aspx?prog=290&sanction=1","0521","Effectuer les soins de présentation de la dépouille",NA
"12","Inforoute","Techniques de thanatologie","https://www.inforoutefpt.org/progColDet.aspx?prog=290&sanction=1","0522","Établir une communication aidante avec une personne en deuil",NA
"13","Inforoute","Techniques de thanatologie","https://www.inforoutefpt.org/progColDet.aspx?prog=290&sanction=1","0523","Effectuer des tâches administratives liées aux activités d'un établissement funéraire",NA
"14","Inforoute","Techniques de thanatologie","https://www.inforoutefpt.org/progColDet.aspx?prog=290&sanction=1","0524","Planifier des services funéraires",NA
"15","Inforoute","Techniques de thanatologie","https://www.inforoutefpt.org/progColDet.aspx?prog=290&sanction=1","0525","Organiser des services funéraires",NA
"16","Inforoute","Techniques de thanatologie","https://www.inforoutefpt.org/progColDet.aspx?prog=290&sanction=1","0526","Diriger des rites funéraires",NA
"17","Inforoute","Techniques de thanatologie","https://www.inforoutefpt.org/progColDet.aspx?prog=290&sanction=1","0527","Accomplir des thanatopraxies",NA
"18","Inforoute","Techniques de thanatologie","https://www.inforoutefpt.org/progColDet.aspx?prog=290&sanction=1","","",NA
