"","Institution","Program","Program_url","Code","Name","Description"
"1","Inforoute","Techniques du meuble et d'ébénisterie","https://www.inforoutefpt.org/progColDet.aspx?prog=315&sanction=1","0072","Rechercher de l'information sur les styles",NA
"2","Inforoute","Techniques du meuble et d'ébénisterie","https://www.inforoutefpt.org/progColDet.aspx?prog=315&sanction=1","01W2","Analyser les fonctions de travail",NA
"3","Inforoute","Techniques du meuble et d'ébénisterie","https://www.inforoutefpt.org/progColDet.aspx?prog=315&sanction=1","01W3","Exploiter un poste de travail informatisé",NA
"4","Inforoute","Techniques du meuble et d'ébénisterie","https://www.inforoutefpt.org/progColDet.aspx?prog=315&sanction=1","01W4","Prévenir les dangers liés à la santé et à la sécurité au travail",NA
"5","Inforoute","Techniques du meuble et d'ébénisterie","https://www.inforoutefpt.org/progColDet.aspx?prog=315&sanction=1","01W5","Exploiter le potentiel des outils et de la machinerie de base",NA
"6","Inforoute","Techniques du meuble et d'ébénisterie","https://www.inforoutefpt.org/progColDet.aspx?prog=315&sanction=1","01W6","Analyser les matériaux pour les meubles en bois massif",NA
"7","Inforoute","Techniques du meuble et d'ébénisterie","https://www.inforoutefpt.org/progColDet.aspx?prog=315&sanction=1","01W7","Analyser les matériaux pour les meubles et les armoires en panneaux",NA
"8","Inforoute","Techniques du meuble et d'ébénisterie","https://www.inforoutefpt.org/progColDet.aspx?prog=315&sanction=1","01W8","Déterminer les produits et les procédés de finition",NA
"9","Inforoute","Techniques du meuble et d'ébénisterie","https://www.inforoutefpt.org/progColDet.aspx?prog=315&sanction=1","01W9","Dessiner un produit",NA
"10","Inforoute","Techniques du meuble et d'ébénisterie","https://www.inforoutefpt.org/progColDet.aspx?prog=315&sanction=1","01WA","Effectuer un dessin en trois dimensions",NA
"11","Inforoute","Techniques du meuble et d'ébénisterie","https://www.inforoutefpt.org/progColDet.aspx?prog=315&sanction=1","01WB","Programmer une machine-outil à commande numérique",NA
"12","Inforoute","Techniques du meuble et d'ébénisterie","https://www.inforoutefpt.org/progColDet.aspx?prog=315&sanction=1","01WC","S'adapter aux exigences associées aux nouvelles organisations",NA
"13","Inforoute","Techniques du meuble et d'ébénisterie","https://www.inforoutefpt.org/progColDet.aspx?prog=315&sanction=1","01WD","Gérer le personnel d'une équipe de travail",NA
"14","Inforoute","Techniques du meuble et d'ébénisterie","https://www.inforoutefpt.org/progColDet.aspx?prog=315&sanction=1","","",NA
