"","Institution","Program","Program_url","Code","Name","Description"
"1","Inforoute","Techniques équines (Équitation classique)","https://www.inforoutefpt.org/progColDet.aspx?prog=284&sanction=1","007C","Utiliser un système micro-informatique",NA
"2","Inforoute","Techniques équines (Équitation classique)","https://www.inforoutefpt.org/progColDet.aspx?prog=284&sanction=1","00RC","Analyser la fonction de travail",NA
"3","Inforoute","Techniques équines (Équitation classique)","https://www.inforoutefpt.org/progColDet.aspx?prog=284&sanction=1","00RD","Appliquer les règles de santé et de sécurité au travail",NA
"4","Inforoute","Techniques équines (Équitation classique)","https://www.inforoutefpt.org/progColDet.aspx?prog=284&sanction=1","00RE","Effectuer l'entretien de base du cheval",NA
"5","Inforoute","Techniques équines (Équitation classique)","https://www.inforoutefpt.org/progColDet.aspx?prog=284&sanction=1","00RF","Effectuer la régie d'écurie",NA
"6","Inforoute","Techniques équines (Équitation classique)","https://www.inforoutefpt.org/progColDet.aspx?prog=284&sanction=1","00RG","Fournir une assistance de base à la ou au vétérinaire",NA
"7","Inforoute","Techniques équines (Équitation classique)","https://www.inforoutefpt.org/progColDet.aspx?prog=284&sanction=1","00RH","Élaborer des programmes alimentaires",NA
"8","Inforoute","Techniques équines (Équitation classique)","https://www.inforoutefpt.org/progColDet.aspx?prog=284&sanction=1","00RJ","Élaborer et appliquer un programme d'élevage",NA
"9","Inforoute","Techniques équines (Équitation classique)","https://www.inforoutefpt.org/progColDet.aspx?prog=284&sanction=1","00RK","Analyser des problèmes relatifs à la protection de l'environnement",NA
"10","Inforoute","Techniques équines (Équitation classique)","https://www.inforoutefpt.org/progColDet.aspx?prog=284&sanction=1","00RL","Communiquer en milieu de travail",NA
"11","Inforoute","Techniques équines (Équitation classique)","https://www.inforoutefpt.org/progColDet.aspx?prog=284&sanction=1","00RM","Analyser le contexte technico-économique et financier d'une entreprise du secteur équin",NA
"12","Inforoute","Techniques équines (Équitation classique)","https://www.inforoutefpt.org/progColDet.aspx?prog=284&sanction=1","00RN","Concevoir et exécuter un programme de promotion",NA
"13","Inforoute","Techniques équines (Équitation classique)","https://www.inforoutefpt.org/progColDet.aspx?prog=284&sanction=1","00RP","Effectuer les opérations relatives à l'achat ou à la vente de chevaux",NA
"14","Inforoute","Techniques équines (Équitation classique)","https://www.inforoutefpt.org/progColDet.aspx?prog=284&sanction=1","00RQ","Gérer un centre hippique",NA
"15","Inforoute","Techniques équines (Équitation classique)","https://www.inforoutefpt.org/progColDet.aspx?prog=284&sanction=1","00RR","Établir des liens entre la condition physique et mentale du cheval et le programme d'entraînement",NA
"16","Inforoute","Techniques équines (Équitation classique)","https://www.inforoutefpt.org/progColDet.aspx?prog=284&sanction=1","00RS","Dépanner en maréchalerie",NA
"17","Inforoute","Techniques équines (Équitation classique)","https://www.inforoutefpt.org/progColDet.aspx?prog=284&sanction=1","","",NA
