"","Institution","Program","Program_url","Code","Name","Description"
"1","Inforoute","Technologie d'analyses biomédicales","https://www.inforoutefpt.org/progColDet.aspx?prog=511&sanction=1","06CY","Analyser la profession et la formation",NA
"2","Inforoute","Technologie d'analyses biomédicales","https://www.inforoutefpt.org/progColDet.aspx?prog=511&sanction=1","06CZ","Exécuter des activités de contrôle de qualité en milieu clinique",NA
"3","Inforoute","Technologie d'analyses biomédicales","https://www.inforoutefpt.org/progColDet.aspx?prog=511&sanction=1","06D0","Caractériser des échantillons biologiques sur le plan de l'anatomie et de la physiologie",NA
"4","Inforoute","Technologie d'analyses biomédicales","https://www.inforoutefpt.org/progColDet.aspx?prog=511&sanction=1","06D1","Soumettre des échantillons de liquides biologiques  des traitements préalables aux analyses biomédicales",NA
"5","Inforoute","Technologie d'analyses biomédicales","https://www.inforoutefpt.org/progColDet.aspx?prog=511&sanction=1","06D2","Établir des relations professionnelles en analyse biomédicale",NA
"6","Inforoute","Technologie d'analyses biomédicales","https://www.inforoutefpt.org/progColDet.aspx?prog=511&sanction=1","06D3","Prélever des échantillons biologiques sur une personne",NA
"7","Inforoute","Technologie d'analyses biomédicales","https://www.inforoutefpt.org/progColDet.aspx?prog=511&sanction=1","06D4","Faire des dosages de base de biomolécules en milieu clinique",NA
"8","Inforoute","Technologie d'analyses biomédicales","https://www.inforoutefpt.org/progColDet.aspx?prog=511&sanction=1","06D5","Faire des dosages spécialisés de biomolécules en milieu clinique",NA
"9","Inforoute","Technologie d'analyses biomédicales","https://www.inforoutefpt.org/progColDet.aspx?prog=511&sanction=1","06D6","Effectuer des activités professionnelles liées à la pharmacologie",NA
"10","Inforoute","Technologie d'analyses biomédicales","https://www.inforoutefpt.org/progColDet.aspx?prog=511&sanction=1","06D7","Identifier des microorganismes",NA
"11","Inforoute","Technologie d'analyses biomédicales","https://www.inforoutefpt.org/progColDet.aspx?prog=511&sanction=1","06D8","Produire des coupes histologiques en vue d'examens en pathologie",NA
"12","Inforoute","Technologie d'analyses biomédicales","https://www.inforoutefpt.org/progColDet.aspx?prog=511&sanction=1","06D9","Procéder à une validation biologique des résultats d'analyses biomédicales",NA
"13","Inforoute","Technologie d'analyses biomédicales","https://www.inforoutefpt.org/progColDet.aspx?prog=511&sanction=1","06DA","Effectuer des analyses biomédicales en hémostase",NA
"14","Inforoute","Technologie d'analyses biomédicales","https://www.inforoutefpt.org/progColDet.aspx?prog=511&sanction=1","06DB","Effectuer des analyses biomédicales en hématologie",NA
"15","Inforoute","Technologie d'analyses biomédicales","https://www.inforoutefpt.org/progColDet.aspx?prog=511&sanction=1","06DC","Effectuer des analyses biomédicales en biochimie",NA
"16","Inforoute","Technologie d'analyses biomédicales","https://www.inforoutefpt.org/progColDet.aspx?prog=511&sanction=1","06DD","Effectuer des analyses biomédicales en microbiologie",NA
"17","Inforoute","Technologie d'analyses biomédicales","https://www.inforoutefpt.org/progColDet.aspx?prog=511&sanction=1","06DE","Effectuer des analyses biomédicales en biologie moléculaire",NA
"18","Inforoute","Technologie d'analyses biomédicales","https://www.inforoutefpt.org/progColDet.aspx?prog=511&sanction=1","06DF","Effectuer des analyses en médecine transfusionnelle",NA
"19","Inforoute","Technologie d'analyses biomédicales","https://www.inforoutefpt.org/progColDet.aspx?prog=511&sanction=1","06DG","Préparer des produits sanguins pour transfusion",NA
"20","Inforoute","Technologie d'analyses biomédicales","https://www.inforoutefpt.org/progColDet.aspx?prog=511&sanction=1","06DH","Résoudre des problèmes transfusionnels",NA
"21","Inforoute","Technologie d'analyses biomédicales","https://www.inforoutefpt.org/progColDet.aspx?prog=511&sanction=1","","",NA
