"","Institution","Program","Program_url","Code","Name","Description"
"1","Inforoute","Technologie de l'architecture","https://www.inforoutefpt.org/progColDet.aspx?prog=301&sanction=1","0350","Analyser la fonction de travail",NA
"2","Inforoute","Technologie de l'architecture","https://www.inforoutefpt.org/progColDet.aspx?prog=301&sanction=1","0351","Interpréter des dessins et des devis",NA
"3","Inforoute","Technologie de l'architecture","https://www.inforoutefpt.org/progColDet.aspx?prog=301&sanction=1","0352","Effectuer des croquis",NA
"4","Inforoute","Technologie de l'architecture","https://www.inforoutefpt.org/progColDet.aspx?prog=301&sanction=1","0353","Assurer la production du matériel de présentation",NA
"5","Inforoute","Technologie de l'architecture","https://www.inforoutefpt.org/progColDet.aspx?prog=301&sanction=1","0354","Effectuer une recherche d'information technique",NA
"6","Inforoute","Technologie de l'architecture","https://www.inforoutefpt.org/progColDet.aspx?prog=301&sanction=1","0355","Effectuer des calculs concernant un bâtiment",NA
"7","Inforoute","Technologie de l'architecture","https://www.inforoutefpt.org/progColDet.aspx?prog=301&sanction=1","0356","Vérifier la conformité d'un bâtiment ou d'un plan au Code de construction, ainsi qu'aux lois, aux règlements et aux normes en vigueur",NA
"8","Inforoute","Technologie de l'architecture","https://www.inforoutefpt.org/progColDet.aspx?prog=301&sanction=1","0357","Émettre un avis technique concernant les types de construction et les systèmes d'un bâtiment",NA
"9","Inforoute","Technologie de l'architecture","https://www.inforoutefpt.org/progColDet.aspx?prog=301&sanction=1","0358","Communiquer avec les partenaires d'un projet",NA
"10","Inforoute","Technologie de l'architecture","https://www.inforoutefpt.org/progColDet.aspx?prog=301&sanction=1","0359","Prendre ses responsabilités au regard de la santé et de la sécurité sur les chantiers",NA
"11","Inforoute","Technologie de l'architecture","https://www.inforoutefpt.org/progColDet.aspx?prog=301&sanction=1","035A","Apprécier les caractéristiques architecturales d'un ouvrage",NA
"12","Inforoute","Technologie de l'architecture","https://www.inforoutefpt.org/progColDet.aspx?prog=301&sanction=1","035B","Effectuer des relevés de bâtiments",NA
"13","Inforoute","Technologie de l'architecture","https://www.inforoutefpt.org/progColDet.aspx?prog=301&sanction=1","035C","Effectuer des dessins de présentation",NA
"14","Inforoute","Technologie de l'architecture","https://www.inforoutefpt.org/progColDet.aspx?prog=301&sanction=1","035D","Effectuer des dessins d'exécution",NA
"15","Inforoute","Technologie de l'architecture","https://www.inforoutefpt.org/progColDet.aspx?prog=301&sanction=1","035E","S'assurer de la concordance des documents d'un projet",NA
"16","Inforoute","Technologie de l'architecture","https://www.inforoutefpt.org/progColDet.aspx?prog=301&sanction=1","035F","Analyser un problème relativement à un bâtiment",NA
"17","Inforoute","Technologie de l'architecture","https://www.inforoutefpt.org/progColDet.aspx?prog=301&sanction=1","035G","Concevoir des détails de construction",NA
"18","Inforoute","Technologie de l'architecture","https://www.inforoutefpt.org/progColDet.aspx?prog=301&sanction=1","035H","Produire le cahier des charges d'un projet",NA
"19","Inforoute","Technologie de l'architecture","https://www.inforoutefpt.org/progColDet.aspx?prog=301&sanction=1","035J","Estimer les coûts de construction",NA
"20","Inforoute","Technologie de l'architecture","https://www.inforoutefpt.org/progColDet.aspx?prog=301&sanction=1","035K","Constater l'état d'un bâtiment",NA
"21","Inforoute","Technologie de l'architecture","https://www.inforoutefpt.org/progColDet.aspx?prog=301&sanction=1","035L","Coordonner des travaux de construction",NA
"22","Inforoute","Technologie de l'architecture","https://www.inforoutefpt.org/progColDet.aspx?prog=301&sanction=1","035M","Effectuer des activités de gestion d'un projet",NA
"23","Inforoute","Technologie de l'architecture","https://www.inforoutefpt.org/progColDet.aspx?prog=301&sanction=1","035N","Effectuer la conception d'un projet",NA
"24","Inforoute","Technologie de l'architecture","https://www.inforoutefpt.org/progColDet.aspx?prog=301&sanction=1","","",NA
