"","Institution","Program","Program_url","Code","Name","Description"
"1","Inforoute","Technologie de l'eau","https://www.inforoutefpt.org/progColDet.aspx?prog=526&sanction=1","01QP","Analyser les fonctions de travail",NA
"2","Inforoute","Technologie de l'eau","https://www.inforoutefpt.org/progColDet.aspx?prog=526&sanction=1","01QQ","Résoudre des problèmes relatifs au comportement des fluides",NA
"3","Inforoute","Technologie de l'eau","https://www.inforoutefpt.org/progColDet.aspx?prog=526&sanction=1","01QR","Évaluer les propriétés des réseaux hydrographiques et des nappes souterraines",NA
"4","Inforoute","Technologie de l'eau","https://www.inforoutefpt.org/progColDet.aspx?prog=526&sanction=1","01QS","Interpréter des protocoles d'analyses et d'essais chimiques",NA
"5","Inforoute","Technologie de l'eau","https://www.inforoutefpt.org/progColDet.aspx?prog=526&sanction=1","01QT","Effectuer des analyses physiques et chimiques",NA
"6","Inforoute","Technologie de l'eau","https://www.inforoutefpt.org/progColDet.aspx?prog=526&sanction=1","01QU","Effectuer des analyses microbiologiques",NA
"7","Inforoute","Technologie de l'eau","https://www.inforoutefpt.org/progColDet.aspx?prog=526&sanction=1","01QV","Effectuer des activités d'hygiène publique",NA
"8","Inforoute","Technologie de l'eau","https://www.inforoutefpt.org/progColDet.aspx?prog=526&sanction=1","01QW","Effectuer des représentations graphiques",NA
"9","Inforoute","Technologie de l'eau","https://www.inforoutefpt.org/progColDet.aspx?prog=526&sanction=1","01QX","Interpréter les plans et devis d'aménagement des stations",NA
"10","Inforoute","Technologie de l'eau","https://www.inforoutefpt.org/progColDet.aspx?prog=526&sanction=1","01QY","Préparer des rapports",NA
"11","Inforoute","Technologie de l'eau","https://www.inforoutefpt.org/progColDet.aspx?prog=526&sanction=1","01QZ","Procéder à l'échantillonnage",NA
"12","Inforoute","Technologie de l'eau","https://www.inforoutefpt.org/progColDet.aspx?prog=526&sanction=1","01R0","Caractériser les eaux brutes, les eaux usées, les eaux traitées et les boues",NA
"13","Inforoute","Technologie de l'eau","https://www.inforoutefpt.org/progColDet.aspx?prog=526&sanction=1","01R1","Prendre des décisions concernant le matériel électrique",NA
"14","Inforoute","Technologie de l'eau","https://www.inforoutefpt.org/progColDet.aspx?prog=526&sanction=1","01R2","Assurer le suivi de la production d'eau potable",NA
"15","Inforoute","Technologie de l'eau","https://www.inforoutefpt.org/progColDet.aspx?prog=526&sanction=1","01R3","Assurer le suivi du traitement des eaux usées",NA
"16","Inforoute","Technologie de l'eau","https://www.inforoutefpt.org/progColDet.aspx?prog=526&sanction=1","01R4","Assurer le suivi du traitement des boues et des matières solides",NA
"17","Inforoute","Technologie de l'eau","https://www.inforoutefpt.org/progColDet.aspx?prog=526&sanction=1","01R5","Assurer le contrôle des procédés",NA
"18","Inforoute","Technologie de l'eau","https://www.inforoutefpt.org/progColDet.aspx?prog=526&sanction=1","01R6","Entretenir l'équipement propre aux procédés et des bâtiments",NA
"19","Inforoute","Technologie de l'eau","https://www.inforoutefpt.org/progColDet.aspx?prog=526&sanction=1","01R7","Assurer le suivi du traitement des eaux industrielles",NA
"20","Inforoute","Technologie de l'eau","https://www.inforoutefpt.org/progColDet.aspx?prog=526&sanction=1","01R8","Effectuer des activités de gestion",NA
"21","Inforoute","Technologie de l'eau","https://www.inforoutefpt.org/progColDet.aspx?prog=526&sanction=1","01R9","Assurer le suivi des réseaux",NA
"22","Inforoute","Technologie de l'eau","https://www.inforoutefpt.org/progColDet.aspx?prog=526&sanction=1","01RA","Voir à l'application des règlements",NA
"23","Inforoute","Technologie de l'eau","https://www.inforoutefpt.org/progColDet.aspx?prog=526&sanction=1","01RB","Assurer le suivi de la qualité de l'air lié aux stations",NA
"24","Inforoute","Technologie de l'eau","https://www.inforoutefpt.org/progColDet.aspx?prog=526&sanction=1","01RC","Analyser des problèmes d'assainissement",NA
"25","Inforoute","Technologie de l'eau","https://www.inforoutefpt.org/progColDet.aspx?prog=526&sanction=1","01RD","Optimiser les procédés de traitement",NA
"26","Inforoute","Technologie de l'eau","https://www.inforoutefpt.org/progColDet.aspx?prog=526&sanction=1","","",NA
