"","Institution","Program","Program_url","Code","Name","Description"
"1","Inforoute","Technologie de l'échographie médicale","https://www.inforoutefpt.org/progColDet.aspx?prog=529&sanction=1","00WF","Analyser la fonction de travail et le contexte réglementaire",NA
"2","Inforoute","Technologie de l'échographie médicale","https://www.inforoutefpt.org/progColDet.aspx?prog=529&sanction=1","00WG","Prévenir les atteintes à la santé, à la sécurité, à l’hygiène et la salubrité et à l’environnement",NA
"3","Inforoute","Technologie de l'échographie médicale","https://www.inforoutefpt.org/progColDet.aspx?prog=529&sanction=1","00WH","Exploiter des appareils dans le cadre de la pratique de l’échographie médicale",NA
"4","Inforoute","Technologie de l'échographie médicale","https://www.inforoutefpt.org/progColDet.aspx?prog=529&sanction=1","00WJ","Analyser l’information anatomique liée aux examens d’échographie médicale",NA
"5","Inforoute","Technologie de l'échographie médicale","https://www.inforoutefpt.org/progColDet.aspx?prog=529&sanction=1","00WK","Analyser les signes pathologiques liés aux examens d’échographie médicale",NA
"6","Inforoute","Technologie de l'échographie médicale","https://www.inforoutefpt.org/progColDet.aspx?prog=529&sanction=1","00WL","Corréler l’information du dossier patient en fonction de l’examen d’échographie médicale",NA
"7","Inforoute","Technologie de l'échographie médicale","https://www.inforoutefpt.org/progColDet.aspx?prog=529&sanction=1","00WM","Interagir en contexte professionnel",NA
"8","Inforoute","Technologie de l'échographie médicale","https://www.inforoutefpt.org/progColDet.aspx?prog=529&sanction=1","00WN","Prodiguer des soins dans le cadre de la pratique de l’échographie médicale",NA
"9","Inforoute","Technologie de l'échographie médicale","https://www.inforoutefpt.org/progColDet.aspx?prog=529&sanction=1","00WP","Effectuer des activités de contrôle de la qualité",NA
"10","Inforoute","Technologie de l'échographie médicale","https://www.inforoutefpt.org/progColDet.aspx?prog=529&sanction=1","00WQ","Effectuer des examens d’échographie abdominale, pelvienne et de surface",NA
"11","Inforoute","Technologie de l'échographie médicale","https://www.inforoutefpt.org/progColDet.aspx?prog=529&sanction=1","00WR","Effectuer des examens d’échographie obstétricale et gynécologique",NA
"12","Inforoute","Technologie de l'échographie médicale","https://www.inforoutefpt.org/progColDet.aspx?prog=529&sanction=1","00WS","Effectuer des examens d’échographie vasculaire",NA
"13","Inforoute","Technologie de l'échographie médicale","https://www.inforoutefpt.org/progColDet.aspx?prog=529&sanction=1","00WT","Effectuer des examens d’échographie cardiaque",NA
"14","Inforoute","Technologie de l'échographie médicale","https://www.inforoutefpt.org/progColDet.aspx?prog=529&sanction=1","00WU","Effectuer des examens d’échographie mammaire",NA
"15","Inforoute","Technologie de l'échographie médicale","https://www.inforoutefpt.org/progColDet.aspx?prog=529&sanction=1","00WV","Effectuer des examens d’échographie musculosquelettique",NA
"16","Inforoute","Technologie de l'échographie médicale","https://www.inforoutefpt.org/progColDet.aspx?prog=529&sanction=1","00WW","Contribuer à des démarches d’amélioration continue de la pratique en échographie médicale",NA
"17","Inforoute","Technologie de l'échographie médicale","https://www.inforoutefpt.org/progColDet.aspx?prog=529&sanction=1","","",NA
