"","Institution","Program","Program_url","Code","Name","Description"
"1","Inforoute","Technologie de l'électronique industrielle","https://www.inforoutefpt.org/progColDet.aspx?prog=333&sanction=1","042Y","Traiter l'information relative aux réalités du milieu du travail en technologie de l'électronique industrielle",NA
"2","Inforoute","Technologie de l'électronique industrielle","https://www.inforoutefpt.org/progColDet.aspx?prog=333&sanction=1","042Z","Effectuer des travaux d'atelier",NA
"3","Inforoute","Technologie de l'électronique industrielle","https://www.inforoutefpt.org/progColDet.aspx?prog=333&sanction=1","0431","Gérer et utiliser un poste de travail informatique en milieu industriel",NA
"4","Inforoute","Technologie de l'électronique industrielle","https://www.inforoutefpt.org/progColDet.aspx?prog=333&sanction=1","0432","Produire des plans d'électronique industrielle",NA
"5","Inforoute","Technologie de l'électronique industrielle","https://www.inforoutefpt.org/progColDet.aspx?prog=333&sanction=1","0433","Planifier des activités de travail",NA
"6","Inforoute","Technologie de l'électronique industrielle","https://www.inforoutefpt.org/progColDet.aspx?prog=333&sanction=1","0434","Installer des appareils dans un système de contrôle-commande",NA
"7","Inforoute","Technologie de l'électronique industrielle","https://www.inforoutefpt.org/progColDet.aspx?prog=333&sanction=1","0435","Résoudre des problèmes mathématiques en électronique industrielle",NA
"8","Inforoute","Technologie de l'électronique industrielle","https://www.inforoutefpt.org/progColDet.aspx?prog=333&sanction=1","0436","Vérifier des signaux et des alimentations de très basse tension",NA
"9","Inforoute","Technologie de l'électronique industrielle","https://www.inforoutefpt.org/progColDet.aspx?prog=333&sanction=1","0437","Vérifier des équipements de puissance",NA
"10","Inforoute","Technologie de l'électronique industrielle","https://www.inforoutefpt.org/progColDet.aspx?prog=333&sanction=1","0438","Analyser le fonctionnement d'un procédé",NA
"11","Inforoute","Technologie de l'électronique industrielle","https://www.inforoutefpt.org/progColDet.aspx?prog=333&sanction=1","0439","Faire fonctionner des systèmes de contrôle-commande",NA
"12","Inforoute","Technologie de l'électronique industrielle","https://www.inforoutefpt.org/progColDet.aspx?prog=333&sanction=1","043A","Programmer des unités de commande",NA
"13","Inforoute","Technologie de l'électronique industrielle","https://www.inforoutefpt.org/progColDet.aspx?prog=333&sanction=1","043B","Régler le fonctionnement des appareils de la chaîne de mesure",NA
"14","Inforoute","Technologie de l'électronique industrielle","https://www.inforoutefpt.org/progColDet.aspx?prog=333&sanction=1","043C","Régler le fonctionnement des éléments finals de contrôle",NA
"15","Inforoute","Technologie de l'électronique industrielle","https://www.inforoutefpt.org/progColDet.aspx?prog=333&sanction=1","043D","Programmer un système de supervision",NA
"16","Inforoute","Technologie de l'électronique industrielle","https://www.inforoutefpt.org/progColDet.aspx?prog=333&sanction=1","043E","Participer à la mise en service d'un système de contrôle-commande",NA
"17","Inforoute","Technologie de l'électronique industrielle","https://www.inforoutefpt.org/progColDet.aspx?prog=333&sanction=1","043F","Effectuer l'entretien préventif des équipements d'un système de contrôle-commande",NA
"18","Inforoute","Technologie de l'électronique industrielle","https://www.inforoutefpt.org/progColDet.aspx?prog=333&sanction=1","043G","Effectuer le dépannage d'un système de contrôle-commande",NA
"19","Inforoute","Technologie de l'électronique industrielle","https://www.inforoutefpt.org/progColDet.aspx?prog=333&sanction=1","043H","Participer à la conception d'un projet de contrôle-commande",NA
"20","Inforoute","Technologie de l'électronique industrielle","https://www.inforoutefpt.org/progColDet.aspx?prog=333&sanction=1","","",NA
