"","Institution","Program","Program_url","Code","Name","Description"
"1","Inforoute","Technologie de la mécanique du bâtiment","https://www.inforoutefpt.org/progColDet.aspx?prog=303&sanction=1","01UJ","Analyser la fonction de travail",NA
"2","Inforoute","Technologie de la mécanique du bâtiment","https://www.inforoutefpt.org/progColDet.aspx?prog=303&sanction=1","01UK","Assumer ses responsabilités au regard de la santé et de la sécurité",NA
"3","Inforoute","Technologie de la mécanique du bâtiment","https://www.inforoutefpt.org/progColDet.aspx?prog=303&sanction=1","01UL","Analyser les efforts, les forces et les charges exercées sur des systèmes mécaniques",NA
"4","Inforoute","Technologie de la mécanique du bâtiment","https://www.inforoutefpt.org/progColDet.aspx?prog=303&sanction=1","01UM","Analyser les conditions de transport des fluides en mécanique du bâtiment",NA
"5","Inforoute","Technologie de la mécanique du bâtiment","https://www.inforoutefpt.org/progColDet.aspx?prog=303&sanction=1","01UN","Exploiter un poste de travail informatisé",NA
"6","Inforoute","Technologie de la mécanique du bâtiment","https://www.inforoutefpt.org/progColDet.aspx?prog=303&sanction=1","01UP","Interpréter des plans et des devis",NA
"7","Inforoute","Technologie de la mécanique du bâtiment","https://www.inforoutefpt.org/progColDet.aspx?prog=303&sanction=1","01UQ","Résoudre des problèmes en mécanique du bâtiment par des applications mathématiques",NA
"8","Inforoute","Technologie de la mécanique du bâtiment","https://www.inforoutefpt.org/progColDet.aspx?prog=303&sanction=1","01UR","Établir des liens entre des systèmes de plomberie, la tuyauterie et leur fonctionnement",NA
"9","Inforoute","Technologie de la mécanique du bâtiment","https://www.inforoutefpt.org/progColDet.aspx?prog=303&sanction=1","01US","Vérifier le fonctionnement des circuits de commandes électriques",NA
"10","Inforoute","Technologie de la mécanique du bâtiment","https://www.inforoutefpt.org/progColDet.aspx?prog=303&sanction=1","01UT","Établir des liens entre des systèmes de chauffage et leur fonctionnement",NA
"11","Inforoute","Technologie de la mécanique du bâtiment","https://www.inforoutefpt.org/progColDet.aspx?prog=303&sanction=1","01UU","Établir des liens entre des systèmes de ventilation et de climatisation et leur fonctionnement",NA
"12","Inforoute","Technologie de la mécanique du bâtiment","https://www.inforoutefpt.org/progColDet.aspx?prog=303&sanction=1","01UV","Établir des liens entre des systèmes de réfrigération et leur fonctionnement",NA
"13","Inforoute","Technologie de la mécanique du bâtiment","https://www.inforoutefpt.org/progColDet.aspx?prog=303&sanction=1","01UW","Déterminer les spécifications techniques pour la régulation automatique de systèmes",NA
"14","Inforoute","Technologie de la mécanique du bâtiment","https://www.inforoutefpt.org/progColDet.aspx?prog=303&sanction=1","01UX","Faire fonctionner des systèmes",NA
"15","Inforoute","Technologie de la mécanique du bâtiment","https://www.inforoutefpt.org/progColDet.aspx?prog=303&sanction=1","01UY","Effectuer de la recherche dans la réglementation",NA
"16","Inforoute","Technologie de la mécanique du bâtiment","https://www.inforoutefpt.org/progColDet.aspx?prog=303&sanction=1","01UZ","Vérifier la conformité de dessins techniques et de devis avec la réglementation",NA
"17","Inforoute","Technologie de la mécanique du bâtiment","https://www.inforoutefpt.org/progColDet.aspx?prog=303&sanction=1","01V0","Exécuter des dessins techniques de systèmes",NA
"18","Inforoute","Technologie de la mécanique du bâtiment","https://www.inforoutefpt.org/progColDet.aspx?prog=303&sanction=1","01V1","Établir des relations professionnelles",NA
"19","Inforoute","Technologie de la mécanique du bâtiment","https://www.inforoutefpt.org/progColDet.aspx?prog=303&sanction=1","01V2","Effectuer la conception technique de systèmes de plomberie et de la tuyauterie",NA
"20","Inforoute","Technologie de la mécanique du bâtiment","https://www.inforoutefpt.org/progColDet.aspx?prog=303&sanction=1","01V3","Effectuer la conception technique de systèmes de chauffage",NA
"21","Inforoute","Technologie de la mécanique du bâtiment","https://www.inforoutefpt.org/progColDet.aspx?prog=303&sanction=1","01V4","Effectuer la conception technique de systèmes de ventilation et de climatisation",NA
"22","Inforoute","Technologie de la mécanique du bâtiment","https://www.inforoutefpt.org/progColDet.aspx?prog=303&sanction=1","01V5","Effectuer la conception technique de systèmes de réfrigération",NA
"23","Inforoute","Technologie de la mécanique du bâtiment","https://www.inforoutefpt.org/progColDet.aspx?prog=303&sanction=1","01V6","Superviser la maintenance de systèmes",NA
"24","Inforoute","Technologie de la mécanique du bâtiment","https://www.inforoutefpt.org/progColDet.aspx?prog=303&sanction=1","01V7","Équilibrer les réseaux hydrauliques et aérauliques de systèmes mécaniques",NA
"25","Inforoute","Technologie de la mécanique du bâtiment","https://www.inforoutefpt.org/progColDet.aspx?prog=303&sanction=1","01V8","Estimer des coûts en mécanique du bâtiment",NA
"26","Inforoute","Technologie de la mécanique du bâtiment","https://www.inforoutefpt.org/progColDet.aspx?prog=303&sanction=1","01V9","Faire de la représentation technique",NA
"27","Inforoute","Technologie de la mécanique du bâtiment","https://www.inforoutefpt.org/progColDet.aspx?prog=303&sanction=1","01VA","Optimiser le fonctionnement de systèmes mécaniques",NA
"28","Inforoute","Technologie de la mécanique du bâtiment","https://www.inforoutefpt.org/progColDet.aspx?prog=303&sanction=1","01VB","Coordonner l'exécution d'un projet d'installation",NA
"29","Inforoute","Technologie de la mécanique du bâtiment","https://www.inforoutefpt.org/progColDet.aspx?prog=303&sanction=1","","",NA
