"","Institution","Program","Program_url","Code","Name","Description"
"1","Inforoute","Technologie de la production horticole agroenvironnementale (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=541&sanction=1","1501","Analyser la fonction de travail",NA
"2","Inforoute","Technologie de la production horticole agroenvironnementale (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=541&sanction=1","1502","Prévenir les risques d’atteinte à la santé et à la sécurité au travail",NA
"3","Inforoute","Technologie de la production horticole agroenvironnementale (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=541&sanction=1","1503","Sélectionner des végétaux",NA
"4","Inforoute","Technologie de la production horticole agroenvironnementale (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=541&sanction=1","1504","Interagir en contexte professionnel",NA
"5","Inforoute","Technologie de la production horticole agroenvironnementale (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=541&sanction=1","1505","Analyser des sols et des substrats",NA
"6","Inforoute","Technologie de la production horticole agroenvironnementale (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=541&sanction=1","1506","Détecter les problèmes abiotiques des végétaux",NA
"7","Inforoute","Technologie de la production horticole agroenvironnementale (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=541&sanction=1","1507","Dépister les organismes nuisibles et les organismes utiles aux cultures",NA
"8","Inforoute","Technologie de la production horticole agroenvironnementale (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=541&sanction=1","1508","Multiplier des végétaux",NA
"9","Inforoute","Technologie de la production horticole agroenvironnementale (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=541&sanction=1","1509","Prévenir des problèmes environnementaux associés à la production horticole",NA
"10","Inforoute","Technologie de la production horticole agroenvironnementale (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=541&sanction=1","150A","Élaborer des programmes de fertigation, d’amendement et de fertilisation",NA
"11","Inforoute","Technologie de la production horticole agroenvironnementale (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=541&sanction=1","150B","Implanter des programmes de gestion phytosanitaire",NA
"12","Inforoute","Technologie de la production horticole agroenvironnementale (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=541&sanction=1","150C","Exploiter de la machinerie, de l’équipement et de l’outillage en production horticole",NA
"13","Inforoute","Technologie de la production horticole agroenvironnementale (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=541&sanction=1","150D","Contrôler les paramètres environnementaux d’un milieu fermé",NA
"14","Inforoute","Technologie de la production horticole agroenvironnementale (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=541&sanction=1","150E","Appliquer un processus de gestion en production horticole",NA
"15","Inforoute","Technologie de la production horticole agroenvironnementale (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=541&sanction=1","150F","Diriger une équipe de production",NA
"16","Inforoute","Technologie de la production horticole agroenvironnementale (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=541&sanction=1","150G","Assurer la régie d’une culture en milieu fermé",NA
"17","Inforoute","Technologie de la production horticole agroenvironnementale (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=541&sanction=1","150H","Assurer la régie d’une culture annuelle extérieure",NA
"18","Inforoute","Technologie de la production horticole agroenvironnementale (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=541&sanction=1","150J","Assurer la régie d’une culture pérenne extérieure",NA
"19","Inforoute","Technologie de la production horticole agroenvironnementale (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=541&sanction=1","150K","Évaluer la faisabilité économique d’un projet en production horticole",NA
"20","Inforoute","Technologie de la production horticole agroenvironnementale (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=541&sanction=1","150L","Élaborer des programmes de régie de culture",NA
"21","Inforoute","Technologie de la production horticole agroenvironnementale (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=541&sanction=1","150M","Effectuer des activités de recherche appliquée en production horticole",NA
"22","Inforoute","Technologie de la production horticole agroenvironnementale (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=541&sanction=1","150N","Effectuer des activités d’information et de formation en production horticole",NA
"23","Inforoute","Technologie de la production horticole agroenvironnementale (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=541&sanction=1","150P","Commercialiser des produits et des services horticoles",NA
"24","Inforoute","Technologie de la production horticole agroenvironnementale (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=541&sanction=1","150Q","Élaborer le plan d’action d’un projet en production horticole",NA
"25","Inforoute","Technologie de la production horticole agroenvironnementale (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=541&sanction=1","","",NA
